ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	100468	true
2	true	false	true	false	true	127757	false
3	true	false	true	false	true	88743	false
4	true	false	true	true	false	145969	false
5	true	false	true	true	false	188538	false
6	true	false	true	false	true	41425	false
7	true	false	true	true	false	10859	false
8	true	false	true	false	true	58799	false
9	true	false	true	false	true	40223	false
10	true	false	true	true	false	21612	false
11	true	false	true	true	false	23893	false
12	true	false	true	true	false	20114	false
13	false	false	false	false	false	35913	false
14	true	false	true	true	false	20763	false
15	true	false	true	true	false	32216	false
16	true	false	true	true	false	17757	false
17	true	false	true	true	false	45797	false
18	true	false	true	false	true	254628	false
19	true	false	true	false	true	37405	false
20	true	true	false	false	false	150641	false
21	true	false	true	true	false	32064	false
22	true	false	true	true	false	41539	false
23	true	true	false	false	false	414942	false
24	true	false	true	true	false	29964	false
25	true	false	true	false	true	46932	false
26	true	false	true	true	false	359095	false
27	true	false	true	true	false	84058	false
28	true	false	true	false	true	490965	false
29	true	false	true	false	true	229017	false
30	true	false	true	false	true	112060	false
31	true	true	false	false	false	201209	false
32	true	false	true	false	true	70218	false
33	true	false	true	false	true	59789	false
34	true	false	true	false	true	601746	false
35	true	false	true	false	true	17970	false
36	true	false	true	false	true	47175	false
37	false	false	false	false	false	629204	false
38	true	true	false	false	false	69880	false
39	true	true	false	false	false	261257	false
40	true	false	true	false	true	8960	false
41	false	false	false	false	false	545632	false
42	true	true	false	false	false	127994	false
43	true	false	true	false	true	102127	false
44	true	false	true	false	true	17432	false
45	true	true	false	false	false	382464	false
46	true	false	true	true	false	36231	false
47	false	false	false	false	false	564279	false
48	true	false	true	false	true	40962	false
49	true	false	true	false	true	558711	false
50	true	false	true	false	true	240921	false
51	true	false	true	false	true	204654	false
52	true	false	true	false	true	9105	false
53	true	false	true	false	true	52313	false
54	false	false	false	false	false	22575	false
55	true	true	false	false	false	312911	false
56	true	false	true	true	false	20412	false
57	false	false	false	false	false	14525	false
58	false	false	false	false	false	19625	false
59	true	true	false	false	false	41190	false
60	true	false	true	false	true	69064	false
61	true	false	true	false	true	39902	false
62	false	false	false	false	false	25933	false
63	false	false	false	false	false	17727	false
64	false	false	false	false	false	14652	false
65	false	false	false	false	false	15159	false
66	false	false	false	false	false	37826	false
67	false	false	false	false	false	15410	false
68	false	false	false	false	false	14082	false
69	false	false	false	false	false	17193	false
70	false	false	false	false	false	15705	false
71	false	false	false	false	false	16658	false
72	true	false	true	true	false	23790	false
73	true	false	true	true	false	55199	false
74	true	false	true	true	false	19873	false
75	true	false	true	false	true	64518	false
76	false	false	false	false	false	35642	false
77	false	false	false	false	false	50915	false
78	true	true	false	false	false	101569	false
79	false	false	false	false	false	14669	false
80	true	false	true	true	false	27214	false
81	true	false	true	true	false	72339	false
82	true	false	true	true	false	35994	false
83	false	false	false	false	false	15042	false
84	true	false	true	true	false	12058	false
85	false	false	false	false	false	20992	false
86	true	false	true	true	false	32804	false
87	true	false	true	true	false	26145	false
88	false	false	false	false	false	13619	false
89	false	false	false	false	false	38491	false
90	true	false	true	false	true	57200	false
91	true	false	true	true	false	28146	false
92	false	false	false	false	false	43264	false
93	false	false	false	false	false	16201	false
