ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	16	12160	0	4440	16600	0.059600	openai/gpt-5.1
2	10	10873	0	4095	14968	0.054541	openai/gpt-5.1
3	10	6809	0	2607	9416	0.034581	openai/gpt-5.1
4	18	26108	0	6119	32227	0.093825	openai/gpt-5.1
5	30	14668	0	7540	22208	0.093735	openai/gpt-5.1
6	4	5143	0	1405	6548	0.020479	openai/gpt-5.1
7	1	508	0	88	596	0.001515	openai/gpt-5.1
8	2	3856	0	510	4366	0.009920	openai/gpt-5.1
9	3	3619	0	1409	5028	0.018614	openai/gpt-5.1
10	2	1070	0	521	1591	0.006548	openai/gpt-5.1
11	2	1004	0	508	1512	0.006335	openai/gpt-5.1
12	2	1320	0	736	2056	0.009010	openai/gpt-5.1
13	4	4952	0	1746	6698	0.023650	openai/gpt-5.1
14	2	958	0	521	1479	0.006408	openai/gpt-5.1
15	2	1052	0	675	1727	0.008065	openai/gpt-5.1
16	2	1117	0	637	1754	0.007766	openai/gpt-5.1
17	2	1013	0	900	1913	0.010266	openai/gpt-5.1
18	22	27830	1664	11841	41335	0.153406	openai/gpt-5.1
19	3	7240	0	1170	8410	0.020750	openai/gpt-5.1
20	17	147889	0	6626	154515	0.251121	openai/gpt-5.1
21	3	3209	0	999	4208	0.014001	openai/gpt-5.1
22	2	1556	0	604	2160	0.007985	openai/gpt-5.1
23	40	79999	2560	19749	102308	0.297809	openai/gpt-5.1
24	3	3235	0	1074	4309	0.014784	openai/gpt-5.1
25	9	3926	0	1547	5473	0.020378	openai/gpt-5.1
26	39	38692	3584	12653	54929	0.175343	openai/gpt-5.1
27	39	0	0	0	0	0.000000	openai/gpt-5.1
28	47	209463	0	19531	228994	0.457139	openai/gpt-5.1
29	23	49507	0	11491	60998	0.176794	openai/gpt-5.1
30	19	10275	0	2181	12456	0.034654	openai/gpt-5.1
31	22	111690	0	7528	119218	0.214893	openai/gpt-5.1
32	8	30501	0	2240	32741	0.060526	openai/gpt-5.1
33	8	19805	0	857	20662	0.033326	openai/gpt-5.1
34	35	89540	0	38969	128509	0.501615	openai/gpt-5.1
35	0	0	0	0	0	0.000000	openai/gpt-5.1
36	6	4343	0	1312	5655	0.018549	openai/gpt-5.1
37	19	352890	0	7242	360132	0.513533	openai/gpt-5.1
38	15	9333	0	2376	11709	0.035426	openai/gpt-5.1
39	34	37887	0	8236	46123	0.129719	openai/gpt-5.1
40	14	0	0	0	0	0.000000	openai/gpt-5.1
41	51	217828	0	19347	237175	0.465755	openai/gpt-5.1
42	15	28077	0	6483	34560	0.099926	openai/gpt-5.1
43	8	8276	0	2893	11169	0.039275	openai/gpt-5.1
44	2	666	0	561	1227	0.006443	openai/gpt-5.1
45	37	133744	0	16178	149922	0.328960	openai/gpt-5.1
46	2	1324	0	528	1852	0.006935	openai/gpt-5.1
47	19	355932	0	8722	364654	0.532135	openai/gpt-5.1
48	8	3907	0	1559	5466	0.020474	openai/gpt-5.1
49	51	99440	3200	20233	122873	0.327030	openai/gpt-5.1
50	37	50270	1024	12697	63991	0.189936	openai/gpt-5.1
51	23	52254	0	7974	60228	0.145058	openai/gpt-5.1
52	0	0	0	0	0	0.000000	openai/gpt-5.1
53	6	3042	0	1309	4351	0.016892	openai/gpt-5.1
54	23	339944	19200	9204	368348	0.519370	openai/gpt-5.1
55	38	94426	1024	15212	110662	0.270281	openai/gpt-5.1
56	2	766	0	526	1292	0.006218	openai/gpt-5.1
57	13	14577	0	4679	19256	0.065011	openai/gpt-5.1
58	15	21106	0	7703	28809	0.103413	openai/gpt-5.1
59	5	3167	0	2028	5195	0.024239	openai/gpt-5.1
60	12	6488	0	3166	9654	0.039770	openai/gpt-5.1
61	4	16772	0	1272	18044	0.033685	openai/gpt-5.1
62	45	41318	0	20616	61934	0.257808	openai/gpt-5.1
63	50	53001	0	15999	69000	0.226241	openai/gpt-5.1
64	16	14722	0	7194	21916	0.090343	openai/gpt-5.1
65	9	6681	0	4139	10820	0.049741	openai/gpt-5.1
66	4	6415	0	1450	7865	0.022519	openai/gpt-5.1
67	2	1454	0	698	2152	0.008798	openai/gpt-5.1
68	2	276	0	295	571	0.003295	openai/gpt-5.1
