ID	TYPE	Message	EXPRESSION	PATH	HASH
1	METHOD_NO_INIT	initializer method does not guarantee @NonNull field classes (line 75) is initialized along all control-flow paths (remember to check for exceptions or early returns).	\tpublic ClsSet(RootNode root) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClsSet.java:60	48d47efbb669c764f51b50a9be098fa861f2d9b9
2	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn cls;	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClsSet.java:169	3b1bd7e8234e64e2e2e52fea1edfbb6e03a400c5
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\t\treturn null;	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClsSet.java:419	a51b879a096b3bb42243c87ccf928a6386c47567
4	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn parents;	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClspClass.java:43	60153b6e01b905785cb4258d675d9ce805d429c6
5	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields nameMap (line 31), superTypesCache (line 32), implementsCache (line 33) are initialized along all control-flow paths (remember to check for exceptions or early returns).	\tpublic ClspGraph(RootNode rootNode) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClspGraph.java:36	880da168c4d8b4a138af4a961725499a92bc3fe1
6	DEREFERENCE_NULLABLE	dereferenced expression inner is @Nullable	\t\tif (inner.isInner()) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ClassGen.java:716	4c6d2ae01db8aca203b885e0f75f00a482bb8f25
7	PASS_NULLABLE	passing @Nullable parameter 'mth' where @NonNull is required	\t\tMethodGen mthGen = new MethodGen(this, mth);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ClassGen.java:499	ef55c501d83267e4ba1af8af92a27c7e9b13a322
8	DEREFERENCE_NULLABLE	dereferenced expression extClsInfo is @Nullable	\t\tString fullName = extClsInfo.getAliasFullName();	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ClassGen.java:618	e9bd1c400478991c1678ec9fa84fc26ba29cb4f9
9	DEREFERENCE_NULLABLE	dereferenced expression condition is @Nullable	\t\tswitch (condition.getMode()) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ConditionGen.java:56	9f8ac879be23fa5310aebfe5b7a93876d1990c2c
10	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getFields() is @Nullable	\t\t\tjsonCls.getFields().add(jsonField);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonCodeGen.java:134	bb4b581de240da13c0454b741c4c916e67cb4c2a
11	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getInnerClasses() is @Nullable	\t\t\tjsonCls.getInnerClasses().add(innerJsonCls);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonCodeGen.java:114	b9ab2a5881ff44c790f00dea4a9ba8e6a39f3c0c
12	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getMethods() is @Nullable	\t\t\tjsonCls.getMethods().add(jsonMth);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonCodeGen.java:160	f66328c4bd538652fdb49795013eba71b6b219a6
13	DEREFERENCE_NULLABLE	dereferenced expression clsType is @Nullable	\t\tif (clsType.isObject()) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonCodeGen.java:211	a67b49209b4e3796ee76a0c4c055fe28983d4b1e
14	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getFields() is @Nullable	\t\t\tjsonCls.getFields().add(jsonField);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonMappingGen.java:100	2b97992ebc9a7eef545238cfee68b0ef8de69c62
15	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getMethods() is @Nullable	\t\t\tjsonCls.getMethods().add(jsonMethod);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonMappingGen.java:86	2f713beb277e8cf4b2be4bbf5265afa6d4e750b3
