ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	92638	false
2	false	false	false	false	false	77150	false
3	true	false	true	false	true	84561	false
4	true	false	true	true	false	114594	false
5	true	false	true	true	false	141278	false
6	true	false	true	false	true	39792	false
7	true	false	true	true	false	11574	false
8	true	false	true	false	true	34683	false
9	true	false	true	false	true	32965	false
10	true	false	true	true	false	21413	false
11	true	false	true	true	false	24286	false
12	true	false	true	true	false	20627	false
