ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	17	13384	0	5335	18719	0.070080	openai/gpt-5.1
2	6	5212	0	2736	7948	0.033875	openai/gpt-5.1
3	10	5440	0	2572	8012	0.032520	openai/gpt-5.1
4	18	24720	0	6535	31255	0.096250	openai/gpt-5.1
5	30	14337	0	7495	21832	0.092871	openai/gpt-5.1
6	3	2583	0	1244	3827	0.015669	openai/gpt-5.1
7	1	358	0	89	447	0.001338	openai/gpt-5.1
8	3	4008	0	1695	5703	0.021960	openai/gpt-5.1
9	3	3167	0	1337	4504	0.017329	openai/gpt-5.1
10	2	1315	0	649	1964	0.008134	openai/gpt-5.1
11	2	1366	0	735	2101	0.009058	openai/gpt-5.1
12	2	1448	0	660	2108	0.008410	openai/gpt-5.1
13	3	2422	0	1263	3685	0.015658	openai/gpt-5.1
