ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	59495	116
2	true	false	true	true	false	106841	115
3	true	false	true	false	true	149350	120
4	true	false	true	false	true	55881	115
5	true	false	true	true	false	101503	114
6	true	false	true	true	false	97533	113
7	true	false	true	true	false	104845	112
8	true	false	true	true	false	69409	111
9	true	false	true	true	false	68856	110
10	true	false	true	true	false	91487	109
11	true	false	true	true	false	59559	108
12	true	false	true	true	false	47033	107
13	true	false	true	true	false	43138	106
14	true	false	true	true	false	120371	103
15	false	false	false	false	false	56068	2147483647
16	true	false	true	false	true	114343	103
17	true	false	true	true	false	50640	102
18	true	false	true	true	false	275278	101
19	true	false	true	true	false	130300	100
20	true	false	true	true	false	205426	99
21	true	false	true	true	false	50921	98
22	true	false	true	true	false	89968	96
23	true	false	true	true	false	94952	95
24	false	false	false	false	false	61355	2147483647
25	true	false	true	true	false	99088	94
26	true	false	true	true	false	98346	92
27	true	false	true	false	true	113475	92
28	true	false	true	true	false	103571	91
29	true	false	true	true	false	47824	90
30	true	false	true	true	false	72679	89
31	true	false	true	true	false	49201	88
32	true	false	true	false	true	78204	89
33	true	false	true	false	true	59521	89
34	false	false	false	false	false	80680	2147483647
35	true	false	true	true	false	87847	87
36	true	true	false	false	false	137360	2147483647
37	true	false	true	true	false	114256	86
38	true	false	true	false	true	86852	138
39	true	false	true	true	false	126685	85
40	true	false	true	false	true	115849	87
41	true	false	true	true	false	86410	84
42	false	false	false	false	false	193397	2147483647
43	true	false	true	false	true	76451	85
44	true	false	true	true	false	51439	83
45	true	false	true	true	false	49554	82
46	true	false	true	true	false	122521	81
47	true	false	true	false	true	73989	144
48	false	false	false	false	false	212022	2147483647
49	true	false	true	false	true	187425	93
50	true	false	true	true	false	49949	80
51	true	false	true	true	false	285923	79
52	true	false	true	true	false	121395	78
53	true	false	true	true	false	145315	77
54	true	false	true	true	false	197069	76
55	true	false	true	true	false	56118	75
56	true	false	true	true	false	60075	74
57	true	false	true	false	true	53808	80
58	true	false	true	true	false	165645	73
59	true	false	true	false	true	64599	73
60	true	false	true	false	true	207018	78
61	true	false	true	true	false	102950	72
62	true	true	false	false	false	163450	2147483647
63	true	false	true	false	true	185639	106
64	true	false	true	true	false	182881	71
65	true	false	true	true	false	70216	70
66	true	false	true	true	false	80067	69
67	true	false	true	true	false	70096	68
68	true	false	true	false	true	67500	73
69	true	true	false	false	false	127902	2147483647
70	true	false	true	true	false	109527	67
71	true	true	false	false	false	93800	2147483647
72	true	false	true	true	false	92601	66
73	true	false	true	true	false	185456	65
74	true	false	true	true	false	162173	64
75	true	true	false	false	false	508245	2147483647
76	true	false	true	true	false	138893	63
77	true	false	true	true	false	155643	62
78	true	false	true	false	true	234275	67
79	true	false	true	true	false	166045	60
80	false	false	false	false	false	293623	2147483647
81	true	false	true	false	true	143163	60
82	true	false	true	false	true	83263	61
83	true	false	true	true	false	285422	59
84	false	false	false	false	false	91083	2147483647
85	true	false	true	true	false	80244	58
86	true	false	true	true	false	130910	57
87	true	false	true	false	true	132758	59
88	true	false	true	true	false	103796	56
89	false	false	false	false	false	392281	2147483647
90	true	false	true	true	false	112530	55
91	true	false	true	true	false	81756	54
92	true	false	true	true	false	125209	53
93	true	false	true	true	false	109887	52
94	true	false	true	true	false	242295	51
95	true	false	true	true	false	153830	50
96	true	false	true	true	false	85709	49
97	true	false	true	true	false	223996	46
98	true	true	false	false	false	153765	2147483647
99	false	false	false	false	false	128340	2147483647
100	true	false	true	true	false	287049	45
101	true	false	true	true	false	143989	44
102	true	false	true	true	false	83532	43
103	true	false	true	true	false	83212	42
104	true	false	true	true	false	260978	41
105	true	false	true	true	false	447591	40
106	true	false	true	true	false	132920	39
107	true	false	true	true	false	89688	38
108	true	false	true	true	false	186068	37
109	true	false	true	true	false	110271	36
110	true	false	true	true	false	215494	34
111	true	false	true	false	true	162315	34
112	true	false	true	true	false	144983	33
113	true	false	true	true	false	304243	32
114	true	false	true	true	false	168068	31
115	true	false	true	false	true	95606	33
116	true	false	true	true	false	143560	30
117	true	false	true	true	false	93122	29
