ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	75693	false
2	true	false	true	true	false	282802	true
3	true	false	true	true	false	48656	false
4	true	false	true	true	false	47973	false
5	true	false	true	true	false	40421	true
6	true	false	true	true	false	135510	false
7	true	true	false	false	false	60533	false
8	true	false	true	true	false	90271	false
9	true	false	true	true	false	64259	false
10	true	false	true	true	false	46956	false
11	true	false	true	true	false	56732	false
12	true	false	true	true	false	141667	false
13	true	false	true	true	false	47960	false
14	true	false	true	true	false	44748	false
15	true	false	true	true	false	164005	false
16	true	false	true	true	false	119893	false
17	true	false	true	true	false	47423	false
18	true	false	true	false	true	58400	false
19	true	true	false	false	false	65440	false
20	true	false	true	true	false	156445	true
21	true	false	true	true	false	46146	false
22	true	true	false	false	false	55637	false
23	true	false	true	true	false	61553	false
24	true	false	true	true	false	58388	false
25	true	false	true	true	false	99624	false
26	true	false	true	true	false	90753	false
27	true	false	true	true	false	128647	false
28	true	false	true	true	false	86455	false
29	true	false	true	true	false	54772	true
30	true	false	true	false	true	115877	false
31	true	false	true	true	false	43768	false
32	true	false	true	true	false	57642	true
33	true	false	true	true	false	75581	true
34	true	false	true	true	false	40443	false
35	true	false	true	true	false	62876	false
36	true	false	true	false	true	48561	false
37	true	false	true	false	true	129080	false
38	true	false	true	true	false	43094	false
39	true	false	true	false	true	103837	true
40	true	true	false	false	false	118305	false
41	true	false	true	true	false	45763	false
42	true	false	true	true	false	81732	true
43	true	false	true	false	true	47411	false
44	true	false	true	true	false	62334	false
45	true	false	true	true	false	72268	false
46	true	false	true	true	false	104742	false
47	true	true	false	false	false	139173	false
48	true	false	true	false	true	504840	false
49	true	false	true	false	true	60310	false
50	true	false	true	true	false	74252	true
51	true	false	true	false	true	131412	false
52	true	false	true	true	false	58486	false
53	true	true	false	false	false	108836	false
54	true	true	false	false	false	121516	false
55	true	true	false	false	false	99482	false
56	true	false	true	true	false	92432	false
57	true	false	true	true	false	81681	true
58	true	false	true	true	false	58982	true
59	true	false	true	false	true	44705	false
60	true	false	true	false	true	48836	false
61	true	false	true	true	false	180690	false
62	true	false	true	false	true	182597	true
63	true	false	true	false	true	69340	false
64	true	false	true	true	false	150836	true
65	true	false	true	false	true	43446	false
66	true	false	true	true	false	50414	false
67	true	false	true	true	false	47340	false
68	true	true	false	false	false	80316	false
69	false	false	false	false	false	159730	false
70	true	true	false	false	false	87102	false
71	true	false	true	true	false	97673	false
72	true	false	true	true	false	53381	false
73	true	false	false	false	false	229750	false
74	true	false	true	false	true	85275	true
75	true	true	false	false	false	270662	false
76	true	false	true	true	false	114390	false
77	true	false	true	true	false	251576	false
78	true	false	true	false	true	84614	false
79	true	false	true	true	false	90841	false
80	true	false	true	true	false	110958	false
81	true	false	true	true	false	314809	false
82	false	false	false	false	false	60384	false
83	true	false	true	false	true	105400	false
84	true	false	true	true	false	51306	false
85	true	false	true	true	false	48448	false
86	true	false	true	true	false	63116	false
87	true	false	true	true	false	59274	false
88	true	false	true	false	true	45053	false
89	true	false	true	true	false	42004	false
90	true	false	true	true	false	73798	false
91	true	false	true	true	false	89124	false
92	true	false	true	true	false	82839	false
93	true	false	true	true	false	43239	false
94	true	true	false	false	false	57096	false
95	true	true	false	false	false	75459	false
96	true	false	true	true	false	40666	false
97	true	false	true	true	false	42722	false
98	true	false	true	true	false	93782	false
99	true	false	true	true	false	66414	false
100	true	true	false	false	false	76719	false
101	true	false	true	true	false	66245	false
102	true	false	true	true	false	70645	false
103	true	false	true	true	false	38959	false
104	true	false	true	true	false	51610	false
105	false	false	false	false	false	176859	false
106	true	false	true	true	false	72053	false
107	true	false	true	true	false	44203	false
108	true	false	true	true	false	112881	false
109	true	false	true	true	false	43480	false
110	true	false	true	true	false	126317	false
111	true	false	true	true	false	41366	false
112	true	false	true	true	false	173399	false
113	true	false	true	false	true	39472	false
114	true	false	true	true	false	122765	false
115	true	false	true	true	false	120925	false
116	true	false	true	true	false	44558	true
117	true	false	true	true	false	92752	false
