ID	TYPE	Message	EXPRESSION	PATH	HASH
1	METHOD_NO_INIT	initializer method does not guarantee @NonNull field classes (line 75) is initialized along all control-flow paths (remember to check for exceptions or early returns).	\tpublic ClsSet(RootNode root) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClsSet.java:60	a1e10b3e378fda4377f97488244bf60790cb38cf
2	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn cls;	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClsSet.java:169	944c06cdb383d630408cfd928d32201d66977bf1
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\t\treturn null;	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClsSet.java:419	579904981dccadf98ab30603165de0c78cbb732a
4	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn parents;	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClspClass.java:43	32746d70a1c97e2b8f62ea7bd90224539b5bb5b2
5	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields nameMap (line 31), superTypesCache (line 32), implementsCache (line 33) are initialized along all control-flow paths (remember to check for exceptions or early returns).	\tpublic ClspGraph(RootNode rootNode) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/clsp/ClspGraph.java:36	fbb723ec87f0ab7f09a933edcf7da2af47ca78cc
6	DEREFERENCE_NULLABLE	dereferenced expression inner is @Nullable	\t\tif (inner.isInner()) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ClassGen.java:716	3bd484be54111d72560160eea6a6dc55e3749fd7
7	PASS_NULLABLE	passing @Nullable parameter 'mth' where @NonNull is required	\t\tMethodGen mthGen = new MethodGen(this, mth);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ClassGen.java:499	1acb0acf629bf04d8caddd661d9934eb30a99e6f
8	DEREFERENCE_NULLABLE	dereferenced expression extClsInfo is @Nullable	\t\tString fullName = extClsInfo.getAliasFullName();	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ClassGen.java:618	3547be1117033a6005f790c1849ca6283af576c0
9	DEREFERENCE_NULLABLE	dereferenced expression condition is @Nullable	\t\tswitch (condition.getMode()) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/ConditionGen.java:56	67ef5155e3a5aa341c836d79d017bef57a070f1b
10	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getFields() is @Nullable	\t\t\tjsonCls.getFields().add(jsonField);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonCodeGen.java:134	695024e354e2d77975825e87769daea92d2e98ed
11	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getInnerClasses() is @Nullable	\t\t\tjsonCls.getInnerClasses().add(innerJsonCls);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonCodeGen.java:114	653f3b5e4d8bd697df8caf65247190040038657b
12	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getMethods() is @Nullable	\t\t\tjsonCls.getMethods().add(jsonMth);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonCodeGen.java:160	8ee3921c848a13c4eecea6172689d5ecace22e3b
13	DEREFERENCE_NULLABLE	dereferenced expression clsType is @Nullable	\t\tif (clsType.isObject()) {	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonCodeGen.java:211	21d1fc7433b770e547c255117d8520694d46982a
14	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getFields() is @Nullable	\t\t\tjsonCls.getFields().add(jsonField);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonMappingGen.java:100	32cc7455d503132262e0808bfce2ca2a8b624736
15	DEREFERENCE_NULLABLE	dereferenced expression jsonCls.getMethods() is @Nullable	\t\t\tjsonCls.getMethods().add(jsonMethod);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonMappingGen.java:86	f44bfde3274af0f9ba8a864561981f2d268ba0c3
16	DEREFERENCE_NULLABLE	dereferenced expression mapping.getClasses() is @Nullable	\t\t\tmapping.getClasses().add(jsonCls);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/codegen/json/JsonMappingGen.java:69	bc4e3b857e181d1f72dd53c261c209d8926bcb10
17	DEREFERENCE_NULLABLE	dereferenced expression inputFilePath.getParent() is @Nullable	\t\treturn inputFilePath.getParent().resolve(baseName + ".jobf");	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/deobf/DeobfPresets.java:57	8bbae9ff65c921353db4b354f52526c87ea2b880
18	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn result;	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/deobf/Deobfuscator.java:305	a2f65bc8e7733cb932344c1fa10fb7e809c44b88
19	DEREFERENCE_NULLABLE	dereferenced expression str is @Nullable	\t\tint len = str.length();	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/deobf/NameMapper.java:133	507018eedacd49afb7634831a9a8803edc1ce1a0
20	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	\t\treturn storage.get(type);	/home/vscode/nullness-benchmarks/jadx/jadx-core/src/main/java/jadx/core/dex/attributes/AttrNode.java:93	9f3346caa11d15f47a0dc689fffe8ac57c94a056
