ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	75693	false
2	true	false	true	true	false	282802	true
3	true	false	true	true	false	48656	false
4	true	false	true	true	false	47973	true
5	true	false	true	true	false	40421	true
6	true	false	true	true	false	135510	false
7	true	true	false	false	false	60533	false
8	true	false	true	true	false	90271	false
9	true	false	true	true	false	64259	false
10	true	false	true	true	false	46956	false
11	true	false	true	true	false	56732	false
12	true	false	true	true	false	141667	true
13	true	false	true	true	false	47960	false
14	true	false	true	true	false	44748	false
15	true	false	true	true	false	164005	false
16	true	false	true	true	false	119893	false
17	true	false	true	true	false	47423	false
18	true	false	true	false	true	58400	false
19	true	true	false	false	false	65440	false
20	true	false	true	true	false	156445	true
