ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	9981	116
2	true	false	true	true	false	12449	115
3	true	false	true	true	false	15271	114
4	true	false	true	true	false	9856	113
5	true	false	true	true	false	9027	112
6	true	false	true	true	false	9651	111
7	true	true	false	false	false	10380	2147483647
8	true	false	true	true	false	9690	110
9	true	false	true	true	false	9529	109
10	true	false	true	true	false	9365	108
11	true	false	true	true	false	12230	107
12	true	false	true	true	false	14080	106
13	true	false	true	true	false	10943	105
14	true	false	true	true	false	9275	104
15	true	false	true	true	false	13761	103
16	true	false	true	true	false	11679	102
17	true	false	true	true	false	9437	101
18	true	false	true	false	true	9143	102
19	true	false	true	true	false	9658	100
20	true	false	true	true	false	9148	99
21	true	false	true	true	false	9536	98
22	true	false	true	true	false	9468	97
23	true	false	true	true	false	11241	96
24	true	false	true	true	false	12176	95
25	true	false	false	false	true	10009	96
26	true	false	false	false	true	9780	96
27	true	false	false	false	true	9186	96
28	true	false	true	true	false	9129	94
29	true	false	true	true	false	10110	93
30	true	false	true	true	false	10270	92
31	true	false	true	true	false	9456	91
32	true	false	true	true	false	10892	90
33	true	false	true	true	false	10275	89
34	true	false	true	true	false	10156	88
35	true	false	false	false	false	9776	88
36	true	false	true	true	false	9502	87
37	true	false	true	true	false	9620	86
38	true	false	true	true	false	8951	85
39	true	true	false	false	false	9274	2147483647
40	true	false	true	false	true	9413	85
41	true	false	true	true	false	9699	84
42	true	false	true	true	false	12031	83
43	true	false	true	true	false	11171	82
44	true	false	true	true	false	12502	81
45	true	false	false	false	true	8814	82
46	true	false	true	true	false	9132	80
47	true	false	true	false	true	9838	80
48	true	true	false	false	false	9759	2147483647
49	true	false	true	true	false	9173	79
50	true	false	true	true	false	8913	78
51	true	false	true	true	false	10758	77
52	true	true	false	false	false	9844	2147483647
53	true	false	true	true	false	9157	76
54	true	true	false	false	false	12920	2147483647
55	true	false	true	true	false	8926	75
56	true	false	true	true	false	9291	74
57	true	false	true	true	false	9971	73
58	true	false	true	true	false	8786	72
59	true	false	true	true	false	9403	71
60	true	false	true	false	true	9722	71
61	true	false	true	true	false	9876	70
62	true	false	true	false	true	9318	89
63	true	false	true	true	false	9096	69
64	true	false	true	false	true	8958	78
65	true	false	true	true	false	9334	68
66	true	true	false	false	false	10515	2147483647
67	true	false	true	true	false	8951	67
68	true	false	true	true	false	9596	66
69	true	false	false	false	true	9006	69
70	true	false	true	true	false	9792	65
71	true	false	true	true	false	9919	64
72	true	false	true	true	false	8990	63
73	true	false	true	true	false	9116	62
74	true	false	true	true	false	9668	61
75	true	false	false	false	true	9500	63
76	true	false	true	true	false	9224	60
77	true	false	true	true	false	16140	59
78	true	true	false	false	false	9699	2147483647
79	true	false	true	true	false	9377	58
80	true	false	true	true	false	11841	57
81	true	true	false	false	false	8938	2147483647
82	true	true	false	false	false	8583	2147483647
83	true	false	true	true	false	8655	56
84	true	false	true	true	false	8580	55
85	false	false	false	false	false	9134	2147483647
86	false	false	false	false	false	9043	2147483647
87	true	false	true	true	false	8972	54
88	true	false	true	false	true	10332	54
89	true	false	true	true	false	8764	53
90	true	false	true	true	false	25473	52
91	true	false	false	false	false	8931	52
92	true	true	false	false	false	9233	2147483647
93	true	false	true	true	false	9260	51
94	true	true	false	false	false	8992	2147483647
95	true	false	true	false	true	10109	51
96	true	true	false	false	false	8820	2147483647
97	true	false	true	true	false	9261	47
98	true	false	true	false	true	15959	47
99	true	false	true	false	true	14522	47
100	true	false	true	false	true	14334	47
101	true	false	true	true	false	9596	46
102	true	false	true	true	false	8747	45
103	true	false	true	true	false	8839	44
104	true	false	true	true	false	9426	43
105	true	true	false	false	false	8924	2147483647
106	true	false	true	true	false	9077	42
107	true	false	true	true	false	8968	41
108	true	true	false	false	false	8459	2147483647
109	true	false	true	true	false	8459	40
110	true	false	true	true	false	8815	39
111	true	false	true	true	false	12441	38
112	true	false	true	true	false	8697	37
113	true	false	true	true	false	9010	36
114	true	true	false	false	false	9621	2147483647
115	true	true	false	false	false	8956	2147483647
116	true	true	false	false	false	9054	2147483647
117	true	false	true	true	false	8903	35
