ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	11418	true
2	true	false	true	true	false	13356	true
3	true	false	true	true	false	14394	true
4	true	false	true	true	false	15217	true
5	true	false	true	true	false	11571	true
6	true	false	true	true	false	11897	true
7	true	true	false	false	false	11396	false
8	true	false	true	true	false	15082	true
9	true	false	true	true	false	13006	true
10	true	false	true	true	false	13984	true
11	true	false	true	true	false	13525	true
12	true	false	true	true	false	14791	true
13	true	false	true	true	false	11548	true
14	true	false	true	true	false	12315	true
15	true	false	true	true	false	12564	true
16	true	false	true	true	false	13634	true
17	true	false	true	true	false	14124	true
18	true	false	true	false	true	14786	true
19	true	false	true	true	false	12378	true
20	true	false	true	true	false	11390	true
21	true	false	true	true	false	16290	true
22	true	false	true	true	false	11852	true
23	true	false	true	true	false	12746	true
24	true	false	true	true	false	13597	true
25	true	false	false	false	true	12915	true
26	true	false	false	false	true	11704	true
27	true	false	false	false	true	12212	true
28	true	false	true	true	false	11013	true
29	true	false	true	true	false	12494	true
30	true	false	true	true	false	11211	true
31	true	false	true	true	false	11496	true
32	true	false	true	true	false	10252	true
33	true	false	true	true	false	11174	true
34	true	false	true	true	false	12408	true
35	true	false	false	false	false	11256	true
36	true	false	true	true	false	10590	true
37	true	false	true	true	false	11857	true
38	true	false	true	true	false	10809	true
39	true	true	false	false	false	12035	false
40	true	false	true	false	true	11521	true
41	true	false	true	true	false	11124	true
42	true	false	true	true	false	11413	true
43	true	false	true	true	false	11335	true
44	true	false	true	true	false	11926	true
45	true	false	false	false	true	11301	true
46	true	false	true	true	false	11509	true
47	true	false	true	false	true	11392	true
48	true	true	false	false	false	12773	false
49	true	false	true	true	false	13266	true
50	true	false	true	true	false	10677	true
51	true	false	true	true	false	11049	true
52	true	true	false	false	false	11310	false
53	true	false	true	true	false	12309	true
54	true	false	false	false	false	12849	true
55	true	false	true	true	false	12253	true
56	true	false	true	true	false	12209	true
57	true	false	true	true	false	13269	true
58	true	false	true	true	false	11694	true
59	true	false	true	true	false	11547	true
60	true	false	true	false	true	11240	true
61	true	false	true	true	false	13050	true
62	true	false	true	false	true	11655	true
63	true	false	true	true	false	12382	true
64	true	false	true	false	true	11151	true
65	true	false	true	true	false	10587	true
66	true	true	false	false	false	11119	false
67	true	false	true	true	false	14141	true
68	true	false	true	true	false	11732	true
69	true	false	false	false	true	11484	true
70	true	false	true	true	false	10893	true
71	true	false	true	true	false	17873	true
72	true	false	true	true	false	12528	true
73	true	false	true	true	false	13299	true
74	true	false	true	true	false	13808	true
75	true	false	false	false	true	11035	true
76	true	false	true	true	false	15417	true
77	true	false	true	true	false	17036	true
78	true	true	false	false	false	11577	false
79	true	false	true	true	false	11956	true
80	true	false	true	true	false	12991	true
81	true	true	false	false	false	10932	false
82	true	true	false	false	false	11646	false
83	true	false	true	true	false	10957	true
84	true	false	true	true	false	11883	true
85	false	false	false	false	false	16161	false
86	false	false	false	false	false	25394	false
87	true	false	true	true	false	13572	true
88	true	false	true	false	true	11620	true
89	true	false	true	true	false	19510	true
90	true	false	true	true	false	17933	true
91	true	false	false	false	false	14312	true
92	true	true	false	false	false	11863	false
93	true	false	true	true	false	11809	true
94	true	true	false	false	false	13823	false
95	true	false	true	false	true	11060	true
96	true	true	false	false	false	10803	false
97	true	false	true	true	false	13961	true
98	true	false	true	true	false	13956	true
99	true	false	true	true	false	14440	true
100	true	false	true	true	false	14007	true
101	true	false	true	true	false	10981	true
102	true	false	true	true	false	11337	true
103	true	false	true	true	false	10198	true
104	true	false	true	true	false	10902	true
105	true	true	false	false	false	12240	false
106	true	false	true	true	false	12664	true
107	true	false	true	true	false	11366	true
108	true	true	false	false	false	10676	false
109	true	false	true	true	false	11566	true
110	true	false	true	true	false	10523	true
111	true	false	true	true	false	12363	true
112	true	false	true	true	false	14413	true
113	true	false	true	true	false	10721	true
114	true	true	false	false	false	10263	false
115	true	true	false	false	false	12650	false
116	true	true	false	false	false	12953	false
117	true	false	true	true	false	15218	true
