ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	481	0	70	551	0.001301	openai/gpt-5.1
2	1	545	0	119	664	0.001871	openai/gpt-5.1
3	1	657	0	415	1072	0.004971	openai/gpt-5.1
4	1	395	0	66	461	0.001154	openai/gpt-5.1
5	1	503	0	90	593	0.001529	openai/gpt-5.1
6	1	531	0	105	636	0.001714	openai/gpt-5.1
7	1	519	0	104	623	0.001689	openai/gpt-5.1
8	1	818	0	539	1357	0.006413	openai/gpt-5.1
9	1	465	0	204	669	0.002621	openai/gpt-5.1
10	1	589	0	210	799	0.002836	openai/gpt-5.1
11	1	563	0	190	753	0.002604	openai/gpt-5.1
12	1	646	0	336	982	0.004167	openai/gpt-5.1
13	1	482	0	141	623	0.002013	openai/gpt-5.1
14	1	423	0	157	580	0.002099	openai/gpt-5.1
15	1	520	0	206	726	0.002710	openai/gpt-5.1
16	1	588	0	241	829	0.003145	openai/gpt-5.1
17	1	625	0	200	825	0.002781	openai/gpt-5.1
18	1	541	0	280	821	0.003476	openai/gpt-5.1
19	1	456	0	138	594	0.001950	openai/gpt-5.1
20	1	401	0	106	507	0.001561	openai/gpt-5.1
21	1	509	0	126	635	0.001896	openai/gpt-5.1
22	1	464	0	88	552	0.001460	openai/gpt-5.1
23	1	473	0	110	583	0.001691	openai/gpt-5.1
24	1	539	0	199	738	0.002664	openai/gpt-5.1
25	1	425	0	85	510	0.001381	openai/gpt-5.1
26	1	552	0	103	655	0.001720	openai/gpt-5.1
27	1	548	0	90	638	0.001585	openai/gpt-5.1
28	1	353	0	55	408	0.000991	openai/gpt-5.1
29	1	343	0	61	404	0.001039	openai/gpt-5.1
30	1	316	0	55	371	0.000945	openai/gpt-5.1
31	1	371	0	72	443	0.001184	openai/gpt-5.1
32	1	327	0	61	388	0.001019	openai/gpt-5.1
33	1	327	0	57	384	0.000979	openai/gpt-5.1
34	1	378	0	161	539	0.002083	openai/gpt-5.1
35	1	373	0	60	433	0.001066	openai/gpt-5.1
36	1	402	0	77	479	0.001273	openai/gpt-5.1
37	1	377	0	87	464	0.001341	openai/gpt-5.1
38	1	250	0	50	300	0.000813	openai/gpt-5.1
39	1	440	0	70	510	0.001250	openai/gpt-5.1
40	1	498	0	163	661	0.002253	openai/gpt-5.1
41	1	380	0	87	467	0.001345	openai/gpt-5.1
42	1	379	0	81	460	0.001284	openai/gpt-5.1
43	1	373	0	82	455	0.001286	openai/gpt-5.1
44	1	382	0	88	470	0.001358	openai/gpt-5.1
45	1	625	0	102	727	0.001801	openai/gpt-5.1
46	1	478	0	170	648	0.002298	openai/gpt-5.1
47	1	384	0	58	442	0.001060	openai/gpt-5.1
48	1	521	0	225	746	0.002901	openai/gpt-5.1
49	1	371	0	81	452	0.001274	openai/gpt-5.1
50	1	353	0	69	422	0.001131	openai/gpt-5.1
51	1	344	0	76	420	0.001190	openai/gpt-5.1
52	1	423	0	151	574	0.002039	openai/gpt-5.1
53	1	422	0	141	563	0.001938	openai/gpt-5.1
54	1	518	0	146	664	0.002108	openai/gpt-5.1
55	1	375	0	82	457	0.001289	openai/gpt-5.1
56	1	465	0	160	625	0.002181	openai/gpt-5.1
57	1	455	0	295	750	0.003519	openai/gpt-5.1
58	1	387	0	81	468	0.001294	openai/gpt-5.1
59	1	402	0	87	489	0.001373	openai/gpt-5.1
60	1	433	0	96	529	0.001501	openai/gpt-5.1
61	1	435	0	238	673	0.002924	openai/gpt-5.1
62	1	344	0	61	405	0.001040	openai/gpt-5.1
63	1	343	0	81	424	0.001239	openai/gpt-5.1
64	1	355	0	58	413	0.001024	openai/gpt-5.1
65	1	380	0	81	461	0.001285	openai/gpt-5.1
66	1	488	0	129	617	0.001900	openai/gpt-5.1
67	1	568	0	350	918	0.004210	openai/gpt-5.1
68	1	348	0	77	425	0.001205	openai/gpt-5.1
69	1	479	0	78	557	0.001379	openai/gpt-5.1
70	1	364	0	81	445	0.001265	openai/gpt-5.1
71	1	371	0	111	482	0.001574	openai/gpt-5.1
72	1	618	0	329	947	0.004063	openai/gpt-5.1
73	1	588	0	253	841	0.003265	openai/gpt-5.1
74	1	588	0	371	959	0.004445	openai/gpt-5.1
75	1	465	0	108	573	0.001661	openai/gpt-5.1
76	1	945	0	614	1559	0.007321	openai/gpt-5.1
77	1	841	0	577	1418	0.006821	openai/gpt-5.1
78	1	453	0	61	514	0.001176	openai/gpt-5.1
79	1	563	0	242	805	0.003124	openai/gpt-5.1
80	1	553	0	248	801	0.003171	openai/gpt-5.1
81	1	406	0	65	471	0.001158	openai/gpt-5.1
82	1	489	0	135	624	0.001961	openai/gpt-5.1
83	1	415	0	85	500	0.001369	openai/gpt-5.1
84	1	602	0	173	775	0.002483	openai/gpt-5.1
85	1	1757	0	652	2409	0.008716	openai/gpt-5.1
86	1	2594	0	1463	4057	0.017873	openai/gpt-5.1
87	1	700	0	413	1113	0.005005	openai/gpt-5.1
88	1	526	0	98	624	0.001638	openai/gpt-5.1
89	1	1140	0	955	2095	0.010975	openai/gpt-5.1
90	1	1137	0	961	2098	0.011031	openai/gpt-5.1
91	1	487	0	168	655	0.002289	openai/gpt-5.1
92	1	444	0	96	540	0.001515	openai/gpt-5.1
93	1	331	0	75	406	0.001164	openai/gpt-5.1
94	1	397	0	74	471	0.001236	openai/gpt-5.1
95	1	413	0	109	522	0.001606	openai/gpt-5.1
96	1	405	0	78	483	0.001286	openai/gpt-5.1
97	1	632	0	531	1163	0.006100	openai/gpt-5.1
98	1	652	0	499	1151	0.005805	openai/gpt-5.1
99	1	679	0	468	1147	0.005529	openai/gpt-5.1
100	1	745	0	494	1239	0.005871	openai/gpt-5.1
101	1	529	0	107	636	0.001731	openai/gpt-5.1
102	1	480	0	159	639	0.002190	openai/gpt-5.1
103	1	567	0	56	623	0.001269	openai/gpt-5.1
104	1	502	0	95	597	0.001578	openai/gpt-5.1
105	1	541	0	176	717	0.002436	openai/gpt-5.1
106	1	639	0	335	974	0.004149	openai/gpt-5.1
107	1	485	0	189	674	0.002496	openai/gpt-5.1
108	1	370	0	65	435	0.001113	openai/gpt-5.1
109	1	414	0	73	487	0.001248	openai/gpt-5.1
110	1	491	0	81	572	0.001424	openai/gpt-5.1
111	1	467	0	130	597	0.001884	openai/gpt-5.1
112	1	700	0	462	1162	0.005495	openai/gpt-5.1
113	1	387	0	77	464	0.001254	openai/gpt-5.1
114	1	275	0	79	354	0.001134	openai/gpt-5.1
115	1	336	0	78	414	0.001200	openai/gpt-5.1
116	1	425	0	104	529	0.001571	openai/gpt-5.1
117	1	761	0	578	1339	0.006731	openai/gpt-5.1
