ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	false	false	false	false	false	206308	false
2	true	false	true	true	false	46007	false
3	false	false	false	false	false	262599	false
4	false	false	false	false	false	174386	false
5	false	false	false	false	false	165833	false
6	true	true	false	false	false	193742	false
7	false	false	false	false	false	231486	false
8	false	false	false	false	false	269260	false
9	true	false	true	true	false	47773	false
10	true	false	true	true	false	29096	false
11	true	false	true	true	false	45966	false
12	true	false	true	true	false	172124	false
13	true	false	true	false	true	98573	false
14	true	false	true	true	false	47012	false
15	true	false	true	true	false	47944	false
16	true	false	true	true	false	43008	false
17	true	false	true	false	true	53460	false
18	true	false	true	true	false	58307	false
19	true	false	true	true	false	19015	false
20	false	false	false	false	false	474132	false
21	true	false	true	true	false	30291	false
22	true	false	true	true	false	33717	false
23	true	false	true	true	false	91783	false
24	true	true	false	false	false	234999	false
25	true	false	true	true	false	12763	false
26	true	false	true	true	false	77798	false
27	true	false	true	true	false	78322	false
28	true	false	true	true	false	77278	false
29	false	false	false	false	false	33094	false
30	false	false	false	false	false	11350	false
31	false	false	false	false	false	11141	false
32	true	false	true	true	false	12774	false
33	true	false	true	false	true	160905	false
34	true	false	true	true	false	31858	false
35	true	false	true	true	false	29921	false
36	true	true	false	false	false	194020	false
37	true	false	true	true	false	85492	false
38	true	false	true	true	false	68310	false
39	true	false	true	true	false	22906	false
40	true	false	true	true	false	48532	false
41	true	false	true	true	false	33535	false
42	true	false	true	true	false	24397	false
43	true	false	true	true	false	24273	false
44	true	false	true	true	false	61429	false
45	true	false	true	true	false	16186	false
46	true	false	true	true	false	71636	false
47	true	false	true	true	false	17353	false
48	true	false	true	true	false	61328	false
49	true	false	true	true	false	36858	false
50	true	false	true	true	false	42642	false
51	true	false	true	true	false	66622	false
52	true	false	true	true	false	31764	false
53	true	false	true	true	false	72448	false
54	true	false	true	false	true	105320	false
55	true	false	true	false	true	80232	false
56	false	false	false	false	false	35572	false
57	true	false	true	true	false	53343	false
58	true	false	true	true	false	13940	false
59	true	false	true	true	false	37502	false
60	true	false	true	true	false	49872	false
61	true	false	true	false	true	45926	false
62	true	false	true	true	false	46129	false
63	true	false	true	true	false	11943	false
64	false	false	false	false	false	223857	false
65	false	false	false	false	false	23373	false
66	false	false	false	false	false	24187	false
67	true	false	true	false	true	25471	false
68	false	false	false	false	false	357071	false
69	false	false	false	false	false	28604	false
70	true	false	true	true	false	16002	false
71	true	false	true	true	false	32960	false
72	false	false	false	false	false	28932	false
73	false	false	false	false	false	31738	false
74	true	false	true	true	false	14264	false
75	true	false	true	true	false	16812	false
76	true	false	true	false	true	210007	false
77	false	false	false	false	false	246162	false
78	true	false	true	true	false	12922	false
79	true	false	true	true	false	13653	false
80	true	false	true	true	false	50428	false
81	true	false	true	true	false	44719	false
82	true	false	true	true	false	16001	false
83	true	false	true	true	false	14364	false
84	true	false	true	false	true	11729	false
85	false	false	false	false	false	26859	false
86	true	false	true	true	false	31311	false
87	true	false	true	true	false	78011	false
88	true	false	true	false	true	48711	false
89	true	true	false	false	false	38493	false
90	true	false	true	true	false	47373	false
91	true	false	true	true	false	26842	false
92	true	false	true	true	false	11675	false
93	false	false	false	false	false	14935	false
94	true	false	true	true	false	22446	false
95	true	false	true	true	false	22356	false
96	true	false	true	true	false	93558	false
97	false	false	false	false	false	29914	false
98	false	false	false	false	false	68389	false
99	true	false	true	true	false	33279	false
100	true	false	true	true	false	39847	false
101	true	false	true	true	false	40550	false
102	true	false	true	true	false	13164	false
103	false	false	false	false	false	750690	false
104	false	false	false	false	false	271145	false
105	false	false	false	false	false	186120	false
106	true	false	true	false	true	21138	false
107	false	false	false	false	false	33211	false
108	true	false	false	false	true	196873	false
109	true	false	true	false	true	58078	false
110	true	false	true	true	false	215904	false
111	true	false	true	true	false	159197	false
112	false	false	false	false	false	31320	false
113	true	false	true	false	true	51802	false
114	true	false	true	true	false	32767	false
115	true	false	true	true	false	102116	false
116	true	false	true	true	false	73153	false
117	true	false	true	true	false	13903	false
118	false	false	false	false	false	11531	false
119	false	false	false	false	false	11093	false
120	false	false	false	false	false	30245	false
121	false	false	false	false	false	28372	false
122	false	false	false	false	false	30864	false
123	false	false	false	false	false	30028	false
124	true	false	true	true	false	127384	false
125	true	false	true	true	false	37119	false
126	true	false	true	true	false	37247	false
127	true	false	true	false	true	43125	false
