ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	false	true	51015	false
2	true	false	true	false	true	67581	false
3	true	false	true	false	true	236734	false
4	true	false	true	false	true	142055	false
5	true	true	false	false	false	64108	false
6	true	false	true	false	true	53763	false
7	true	false	true	false	true	93252	false
8	true	false	true	false	true	65357	false
9	true	false	true	true	false	128016	false
10	true	false	true	true	false	91750	false
11	true	false	true	false	true	163333	false
12	true	false	true	false	true	85541	false
13	true	false	true	false	true	274666	false
14	true	false	true	true	false	51810	false
15	true	false	true	true	false	86337	false
16	true	false	true	true	false	127225	false
17	true	false	true	true	false	68624	false
18	true	true	false	false	false	164452	false
19	true	false	true	true	false	247631	false
20	true	false	true	true	false	71465	false
21	true	false	true	true	false	60985	false
22	true	false	true	true	false	47377	false
23	true	true	false	false	false	64510	false
24	true	false	true	false	true	69815	false
25	true	false	true	true	false	66265	false
26	true	false	true	true	false	101526	false
27	true	false	true	true	false	110251	false
28	true	false	true	true	false	124801	false
29	true	false	true	true	false	63087	false
30	true	false	true	true	false	105719	false
31	true	false	true	true	false	58035	false
32	true	false	true	true	false	179446	false
33	true	false	true	true	false	139972	false
34	true	false	true	true	false	47644	false
35	true	false	true	true	false	100796	false
36	true	false	true	false	true	228137	false
37	true	false	true	true	false	110821	false
38	true	false	true	true	false	96323	false
39	true	false	true	true	false	54063	false
40	true	false	true	true	false	52063	false
41	true	false	true	true	false	153906	false
42	true	false	true	true	false	98859	false
43	true	false	true	true	false	80533	false
44	true	false	true	true	false	120949	false
45	true	false	true	true	false	57275	false
46	true	false	true	true	false	57920	false
47	true	false	true	true	false	183498	false
48	true	false	true	true	false	59037	false
49	true	false	true	false	true	107251	false
50	false	false	false	false	false	47328	false
51	true	false	true	true	false	52608	false
52	true	false	true	true	false	129126	false
53	true	false	true	true	false	53668	false
54	true	false	true	false	true	71994	false
55	true	false	true	true	false	96853	false
56	true	false	true	true	false	97416	false
57	true	false	true	true	false	115949	false
58	true	false	true	false	true	66230	false
59	true	false	true	true	false	54378	false
60	true	true	false	false	false	72623	false
61	true	false	true	true	false	69945	false
62	true	false	true	false	true	54732	false
63	true	false	true	true	false	64662	false
64	true	false	true	true	false	54822	false
65	true	false	true	true	false	60836	false
66	true	false	true	false	true	129506	false
67	true	false	true	true	false	56113	false
68	true	false	true	false	true	134375	false
69	true	false	true	true	false	57247	false
70	true	false	true	true	false	73244	false
71	true	false	true	true	false	63505	false
72	false	false	false	false	false	118968	false
73	true	false	true	true	false	60172	false
74	true	false	true	true	false	84788	false
75	true	false	true	true	false	51571	false
76	true	false	true	true	false	73491	false
77	true	false	true	true	false	100802	false
78	true	false	true	true	false	88554	false
79	true	false	true	true	false	116540	false
80	true	false	true	true	false	132254	false
81	true	false	true	true	false	167180	false
82	true	false	true	true	false	94365	false
83	true	false	true	true	false	170897	false
84	true	false	true	true	false	64836	false
85	true	false	true	true	false	119718	false
86	true	false	true	true	false	162899	false
87	true	false	true	true	false	114600	false
88	true	false	true	true	false	49862	false
89	true	false	true	true	false	48333	false
90	true	false	true	true	false	66498	false
91	true	false	true	true	false	45722	false
92	true	false	true	true	false	47306	false
93	true	false	true	false	true	56034	false
94	true	false	true	true	false	127731	false
95	true	false	true	true	false	135045	false
96	true	false	true	false	true	273859	false
97	true	false	true	true	false	48918	false
98	true	false	true	true	false	51301	false
99	true	false	true	true	false	50809	false
100	true	false	true	true	false	108968	false
101	true	false	true	true	false	53371	false
102	true	false	true	true	false	45421	false
103	true	false	true	true	false	66975	false
104	false	false	false	false	false	69927	false
105	true	false	true	false	true	207263	false
106	true	false	true	true	false	79879	false
107	true	false	true	true	false	93122	false
108	true	false	true	true	false	86361	false
109	true	false	true	true	false	60582	false
110	true	false	true	true	false	67065	false
111	true	false	true	true	false	51269	false
112	true	true	false	false	false	68577	false
113	true	false	true	false	true	61914	false
114	true	false	true	true	false	102605	false
115	true	false	true	true	false	94900	false
116	true	false	true	true	false	140210	false
117	true	false	true	true	false	70725	false
118	true	false	true	true	false	69161	false
119	true	false	true	true	false	72175	false
120	true	false	true	true	false	96116	false
121	true	false	true	true	false	110508	false
122	true	false	true	false	true	165195	false
123	true	false	true	true	false	71665	false
124	true	false	true	true	false	95106	false
125	true	false	true	true	false	139942	false
126	true	false	true	false	true	209989	false
127	true	false	true	true	false	158244	false
128	true	false	true	false	true	168482	false
129	true	false	true	false	true	248662	false
130	true	false	true	true	false	147035	false
131	true	false	true	true	false	52601	false
132	false	false	false	false	false	128058	false
133	true	true	false	false	false	136458	false
134	true	false	false	false	false	236706	false
135	true	false	true	true	false	80398	false
136	true	true	false	false	false	82586	false
137	true	true	false	false	false	89195	false
138	true	false	true	true	false	169833	false
139	true	false	false	false	false	202966	false
140	true	false	true	true	false	75031	false
141	true	false	true	false	true	60308	false
142	true	false	true	true	false	69846	false
143	true	true	false	false	false	110433	false
144	true	false	false	false	true	154873	false
145	true	false	true	true	false	191875	false
146	true	false	true	false	true	77175	false
147	true	false	true	false	true	79176	false
148	true	false	true	false	true	158612	false
149	true	false	true	true	false	157805	false
150	true	false	true	true	false	154510	false
151	true	false	true	true	false	100179	false
152	true	false	true	true	false	230879	false
153	true	false	true	true	false	47506	false
154	true	false	true	true	false	70580	false
155	true	false	true	true	false	217745	false
156	true	false	true	false	true	107257	false
157	true	false	true	false	true	90152	false
158	true	false	true	true	false	66020	false
159	true	false	true	true	false	82578	false
160	true	false	true	true	false	109295	false
161	true	false	true	true	false	97204	false
162	true	false	true	true	false	53700	false
163	true	false	true	true	false	107550	false
164	true	false	true	true	false	59087	false
165	true	false	true	true	false	53206	false
166	true	false	true	true	false	73006	false
167	true	false	true	true	false	102053	false
168	true	false	true	true	false	197666	false
169	true	false	true	true	false	90334	false
170	true	false	true	true	false	79617	false
171	true	false	true	true	false	105135	false
172	true	false	true	false	true	169374	false
173	true	false	true	true	false	81779	false
174	true	false	true	true	false	72981	false
175	true	false	true	true	false	126535	false
176	false	false	false	false	false	66986	false
177	true	false	true	true	false	74277	false
178	true	false	true	true	false	50492	false
179	true	false	true	true	false	83209	false
180	true	false	true	true	false	131839	false
181	true	false	true	true	false	66772	false
182	true	false	true	true	false	129427	false
183	true	false	true	true	false	73120	false
184	true	false	true	true	false	187523	false
185	true	false	true	false	true	249856	false
186	true	false	true	true	false	63807	false
187	true	false	true	true	false	161736	false
188	true	false	true	true	false	57749	false
189	true	false	true	true	false	57377	false
190	true	false	true	true	false	105175	false
191	true	false	true	true	false	120512	false
192	false	false	false	false	false	105880	false
193	true	false	true	true	false	113033	false
194	true	false	true	true	false	88887	false
195	true	false	true	true	false	44041	false
196	true	false	true	true	false	85407	false
197	true	false	true	true	false	54889	false
198	true	false	true	true	false	111479	false
199	true	false	true	true	false	71025	false
200	true	false	true	true	false	62130	false
201	true	false	true	true	false	108532	true
202	true	false	true	true	false	88166	false
203	true	false	true	true	false	60831	false
204	true	false	true	true	false	102128	false
205	true	false	true	true	false	112836	false
206	true	false	true	true	false	87804	false
207	true	false	true	true	false	132024	false
208	true	false	true	true	false	60611	false
209	true	false	true	true	false	77776	false
210	true	false	true	true	false	161045	false
211	true	false	true	false	true	159661	false
212	true	false	true	true	false	69146	false
213	true	false	true	false	true	48239	false
214	true	false	true	true	false	73970	false
215	true	false	true	false	true	60072	false
216	true	false	true	false	true	59531	false
217	true	false	true	false	true	68887	false
218	true	false	true	false	true	83709	false
219	true	false	true	true	false	46340	false
220	true	false	true	false	true	49109	false
221	true	false	true	true	false	96506	false
222	true	true	false	false	false	69579	false
223	true	false	true	true	false	139497	false
224	true	false	true	true	false	98040	false
225	true	false	true	false	true	62889	false
226	true	false	true	true	false	58750	false
227	true	false	true	true	false	51901	false
228	true	false	true	true	false	66116	false
229	true	false	true	false	true	153991	false
230	true	false	true	true	false	63125	false
231	true	false	true	true	false	74901	false
232	true	false	true	true	false	48671	false
233	true	false	true	true	false	94320	false
234	true	false	true	true	false	61882	false
235	true	false	true	true	false	91707	false
236	true	false	true	true	false	152665	false
237	true	false	true	false	true	64512	false
238	true	false	true	true	false	103519	false
239	true	false	true	true	false	111369	false
240	true	false	true	false	true	57210	false
241	true	false	true	false	true	117282	false
242	true	false	true	true	false	71910	false
243	true	false	true	true	false	104702	false
244	true	false	true	false	true	100827	false
245	true	true	false	false	false	71480	false
246	true	false	true	true	false	66911	false
247	true	false	true	true	false	90902	false
248	true	false	true	false	true	125524	false
249	true	false	true	true	false	68336	false
250	true	false	true	false	true	120859	false
251	true	false	true	true	false	71627	false
252	true	false	true	true	false	63821	false
253	true	false	true	true	false	48881	false
254	true	false	true	true	false	80913	false
255	true	false	true	true	false	69180	false
256	true	false	true	true	false	61692	false
257	true	false	true	true	false	57535	false
258	true	false	true	true	false	67057	false
259	true	false	true	true	false	52199	false
260	true	false	true	true	false	51436	false
261	true	false	true	true	false	62236	false
262	true	false	true	true	false	47338	false
263	true	false	true	true	false	72720	false
264	true	false	true	true	false	95536	false
265	true	false	true	true	false	47121	false
266	true	false	true	true	false	145032	false
267	true	false	true	true	false	51614	false
268	true	false	true	true	false	45970	false
269	true	false	true	true	false	47524	false
270	true	false	true	true	false	71737	false
271	true	false	true	true	false	98359	false
272	true	false	true	true	false	77437	false
273	true	true	false	false	false	65349	false
274	true	false	false	false	false	114922	false
275	true	false	true	false	true	123781	false
276	true	false	true	false	true	48485	false
277	true	false	true	false	true	45227	false
278	true	false	true	true	false	103368	false
279	true	false	true	true	false	65034	false
280	true	false	true	true	false	84093	false
281	true	false	true	true	false	43941	false
282	true	false	false	false	false	58882	false
283	false	false	false	false	false	60702	false
284	true	false	true	true	false	64841	false
285	true	false	true	true	false	53633	false
286	true	false	true	true	false	57828	false
287	true	false	true	true	false	51331	false
288	true	false	true	true	false	45650	false
289	true	false	true	true	false	43693	false
290	true	false	true	true	false	44128	false
291	true	false	true	false	true	292869	false
292	true	false	true	true	false	98640	false
293	true	false	true	true	false	73887	false
294	true	false	true	true	false	69565	false
295	true	false	true	true	false	57871	false
296	true	false	true	true	false	79269	false
297	true	false	true	false	true	130306	false
298	true	false	true	true	false	55286	false
299	true	false	true	true	false	85440	false
300	true	false	true	true	false	60896	false
301	true	true	false	false	false	96783	false
302	true	false	true	true	false	124400	false
303	true	false	true	true	false	70659	false
304	true	false	true	true	false	72786	false
305	true	false	true	false	true	188613	false
306	true	false	true	true	false	97163	false
307	false	false	false	false	false	61333	false
308	true	false	true	true	false	67750	false
309	true	false	true	true	false	82962	false
310	true	false	true	true	false	160260	false
311	true	false	true	true	false	75708	false
312	true	false	true	true	false	153857	false
313	true	false	true	true	false	68608	false
314	true	false	true	true	false	54237	false
315	true	false	true	true	false	138441	false
316	true	false	true	true	false	89102	false
317	true	false	true	true	false	48439	false
318	true	false	true	true	false	90285	false
319	true	false	true	true	false	69640	false
320	true	false	true	true	false	92326	false
321	true	false	true	false	true	91664	false
322	true	false	true	true	false	88578	false
323	true	false	true	true	false	219492	false
324	true	false	true	true	false	101529	false
325	true	false	true	true	false	86906	false
326	true	false	true	true	false	84311	false
327	true	false	true	true	false	72404	false
328	true	false	true	true	false	74266	false
329	true	false	true	true	false	52365	false
330	true	false	true	true	false	76662	false
331	true	false	true	true	false	55603	false
332	true	false	true	true	false	64973	false
333	true	false	true	true	false	73465	false
334	true	true	false	false	false	71133	false
335	true	false	true	true	false	62449	false
336	true	false	true	true	false	53562	false
337	true	false	false	false	false	67416	false
338	true	false	true	true	false	84568	false
339	true	false	true	true	false	76088	false
340	true	false	true	true	false	114064	false
341	true	false	true	true	false	95299	false
342	true	false	true	false	true	84257	false
343	true	false	true	true	false	43313	false
344	true	false	true	true	false	52567	false
345	true	false	true	true	false	125536	false
346	true	false	true	true	false	64307	false
347	true	false	true	true	false	54574	false
348	true	false	true	false	true	140444	false
349	true	false	true	true	false	141422	false
350	true	false	true	true	false	63280	false
351	true	false	true	true	false	80846	false
352	true	false	true	true	false	95079	false
353	true	false	true	true	false	94337	false
354	true	false	true	true	false	83700	false
355	true	false	true	true	false	73227	false
356	true	false	true	true	false	41050	false
357	true	false	true	true	false	72279	false
358	true	false	true	true	false	90032	false
359	true	false	true	false	true	84654	false
360	true	false	true	true	false	44555	false
361	true	false	true	true	false	48816	false
362	true	false	true	true	false	112394	false
363	true	false	true	true	false	61530	false
364	true	false	true	true	false	64201	false
365	true	false	true	true	false	111311	false
366	true	false	true	true	false	100579	false
367	true	false	true	true	false	113127	false
368	true	false	true	true	false	65539	false
369	true	false	true	true	false	42692	false
370	true	false	true	true	false	48088	false
371	true	false	true	true	false	96090	false
372	true	false	true	true	false	73073	false
373	true	true	false	false	false	58001	false
374	true	true	false	false	false	70276	false
375	true	false	true	true	false	53945	false
376	true	true	false	false	false	207838	false
377	true	true	false	false	false	151795	false
378	true	false	true	true	false	45605	false
379	true	false	true	true	false	54666	false
380	true	false	true	true	false	135960	false
381	true	false	true	true	false	114029	false
382	false	false	false	false	false	65477	false
383	true	false	true	true	false	75877	false
384	true	false	true	false	true	78082	false
385	true	false	true	false	true	47613	false
386	true	true	false	false	false	89304	false
387	true	false	true	false	true	90731	false
388	true	false	true	true	false	42979	false
389	true	false	true	false	true	96481	false
390	true	false	true	true	false	49193	false
391	true	false	true	true	false	87911	false
392	true	false	true	true	false	45126	false
393	true	false	true	false	true	63039	false
394	false	false	false	false	false	55533	false
395	true	false	true	true	false	144962	false
396	true	true	false	false	false	112348	false
397	true	true	false	false	false	57012	false
398	true	true	false	false	false	67337	false
399	true	false	true	true	false	63504	false
400	true	false	true	true	false	56505	false
401	true	false	true	true	false	74135	false
402	true	false	true	true	false	60352	false
403	true	false	true	true	false	149980	false
404	true	false	true	true	false	117995	false
405	true	false	true	true	false	171362	true
406	true	false	true	false	true	74125	false
407	true	false	true	false	true	77366	false
408	true	false	true	false	true	67952	false
409	true	false	true	true	false	73680	true
410	true	false	true	true	false	103797	false
411	true	false	true	true	false	46765	false
412	true	false	true	true	false	48368	false
413	true	false	true	true	false	46705	false
414	true	false	true	true	false	88713	false
415	true	false	true	true	false	46357	false
416	true	false	true	true	false	131228	true
417	true	false	true	true	false	65793	false
418	true	false	true	true	false	47509	false
419	true	false	true	true	false	43077	false
420	true	false	true	true	false	81350	false
421	true	false	true	true	false	89324	false
422	true	false	true	true	false	65467	false
423	false	false	false	false	false	55628	false
424	true	false	true	true	false	67285	false
425	true	false	true	true	false	118222	false
426	true	false	true	true	false	47612	false
427	true	false	true	true	false	41994	false
428	true	false	true	true	false	58877	false
429	true	false	true	true	false	69487	false
430	true	false	true	true	false	70259	false
431	true	false	true	true	false	68117	false
432	true	false	true	true	false	80095	false
433	true	false	true	false	true	73454	false
434	true	false	true	false	true	67887	false
435	true	false	true	true	false	40894	false
436	true	false	true	true	false	41114	false
437	true	false	true	true	false	44977	false
438	true	false	true	true	false	47824	false
439	true	false	true	true	false	44871	false
440	true	false	true	true	false	55750	false
441	true	false	true	true	false	60040	false
442	true	false	true	true	false	44164	false
443	true	false	true	true	false	40878	false
444	true	false	true	true	false	43713	false
445	true	false	true	true	false	64387	false
446	true	false	true	false	true	49656	false
447	true	false	true	true	false	65288	false
448	true	false	true	true	false	42315	false
449	true	false	true	true	false	176038	false
450	true	false	true	true	false	79252	false
451	true	false	true	true	false	42518	false
452	true	false	true	true	false	43534	false
453	true	false	true	true	false	89035	false
