ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	false	true	51015	false
2	true	false	true	false	true	67581	false
3	true	false	true	false	true	236734	false
4	true	false	true	false	true	142055	false
5	true	true	false	false	false	64108	false
6	true	false	true	false	true	53763	false
7	true	false	true	false	true	93252	false
8	true	false	true	false	true	65357	false
9	true	false	true	true	false	128016	false
10	true	false	true	true	false	91750	false
11	true	false	true	false	true	163333	false
12	true	false	true	false	true	85541	false
13	true	false	true	false	true	274666	false
14	true	false	true	true	false	51810	false
15	true	false	true	true	false	86337	false
16	true	false	true	true	false	127225	false
17	true	false	true	true	false	68624	false
18	true	true	false	false	false	164452	false
19	true	false	true	true	false	247631	false
20	true	false	true	true	false	71465	false
21	true	false	true	true	false	60985	false
22	true	false	true	true	false	47377	false
23	true	true	false	false	false	64510	false
24	true	false	true	false	true	69815	false
25	true	false	true	true	false	66265	false
26	true	false	true	true	false	101526	false
27	true	false	true	true	false	110251	false
28	true	false	true	true	false	124801	false
29	true	false	true	true	false	63087	false
30	true	false	true	true	false	105719	false
31	true	false	true	true	false	58035	false
32	true	false	true	true	false	179446	false
33	true	false	true	true	false	139972	false
34	true	false	true	true	false	47644	false
35	true	false	true	true	false	100796	false
36	true	false	true	false	true	228137	false
37	true	false	true	true	false	110821	false
38	true	false	true	true	false	96323	false
39	true	false	true	true	false	54063	false
40	true	false	true	true	false	52063	false
41	true	false	true	true	false	153906	false
42	true	false	true	true	false	98859	false
43	true	false	true	true	false	80533	false
44	true	false	true	true	false	120949	false
45	true	false	true	true	false	57275	false
46	true	false	true	true	false	57920	false
47	true	false	true	true	false	183498	false
48	true	false	true	true	false	59037	false
49	true	false	true	false	true	107251	false
50	false	false	false	false	false	47328	false
51	true	false	true	true	false	52608	false
52	true	false	true	true	false	129126	false
53	true	false	true	true	false	53668	false
54	true	false	true	false	true	71994	false
55	true	false	true	true	false	96853	false
56	true	false	true	true	false	97416	false
57	true	false	true	true	false	115949	false
58	true	false	true	false	true	66230	false
59	true	false	true	true	false	54378	false
60	true	true	false	false	false	72623	false
61	true	false	true	true	false	69945	false
62	true	false	true	false	true	54732	false
63	true	false	true	true	false	64662	false
64	true	false	true	true	false	54822	false
65	true	false	true	true	false	60836	false
66	true	false	true	false	true	129506	false
67	true	false	true	true	false	56113	false
68	true	false	true	false	true	134375	false
69	true	false	true	true	false	57247	false
70	true	false	true	true	false	73244	false
71	true	false	true	true	false	63505	false
72	false	false	false	false	false	118968	false
73	true	false	true	true	false	60172	false
74	true	false	true	true	false	84788	false
75	true	false	true	true	false	51571	false
76	true	false	true	true	false	73491	false
77	true	false	true	true	false	100802	false
78	true	false	true	true	false	88554	false
79	true	false	true	true	false	116540	false
80	true	false	true	true	false	132254	false
81	true	false	true	true	false	167180	false
82	true	false	true	true	false	94365	false
83	true	false	true	true	false	170897	false
84	true	false	true	true	false	64836	false
85	true	false	true	true	false	119718	false
86	true	false	true	true	false	162899	false
87	true	false	true	true	false	114600	false
88	true	false	true	true	false	49862	false
89	true	false	true	true	false	48333	false
90	true	false	true	true	false	66498	false
91	true	false	true	true	false	45722	false
92	true	false	true	true	false	47306	false
93	true	false	true	false	true	56034	false
94	true	false	true	true	false	127731	false
95	true	false	true	true	false	135045	false
96	true	false	true	false	true	273859	false
97	true	false	true	true	false	48918	false
98	true	false	true	true	false	51301	false
99	true	false	true	true	false	50809	false
100	true	false	true	true	false	108968	false
101	true	false	true	true	false	53371	false
102	true	false	true	true	false	45421	false
103	true	false	true	true	false	66975	false
104	false	false	false	false	false	69927	false
105	true	false	true	false	true	207263	false
106	true	false	true	true	false	79879	false
107	true	false	true	true	false	93122	false
108	true	false	true	true	false	86361	false
109	true	false	true	true	false	60582	false
110	true	false	true	true	false	67065	false
111	true	false	true	true	false	51269	false
112	true	true	false	false	false	68577	false
113	true	false	true	false	true	61914	false
114	true	false	true	true	false	102605	false
115	true	false	true	true	false	94900	false
116	true	false	true	true	false	140210	false
117	true	false	true	true	false	70725	false
118	true	false	true	true	false	69161	false
119	true	false	true	true	false	72175	false
120	true	false	true	true	false	96116	false
121	true	false	true	true	false	110508	false
122	true	false	true	false	true	165195	false
123	true	false	true	true	false	71665	false
124	true	false	true	true	false	95106	false
