ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	false	true	12795	499
2	true	false	true	false	true	12795	454
3	true	false	true	false	true	12790	475
4	true	false	true	false	true	12161	538
5	true	true	false	false	false	12588	2147483647
6	true	false	true	false	true	12141	453
7	true	false	true	false	true	12533	510
8	true	false	true	false	true	12333	475
9	true	false	true	true	false	12093	452
10	true	false	true	true	false	13152	451
11	true	false	true	true	false	12204	450
12	true	false	true	false	true	14537	450
13	true	false	true	true	false	12840	449
14	true	false	true	true	false	13076	448
15	true	false	false	false	true	13425	449
16	true	true	false	false	false	12648	2147483647
17	true	false	true	false	true	12672	448
18	true	false	true	true	false	13010	447
19	true	false	true	true	false	15644	446
20	true	false	true	true	false	13014	445
21	true	false	true	true	false	12625	444
22	true	false	true	true	false	13086	443
23	true	false	true	true	false	13027	442
24	true	false	true	true	false	12801	441
25	true	false	true	true	false	12212	440
26	true	false	true	true	false	17113	439
27	true	false	true	true	false	12397	438
28	true	false	true	true	false	15230	437
29	true	false	true	true	false	12348	436
30	true	false	true	true	false	12658	434
31	true	false	true	false	true	23013	434
32	false	false	false	false	false	13290	2147483647
33	true	false	true	true	false	13151	433
34	true	false	true	true	false	15218	432
35	true	false	true	true	false	12250	431
36	true	false	true	true	false	12549	430
37	true	false	true	true	false	13612	429
38	true	false	false	false	false	12908	429
39	true	false	true	true	false	12470	428
40	true	false	true	true	false	11741	427
41	true	false	true	true	false	12479	426
42	true	false	true	true	false	13587	425
43	true	false	true	true	false	15727	424
44	true	false	true	true	false	14174	423
45	true	false	true	true	false	13303	422
46	true	false	true	true	false	19593	421
47	true	false	true	true	false	14727	420
48	true	false	true	true	false	13221	419
49	true	false	true	true	false	14486	418
50	true	true	false	false	false	12678	2147483647
51	true	false	true	true	false	12105	417
52	true	false	true	true	false	14777	416
53	true	false	true	true	false	13410	415
54	true	false	true	true	false	12208	414
55	true	false	true	true	false	12333	413
56	true	false	true	true	false	16719	412
57	true	false	false	false	true	14149	413
58	false	false	false	false	false	16598	2147483647
59	true	true	false	false	false	13529	2147483647
60	true	false	true	true	false	11610	410
61	true	false	true	false	true	28475	411
62	true	false	true	false	true	13115	410
63	true	false	true	false	true	14397	410
64	true	false	false	false	true	11826	411
65	true	false	true	true	false	11973	409
66	true	false	true	true	false	13247	408
67	true	false	true	true	false	13123	407
68	true	false	true	true	false	11633	406
69	true	false	true	true	false	11675	405
70	true	false	true	true	false	15026	404
71	true	false	true	true	false	11565	403
72	true	false	true	true	false	11932	401
73	true	false	true	false	true	15779	401
74	true	false	true	true	false	15482	400
75	true	false	true	true	false	11491	399
76	true	false	true	true	false	11486	398
77	true	true	false	false	false	12263	2147483647
78	true	false	true	true	false	11847	397
79	true	false	true	true	false	13960	396
80	true	false	true	true	false	17070	395
81	true	false	true	true	false	14784	394
82	true	false	true	true	false	17013	393
83	true	false	true	true	false	17400	392
84	true	false	true	true	false	10981	391
85	true	false	true	true	false	11119	390
86	true	true	false	false	false	10941	2147483647
87	true	false	true	true	false	11319	389
88	true	false	true	true	false	11546	388
89	true	false	true	true	false	12600	387
90	true	false	true	false	true	11175	387
91	true	false	true	true	false	11396	386
92	true	false	true	true	false	12122	385
93	true	false	true	true	false	11170	384
94	true	false	true	true	false	10881	382
95	true	false	true	false	true	14994	382
96	true	false	true	false	true	11076	387
97	true	false	true	true	false	11239	381
98	true	false	true	true	false	12075	380
99	true	false	true	true	false	13091	379
100	true	false	true	true	false	12694	378
101	true	false	true	true	false	11714	377
102	true	false	true	false	true	10980	377
103	true	false	true	true	false	10798	376
104	true	true	false	false	false	11460	2147483647
105	true	false	true	false	true	11601	376
106	true	false	true	false	true	47262	376
107	true	false	true	false	true	11121	376
108	true	false	true	false	true	10732	376
109	true	true	false	false	false	11254	2147483647
110	true	true	false	false	false	10951	2147483647
111	true	true	false	false	false	10937	2147483647
112	true	false	true	true	false	11363	375
113	true	false	true	true	false	11204	374
114	true	false	true	true	false	12859	373
115	true	false	false	false	false	10869	373
116	true	true	false	false	false	11303	2147483647
117	true	true	false	false	false	11849	2147483647
118	true	false	true	true	false	11154	371
119	true	false	true	false	true	15776	371
120	true	false	true	true	false	23959	370
121	true	false	true	true	false	19092	367
122	true	false	true	false	true	17332	367
123	true	false	true	false	true	20848	367
124	true	false	true	true	false	21429	366
125	true	true	false	false	false	11953	2147483647
126	true	true	false	false	false	11249	2147483647
127	true	false	true	true	false	12463	365
128	true	false	true	true	false	12428	364
129	true	false	false	false	true	11162	365
130	true	false	true	true	false	12293	363
131	true	false	false	false	true	11434	364
132	true	false	true	true	false	11740	362
133	true	false	true	true	false	15101	361
134	true	false	true	true	false	19915	360
135	true	false	true	true	false	15325	359
136	true	false	false	false	true	12076	360
137	true	false	true	true	false	11775	358
138	true	false	false	false	true	11223	359
139	true	false	false	false	true	11312	359
140	true	false	true	true	false	12159	357
141	true	false	true	true	false	12008	356
142	true	false	true	true	false	13389	355
143	true	true	false	false	false	12145	2147483647
144	true	true	false	false	false	11645	2147483647
145	true	false	true	true	false	12830	354
146	true	true	false	false	false	13293	2147483647
147	true	true	false	false	false	12433	2147483647
148	true	true	false	false	false	11727	2147483647
149	true	true	false	false	false	12425	2147483647
150	true	false	true	false	true	11283	355
151	true	false	true	true	false	11872	353
152	true	false	true	true	false	28154	352
153	true	false	true	true	false	15963	351
154	true	false	true	true	false	11424	350
155	true	false	true	true	false	10868	349
156	true	true	false	false	false	12156	2147483647
157	true	false	false	false	false	11406	349
158	true	false	true	true	false	10927	348
159	true	false	true	false	true	10927	348
160	true	false	true	false	true	11372	348
161	true	false	true	true	false	11315	347
162	true	false	true	true	false	13630	346
163	true	false	true	true	false	11223	345
164	true	false	true	true	false	15452	344
165	true	false	true	true	false	10923	343
166	true	false	false	false	true	11146	344
167	true	false	true	true	false	10947	342
168	true	false	true	true	false	11222	341
169	true	false	true	true	false	11142	340
170	true	true	false	false	false	10958	2147483647
171	true	false	true	true	false	11486	338
172	true	false	true	false	true	11345	338
173	true	false	true	true	false	11952	337
174	true	false	true	true	false	11199	336
175	true	false	true	true	false	13700	335
176	true	false	true	false	true	11238	340
177	true	false	true	true	false	11350	334
178	true	true	false	false	false	13448	2147483647
179	true	false	true	true	false	12757	333
180	true	false	true	true	false	11222	332
181	true	false	true	false	true	14370	332
182	true	false	false	false	false	10837	332
183	true	false	true	true	false	11112	331
184	true	false	false	false	true	11429	332
185	true	false	false	false	true	11008	334
186	true	false	true	true	false	11098	330
187	true	true	false	false	false	11006	2147483647
188	true	false	true	true	false	11772	329
189	true	false	true	true	false	11180	328
190	true	false	true	true	false	11377	327
191	true	false	true	true	false	11330	326
192	true	false	true	true	false	11493	324
193	true	false	true	false	true	22209	324
194	true	false	true	false	true	11627	324
195	true	false	true	true	false	15447	323
196	true	false	true	true	false	11167	322
197	true	false	true	true	false	11372	321
198	true	false	true	false	true	10996	322
199	true	false	true	true	false	11656	320
200	true	false	true	true	false	11113	319
201	false	false	false	false	false	11077	2147483647
202	true	false	true	true	false	10853	318
203	true	false	true	true	false	10808	317
204	true	false	true	true	false	11032	316
205	true	false	true	true	false	10923	315
206	true	false	true	true	false	11603	314
207	true	false	true	true	false	11097	313
208	true	false	true	true	false	11283	312
209	true	false	true	true	false	10913	311
210	true	false	true	true	false	11070	310
211	true	false	true	true	false	11909	309
212	true	false	true	true	false	11664	308
213	true	false	true	false	true	11340	333
214	true	false	true	true	false	12513	307
215	true	false	true	false	true	13551	307
216	true	false	true	false	true	12656	319
217	true	false	true	true	false	12535	306
218	true	false	true	true	false	11142	305
219	true	false	true	true	false	11731	304
220	true	true	false	false	false	11070	2147483647
221	true	true	false	false	false	11771	2147483647
222	true	false	true	true	false	11423	303
223	true	true	false	false	false	11489	2147483647
224	false	false	false	false	false	11873	2147483647
225	true	true	false	false	false	11228	2147483647
226	true	false	true	true	false	10814	302
227	true	false	true	true	false	11288	301
228	true	false	true	true	false	10925	300
229	true	false	true	true	false	11493	299
230	true	false	false	false	false	14257	299
231	true	false	false	false	false	13182	299
232	true	false	false	false	false	11092	299
233	true	false	false	false	false	11240	299
234	true	false	true	true	false	11093	298
235	true	true	false	false	false	12492	2147483647
236	true	true	false	false	false	11180	2147483647
237	true	true	false	false	false	10998	2147483647
238	true	true	false	false	false	11086	2147483647
239	true	true	false	false	false	11355	2147483647
240	true	true	false	false	false	11773	2147483647
241	true	true	false	false	false	10909	2147483647
242	true	false	true	true	false	11443	297
243	true	false	true	true	false	14923	296
244	true	false	true	true	false	13713	295
245	true	false	true	true	false	13343	294
246	true	false	true	true	false	14198	291
247	false	false	false	false	false	14143	2147483647
248	true	false	true	false	true	14990	291
249	true	false	true	true	false	14950	289
250	true	false	true	false	true	16500	289
251	true	false	true	true	false	16044	288
252	true	false	true	true	false	11159	287
253	true	false	true	false	true	14027	287
254	true	false	true	true	false	14546	286
255	true	false	true	false	true	13742	286
