ID	TYPE	Message	EXPRESSION	PATH	HASH
1	FIELD_NO_INIT	@NonNull static field app not initialized	  public static Application app;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:33	4dc1d891f4f581f4f40270a04ebad3f3a366b44e
2	FIELD_NO_INIT	@NonNull static field audio not initialized	  public static Audio audio;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:35	171706053513e26ede55bce7989bacbea2a270ae
3	FIELD_NO_INIT	@NonNull static field files not initialized	  public static Files files;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:37	8a263549271ba07805a88bbbb031abdc015aa07d
4	FIELD_NO_INIT	@NonNull static field gl not initialized	  public static GL20 gl;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:40	eb58e7536fe4045a557fa4d1be8d3bfdcc69d3cb
5	FIELD_NO_INIT	@NonNull static field gl20 not initialized	  public static GL20 gl20;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:41	3e0e7540bd84668f880ad10be5a6f54acee55908
6	FIELD_NO_INIT	@NonNull static field gl30 not initialized	  public static GL30 gl30;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:42	fb2f5771b56d266980f45bdf5d6a1f022be70892
7	FIELD_NO_INIT	@NonNull static field graphics not initialized	  public static Graphics graphics;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:34	78f98315155067a18eb3e9de4c4effa417984fe6
8	FIELD_NO_INIT	@NonNull static field input not initialized	  public static Input input;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Gdx.java:36	df1dc334253c236ff4d457efbed458a3151444c0
9	DEREFERENCE_NULLABLE	dereferenced expression keyNames is @Nullable	      return keyNames.get(keyname, -1);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/Input.java:639	2f7d0b476c8b6329d6ca0c71458412b57fb5e665
10	DEREFERENCE_NULLABLE	dereferenced expression loadFuture is @Nullable	    else if (loadFuture.isDone()) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetLoadingTask.java:153	aebd75a9cd630521260cd4a55d27f0b4e5e189b4
11	DEREFERENCE_NULLABLE	dereferenced expression assetDescriptor is @Nullable	    return get(assetDescriptor.fileName, assetDescriptor.type, true);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetManager.java:207	13d8c39adeeb298ca8f135b6eb3c42246fa2c3f6
12	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return get(assetDescriptor.fileName, assetDescriptor.type, true);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetManager.java:207	ca8b9a8949c7e7370f9823ab1039db10e0233749
13	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return get(fileName, type, true);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/AssetManager.java:160	c199d90f5f8bd374fa32216ef73ead2bb4f009e3
14	DEREFERENCE_NULLABLE	dereferenced expression resolver is @Nullable	    return resolver.resolve(fileName);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/AssetLoader.java:52	b67bba3b44513365a877dc3689f18884779d93ac
15	METHOD_NO_INIT	initializer method does not guarantee @NonNull field data (line 49) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public BitmapFontLoader(FileHandleResolver resolver) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/BitmapFontLoader.java:44	85da71a7fbb80c4a621360bc2d5e09d0e48d758c
16	FIELD_NO_INIT	@NonNull field CubemapLoader$CubemapLoaderInfo.data not initialized	    CubemapData data;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/CubemapLoader.java:45	033a4d6f3a9059f41ec2fc7d59af08e1d20d6697
17	DEREFERENCE_NULLABLE	dereferenced expression data is @Nullable	    for (Page page : data.getPages()) {	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/TextureAtlasLoader.java:51	9e9d003ea1a792c74e9cdffa31c7b44f9a7d4b0b
18	DEREFERENCE_NULLABLE	dereferenced expression info.data is @Nullable	    if (!info.data.isPrepared()) info.data.prepare();	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/TextureLoader.java:77	0343a199a3f1d83d766669a890a525fffc75ed64
19	PASS_NULLABLE	passing @Nullable parameter 'info.data' where @NonNull is required	      texture.load(info.data);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/assets/loaders/TextureLoader.java:90	5fd632f291db0ba4d9b3c06d0c135a65f9d9eae2
20	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields file (line 60), type (line 61) are initialized along all control-flow paths (remember to check for exceptions or early returns).	  protected FileHandle() {}	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java:62	24fbf5e07b8a30f2950122a5dcc7f039a6d93818
21	DEREFERENCE_NULLABLE	dereferenced expression color is @Nullable	    this.r = color.r;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Color.java:117	c0582fc7ad2a84876e81a897ebd2d26c4611b7b0
22	DEREFERENCE_NULLABLE	dereferenced expression managedCubemaps.get(Gdx.app) is @Nullable	    return managedCubemaps.get(Gdx.app).size;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Cubemap.java:367	9b1a29539eac2be984cfc776ef226da1b67e2050
23	DEREFERENCE_NULLABLE	dereferenced expression instances is @Nullable	      instances.dispose();	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:244	0383363df194581585dc1a03a88ca93d9696cbfc
24	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return null;	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:805	5181e9fb671cdf03022ffdb81670e8b1815c0072
25	PASS_NULLABLE	passing @Nullable parameter 'shader' where @NonNull is required	    render(shader, primitiveType, offset, count, autoBind);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:710	72a659159be31966436e509e5b5477047611560c
26	DEREFERENCE_NULLABLE	dereferenced expression instances is @Nullable	      if (isInstanced) numInstances = instances.getNumInstances();	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:754	b7cba82e05c9645a4855a3ecbcf797b28b0b397a
27	DEREFERENCE_NULLABLE	dereferenced expression this.instances is @Nullable	    this.instances.updateInstanceData(targetOffset, source, sourceOffset, count);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:337	68f976353c9185652f6c138504bb126086dfef02
28	DEREFERENCE_NULLABLE	dereferenced expression this.instances is @Nullable	    this.instances.updateInstanceData(targetOffset, source, sourceOffset, count);	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Mesh.java:361	d255f5307a8a8df4dc4c143c4bbce3d0bae2c0d4
29	DEREFERENCE_NULLABLE	dereferenced expression Gdx.net is @Nullable	    Gdx.net.sendHttpRequest(	/home/vscode/nullness-benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/Pixmap.java:259	be78a3b322080c63c6ac94b21e88b51262a4a71f
