ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	373	0	49	422	0.000956	openai/gpt-5.1
2	1	365	0	51	416	0.000966	openai/gpt-5.1
3	1	360	0	49	409	0.000940	openai/gpt-5.1
4	1	345	0	50	395	0.000931	openai/gpt-5.1
5	1	344	0	3306	3650	0.033490	openai/gpt-5.1
6	1	344	0	51	395	0.000940	openai/gpt-5.1
7	1	367	0	49	416	0.000949	openai/gpt-5.1
8	1	365	0	49	414	0.000946	openai/gpt-5.1
9	1	458	0	104	562	0.001613	openai/gpt-5.1
10	1	542	0	321	863	0.003888	openai/gpt-5.1
11	1	548	0	136	684	0.002045	openai/gpt-5.1
12	1	552	0	76	628	0.001450	openai/gpt-5.1
13	1	523	0	150	673	0.002154	openai/gpt-5.1
14	1	457	0	85	542	0.001421	openai/gpt-5.1
15	1	588	0	65	653	0.001385	openai/gpt-5.1
16	1	484	0	70	554	0.001305	openai/gpt-5.1
17	1	534	0	151	685	0.002178	openai/gpt-5.1
18	1	505	0	205	710	0.002681	openai/gpt-5.1
19	1	477	0	162	639	0.002216	openai/gpt-5.1
20	1	558	0	64	622	0.001338	openai/gpt-5.1
21	1	382	0	97	479	0.001448	openai/gpt-5.1
22	1	345	0	91	436	0.001341	openai/gpt-5.1
23	1	469	0	86	555	0.001446	openai/gpt-5.1
24	1	460	0	118	578	0.001755	openai/gpt-5.1
25	1	656	0	100	756	0.001820	openai/gpt-5.1
26	1	627	0	462	1089	0.005404	openai/gpt-5.1
27	1	580	0	96	676	0.001685	openai/gpt-5.1
28	1	523	0	98	621	0.001634	openai/gpt-5.1
29	1	547	0	281	828	0.003494	openai/gpt-5.1
30	1	1123	0	965	2088	0.011054	openai/gpt-5.1
31	1	1123	0	965	2088	0.011054	openai/gpt-5.1
32	1	1357	0	174	1531	0.003436	openai/gpt-5.1
33	1	576	0	93	669	0.001650	openai/gpt-5.1
