ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	false	false	false	false	false	323521	2147483647
2	true	false	true	false	true	4823	200
3	false	false	false	false	false	4993	2147483647
4	true	false	true	true	false	9559	151
5	true	true	false	false	false	5636	2147483647
6	true	false	true	false	true	236679	170
7	false	false	false	false	false	215032	2147483647
8	true	true	false	false	false	8843	2147483647
9	true	true	false	false	false	11373	2147483647
10	true	false	true	true	false	4174	150
11	true	false	true	false	true	4192	150
12	true	false	true	true	false	4723	149
13	true	false	true	true	false	24744	145
14	true	false	true	false	true	20396	145
15	true	false	true	false	true	11972	145
16	true	false	true	false	true	12181	145
17	true	false	true	true	false	12420	144
18	true	false	true	false	true	4148	145
19	true	false	true	true	false	8100	143
20	true	false	true	true	false	13425	142
21	false	false	false	false	false	4125	2147483647
22	true	false	true	false	true	9337	142
23	true	false	true	true	false	4216	141
24	true	false	true	true	false	11757	140
25	true	false	true	true	false	4521	139
26	true	false	true	true	false	8431	138
27	true	false	true	true	false	4241	137
28	true	false	true	true	false	28245	136
29	true	false	true	true	false	52331	135
30	true	false	true	true	false	5305	134
31	true	false	true	true	false	4437	133
32	true	false	true	true	false	74568	28
33	true	false	true	true	false	3336	27
34	true	false	true	false	true	44816	27
35	true	false	true	true	false	34031	26
36	false	false	false	false	false	189407	2147483647
37	true	false	true	false	true	66060	26
38	true	false	true	false	true	20145	26
39	false	false	false	false	false	3559	2147483647
40	true	false	true	false	true	6076	26
41	true	false	true	false	true	6737	26
42	true	false	true	false	true	6327	26
43	true	false	true	false	true	3069	26
44	true	false	true	false	true	5939	26
45	false	false	false	false	false	5721	2147483647
46	true	false	true	false	true	2957	26
47	true	false	true	false	true	6815	26
48	true	false	true	false	true	6003	26
49	true	false	true	false	true	5841	26
50	true	false	true	false	true	5995	26
51	true	false	true	false	true	9228	26
52	true	false	true	false	true	10127	26
53	true	false	true	false	true	6588	26
54	true	false	true	false	true	5741	26
55	true	false	true	false	true	3008	26
56	true	false	true	false	true	2868	26
57	true	true	false	false	false	5634	2147483647
58	true	false	true	false	true	6259	26
59	true	false	true	false	true	2945	26
60	true	false	true	false	true	3179	26
61	true	false	true	false	true	44414	26
62	false	false	false	false	false	6085	2147483647
63	true	false	true	false	true	3234	26
64	false	false	false	false	false	5777	2147483647
65	true	false	true	false	true	2949	26
66	true	false	true	false	true	5905	26
67	true	true	false	false	false	2917	2147483647
68	true	true	false	false	false	3244	2147483647
69	true	false	true	false	true	6383	26
70	true	false	true	false	true	5881	26
71	true	false	true	true	false	46367	25
72	true	false	true	false	true	2881	25
73	false	false	false	false	false	5802	2147483647
74	true	false	true	false	true	59234	25
75	false	false	false	false	false	6165	2147483647
76	true	false	true	false	true	3133	25
77	false	false	false	false	false	2961	2147483647
78	true	false	true	false	true	24820	25
79	true	true	false	false	false	5986	2147483647
80	false	false	false	false	false	5835	2147483647
81	true	false	true	false	true	2920	25
82	true	false	true	true	false	6091	24
83	true	false	true	true	false	6113	23
84	true	false	true	false	true	2970	23
85	true	false	true	false	true	5894	23
86	true	false	true	false	true	5958	23
87	true	false	true	false	true	2883	23
88	true	false	true	true	false	2894	22
89	true	false	true	false	true	8769	28
90	true	false	true	false	true	3131	22
91	true	false	true	false	true	3099	22
92	true	false	true	false	true	17464	22
93	true	false	true	false	true	3087	22
94	true	false	true	false	true	2753	22
95	true	false	true	true	false	3027	21
96	true	true	false	false	false	3680	2147483647
97	true	false	true	true	false	3411	20
98	true	false	true	true	false	3581	19
99	true	false	true	true	false	45401	18
100	true	false	true	true	false	14782	15
101	true	false	true	false	true	39307	15
102	false	false	false	false	false	21408	2147483647
103	false	false	false	false	false	6704	2147483647
104	false	false	false	false	false	6153	2147483647
105	true	false	true	true	false	3993	14
106	true	false	true	true	false	9758	13
107	true	false	true	true	false	9910	12
108	true	false	true	false	true	209566	14
109	true	false	true	false	true	3083	12
110	true	false	true	true	false	3092	11
111	true	false	true	true	false	8704	10
112	true	false	true	true	false	3428	9
113	true	true	false	false	false	6351	2147483647
114	true	false	true	false	true	3565	9
115	true	true	false	false	false	73111	2147483647
116	true	true	false	false	false	129184	2147483647
117	true	false	true	false	true	3059	9
118	true	false	true	false	true	3125	9
119	true	false	true	false	true	9682	9
120	true	false	true	false	true	12347	9
121	true	false	true	false	true	11038	9
122	true	false	true	false	true	2954	9
123	true	false	true	false	true	2972	9
124	true	false	true	false	true	2873	9
125	true	false	true	false	true	3002	9
126	true	false	true	false	true	3155	9
127	true	false	true	false	true	2898	9
128	true	false	true	false	true	3016	9
129	true	false	true	false	true	2920	9
130	true	false	true	false	true	6195	9
131	true	false	true	false	true	6031	9
132	true	false	true	false	true	3240	9
133	true	false	true	false	true	3125	9
134	true	false	true	false	true	3003	9
135	true	false	true	false	true	8735	15
136	true	false	true	false	true	2705	9
137	true	false	true	false	true	33739	9
138	true	false	true	false	true	6033	9
139	true	false	true	false	true	6197	9
140	true	false	true	false	true	6154	9
141	true	false	true	false	true	3119	9
142	true	false	true	false	true	3439	9
143	true	false	true	false	true	3073	9
144	true	false	true	false	true	6214	9
145	true	false	true	false	true	2973	9
146	true	false	true	false	true	12765	9
147	true	false	true	false	true	2995	9
148	true	false	true	false	true	2971	9
149	true	false	true	false	true	3252	9
150	true	false	true	false	true	3157	9
151	true	true	false	false	false	3034	2147483647
152	true	false	true	false	true	3306	9
