ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	false	false	false	false	false	588960	false
2	true	false	true	false	true	41230	false
3	false	false	false	false	false	479580	false
4	true	false	true	true	false	72659	false
5	true	true	false	false	false	169341	false
6	true	false	true	false	true	305169	false
7	false	false	false	false	false	530240	false
8	true	true	false	false	false	93953	false
9	true	true	false	false	false	140320	false
10	true	false	true	true	false	33696	false
11	true	false	true	false	true	48715	false
12	true	false	true	true	false	13919	false
13	true	false	true	true	false	112414	false
14	true	false	true	true	false	77912	false
15	true	false	true	true	false	28665	false
16	true	false	true	true	false	72817	false
17	true	false	true	true	false	40164	false
18	true	false	true	true	false	44110	false
19	true	false	true	true	false	44735	false
20	true	false	true	true	false	23890	false
21	true	false	true	false	true	26310	false
22	true	false	true	false	true	118733	false
23	true	false	true	false	true	32723	false
24	true	false	true	true	false	23548	false
25	true	false	true	true	false	27149	false
26	true	false	true	true	false	41309	false
27	true	false	true	true	false	29474	false
28	true	false	true	true	false	49365	true
29	true	false	true	true	false	32225	false
30	true	false	true	true	false	25724	true
31	true	false	true	true	false	22540	false
32	true	false	true	true	false	436642	true
33	true	false	true	true	false	22888	false
34	true	false	true	true	false	11001	false
35	true	false	true	false	true	31900	false
36	false	false	false	false	false	487390	false
37	true	false	true	true	false	195199	false
38	true	false	true	true	false	45693	false
39	true	true	false	false	false	20070	false
40	true	false	true	false	true	388583	false
41	true	false	true	false	true	8948	false
42	true	false	true	true	false	30497	false
43	true	false	true	false	true	20946	false
44	true	false	true	true	false	25655	false
45	true	false	true	true	false	31613	false
46	true	false	true	true	false	6880	false
47	true	false	true	true	false	49620	false
48	true	false	true	true	false	148569	false
49	true	false	true	true	false	60507	false
50	true	false	true	false	true	271976	false
51	true	false	true	false	true	72202	false
52	true	false	true	false	true	27613	false
53	true	false	true	false	true	141104	false
54	true	false	true	false	true	9111	false
55	true	false	true	true	false	6315	false
56	true	false	true	true	false	6950	false
57	true	false	true	true	false	65388	false
58	true	false	true	false	true	60654	false
59	true	false	true	true	false	23874	false
60	false	false	false	false	false	18309	false
61	true	false	true	false	true	115208	false
62	true	false	true	false	true	21712	false
63	true	false	true	true	false	19248	false
64	true	false	true	true	false	41070	false
65	true	false	true	true	false	17545	false
66	true	false	true	true	false	7570	false
67	true	false	true	true	false	12945	false
68	true	true	false	false	false	15053	false
69	true	true	false	false	false	9561	false
70	true	false	true	true	false	84330	false
71	true	false	true	true	false	53215	false
72	true	false	true	true	false	8836	false
73	true	false	true	true	false	32237	false
74	true	false	true	true	false	69843	false
75	true	false	true	true	false	26045	false
76	true	false	true	true	false	45575	false
77	false	false	false	false	false	4400	false
78	true	false	true	false	true	35627	false
79	true	false	true	true	false	45254	false
80	true	false	true	true	false	51868	false
81	true	false	true	true	false	16828	false
82	true	false	true	false	true	106133	false
83	true	false	true	true	false	35087	false
84	true	false	true	true	false	23375	false
85	true	false	true	false	true	68143	false
86	true	false	true	true	false	39676	false
87	true	false	true	false	true	7502	false
88	true	false	true	true	false	19870	false
89	true	true	false	false	false	127863	false
90	true	false	true	false	true	51260	false
91	true	false	true	true	false	31898	false
92	true	false	true	true	false	33799	false
93	true	false	true	false	true	22742	false
94	true	false	true	true	false	21272	false
95	true	false	true	true	false	62213	false
96	true	true	false	false	false	62271	false
97	true	false	true	true	false	67729	false
98	true	false	true	false	true	57531	false
99	true	false	true	false	true	62827	false
100	true	false	true	true	false	69351	false
101	true	false	true	true	false	9317	false
102	true	false	true	true	false	26812	false
103	true	false	true	true	false	40734	false
104	true	false	true	true	false	29040	false
105	true	false	true	true	false	126250	false
106	true	false	true	true	false	38283	false
107	true	false	true	false	true	176231	false
108	true	true	false	false	false	156414	false
109	true	false	true	false	true	36624	false
110	true	false	true	true	false	59300	false
111	false	false	false	false	false	12086	false
112	true	false	true	true	false	145740	false
113	false	false	false	false	false	9466	false
114	true	false	true	false	true	134285	false
115	true	true	false	false	false	180418	false
116	true	true	false	false	false	312957	false
117	true	false	true	true	false	28764	false
118	true	false	true	true	false	26070	false
119	false	false	false	false	false	29232	false
120	true	false	true	true	false	47361	false
121	true	false	true	true	false	28189	false
122	true	false	true	true	false	22634	false
123	true	false	true	true	false	8030	false
124	true	false	true	true	false	21995	false
125	true	false	true	true	false	25303	false
126	true	false	true	true	false	35485	false
127	true	false	true	false	true	62785	false
128	true	false	true	true	false	25084	false
129	true	false	true	true	false	50646	false
130	false	false	false	false	false	27701	false
131	false	false	false	false	false	65618	false
132	false	false	false	false	false	30246	false
133	true	false	true	true	false	12081	false
134	true	false	true	true	false	52386	false
135	false	false	false	false	false	10837	false
136	true	false	true	true	false	21923	false
137	false	false	false	false	false	24149	false
138	true	false	true	true	false	26972	false
139	false	false	false	false	false	12353	false
140	false	false	false	false	false	5272	false
141	true	false	true	true	false	6447	false
142	true	false	true	true	false	38734	false
143	true	false	true	true	false	46053	false
144	false	false	false	false	false	27287	false
145	true	false	true	true	false	17673	false
146	true	false	true	false	true	28510	false
147	true	false	true	true	false	12870	false
148	true	false	true	true	false	18824	false
149	true	false	true	false	true	15904	false
150	false	false	false	false	false	57894	false
151	true	false	true	true	false	17664	false
152	true	false	true	false	true	63500	false
