ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	false	true	96770	153
2	true	false	true	true	false	91576	150
3	true	false	true	true	false	59223	149
4	true	false	true	false	true	90439	153
5	true	false	true	false	true	72043	149
6	true	false	true	true	false	38110	148
7	true	false	true	false	true	74416	148
8	true	false	true	true	false	68890	147
9	true	false	true	true	false	78555	146
10	true	false	true	true	false	43920	145
11	true	false	true	true	false	98510	144
12	true	false	true	true	false	52652	143
13	true	false	true	true	false	67629	142
14	true	false	true	false	true	60553	142
15	true	false	true	true	false	159066	139
16	false	false	false	false	false	55951	2147483647
17	true	false	true	true	false	49678	138
18	true	false	true	false	true	46523	139
19	true	false	true	true	false	136406	137
20	true	false	true	true	false	68159	136
21	true	false	true	false	true	58473	136
22	true	true	false	false	false	138765	2147483647
23	false	false	false	false	false	37237	2147483647
24	true	false	true	true	false	70685	135
25	true	false	true	true	false	66575	134
26	true	false	true	true	false	41526	133
27	true	false	true	true	false	57279	132
28	true	false	true	true	false	151582	130
29	true	false	true	false	true	268122	130
30	true	false	true	true	false	114795	129
31	true	false	true	true	false	54314	128
32	true	false	true	false	true	45624	142
33	true	false	true	true	false	77086	127
34	true	false	true	true	false	82252	126
35	true	true	false	false	false	179890	2147483647
36	true	false	true	true	false	55791	125
37	true	false	true	true	false	42030	124
38	true	false	true	true	false	42856	123
39	true	false	true	true	false	35180	122
40	true	false	true	false	true	50108	123
41	true	false	true	true	false	36441	121
42	true	false	true	true	false	84341	120
43	true	false	true	true	false	41595	119
44	true	false	true	true	false	50946	118
45	true	false	true	true	false	159221	117
46	true	false	true	false	true	215625	119
47	false	false	false	false	false	39937	2147483647
48	true	false	true	true	false	35072	116
49	true	false	true	true	false	47684	115
50	true	false	true	true	false	45012	114
51	true	false	true	true	false	45542	113
52	true	false	true	true	false	63370	112
53	true	false	true	true	false	45172	111
54	true	false	true	true	false	122533	110
55	true	false	true	true	false	67779	109
56	true	false	true	true	false	109643	108
57	true	false	true	false	true	86924	110
58	true	true	false	false	false	31399	2147483647
59	true	false	true	true	false	91695	107
60	true	false	true	true	false	41708	106
61	true	false	true	true	false	61408	105
62	true	false	true	true	false	36713	104
63	true	false	true	true	false	41310	103
64	true	false	true	true	false	157304	101
65	true	false	true	true	false	84833	97
66	true	false	true	true	false	43188	96
67	true	false	true	true	false	93277	95
68	true	false	true	true	false	59516	94
69	false	false	false	false	false	62286	2147483647
70	true	false	true	true	false	71456	93
71	true	false	true	true	false	99151	92
72	true	false	true	true	false	76621	91
73	true	false	true	true	false	73274	90
74	true	false	true	true	false	59604	89
75	true	false	true	true	false	61994	88
76	true	false	true	true	false	121853	87
77	true	false	true	true	false	164765	86
78	true	false	true	true	false	50019	85
79	true	true	false	false	false	93132	2147483647
80	true	false	true	true	false	112200	83
81	true	false	true	true	false	41024	82
82	true	false	true	false	true	133820	85
83	true	false	true	true	false	68781	81
84	true	false	true	true	false	65035	80
85	true	false	true	true	false	127829	79
86	true	false	true	true	false	97425	78
87	true	false	true	true	false	86634	77
88	true	false	true	true	false	197714	19
89	true	false	true	false	true	80278	75
90	true	false	true	false	true	85131	19
91	true	false	true	false	true	83716	19
92	true	false	true	false	true	83618	19
93	true	false	true	false	true	72054	19
94	true	false	true	false	true	257587	19
95	true	false	true	true	false	79963	18
96	true	false	true	false	true	54790	19
97	true	false	true	true	false	53645	17
98	true	false	true	false	true	79699	17
99	true	false	true	true	false	121719	15
100	true	true	false	false	false	128195	2147483647
101	true	false	true	true	false	89936	12
102	false	false	false	false	false	69253	2147483647
103	true	false	true	false	true	88392	12
104	true	false	true	false	true	84723	12
105	true	false	true	true	false	100975	11
106	true	false	true	true	false	53174	10
107	true	false	true	true	false	110143	8
108	false	false	false	false	false	51379	2147483647
109	true	false	true	false	true	60097	8
110	true	true	false	false	false	231454	2147483647
111	true	false	true	true	false	176298	7
112	true	false	true	true	false	62673	6
113	true	false	true	false	true	110680	6
114	true	false	true	false	true	53674	6
115	true	false	true	false	true	84401	6
116	true	false	true	false	true	69522	6
117	false	false	false	false	false	59895	2147483647
118	false	false	false	false	false	53687	2147483647
119	true	false	true	false	true	90206	62
120	true	false	true	false	true	64562	6
121	true	true	false	false	false	91683	2147483647
122	true	false	true	false	true	109428	6
123	true	false	true	false	true	100330	6
124	true	false	true	false	true	98086	6
125	false	false	false	false	false	76248	2147483647
126	true	false	true	true	false	130611	5
127	true	false	true	false	true	68642	61
128	true	false	true	false	true	163194	5
129	true	false	true	false	true	80886	5
130	true	false	true	false	true	58175	5
131	true	true	false	false	false	196382	2147483647
132	true	false	true	false	true	114157	5
133	true	false	true	false	true	56266	5
134	true	false	true	false	true	57451	5
135	true	false	true	false	true	143130	5
136	true	false	true	false	true	81484	61
137	true	false	true	false	true	114746	5
138	true	false	true	false	true	84353	5
139	true	false	true	false	true	61814	5
140	true	false	true	false	true	82012	5
141	true	false	true	false	true	97741	5
142	true	false	true	false	true	82599	5
143	true	false	true	false	true	195060	5
144	true	false	true	false	true	99995	5
145	true	false	true	false	true	83530	5
146	true	false	true	false	true	84041	5
147	true	false	true	false	true	113308	5
148	true	false	true	false	true	71095	5
149	true	true	false	false	false	102068	2147483647
150	true	false	true	false	true	74556	5
151	true	false	true	false	true	106668	61
152	true	false	true	false	true	100192	5
