ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	84192	false
2	true	false	true	true	false	63594	false
3	true	false	true	false	true	61839	false
4	true	false	true	true	false	54432	false
5	true	false	true	true	false	37330	false
6	true	false	true	true	false	41228	false
7	true	false	true	true	false	48280	false
8	true	false	true	true	false	73144	false
9	true	false	true	false	true	82297	false
10	true	false	true	true	false	61866	false
11	true	false	true	true	false	113516	false
12	true	false	false	false	false	87223	false
13	true	false	true	true	false	184158	false
14	true	false	true	true	false	177312	false
15	true	false	true	true	false	56940	false
16	true	true	false	false	false	117747	false
17	true	false	true	true	false	105454	false
18	true	false	true	false	true	45131	false
19	true	false	true	true	false	104470	false
20	true	false	true	true	false	43029	false
21	true	false	true	true	false	46608	false
22	true	false	true	true	false	59144	false
23	true	false	true	true	false	74434	false
24	true	false	true	true	false	62618	false
25	true	false	true	true	false	56841	false
26	true	false	true	true	false	37575	false
27	true	false	true	true	false	34462	false
28	true	false	true	true	false	44621	false
29	true	false	true	true	false	36534	false
30	true	false	true	true	false	69306	false
31	true	false	true	true	false	35816	false
32	true	false	true	false	true	99154	false
33	true	false	true	true	false	43918	false
34	true	false	true	true	false	51635	false
35	true	false	true	false	true	95102	false
36	true	false	true	false	true	44282	false
37	true	false	true	false	true	209755	false
38	true	false	true	true	false	36460	false
39	true	false	true	true	false	35231	false
40	true	false	true	false	true	101987	false
41	true	false	true	true	false	62288	false
42	true	false	true	true	false	71911	false
43	true	false	true	true	false	57520	false
44	true	false	true	true	false	43033	false
45	true	false	true	true	false	40445	false
46	true	false	true	false	true	79784	false
47	true	false	true	true	false	69239	false
48	true	false	true	true	false	35831	false
49	true	false	true	true	false	37249	false
