ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
50	true	false	true	true	false	98275	false
51	true	false	true	true	false	40324	true
52	true	false	true	true	false	45150	true
53	true	false	true	true	false	68821	true
54	true	false	true	false	true	63832	false
55	true	false	true	true	false	52580	false
56	true	false	true	true	false	41676	false
57	true	false	true	false	true	123720	false
58	true	false	true	true	false	43794	false
59	true	false	true	true	false	49888	false
60	true	false	true	true	false	32942	false
61	true	false	true	true	false	57880	false
62	true	false	true	true	false	78609	false
63	true	false	true	true	false	34356	false
64	true	false	true	true	false	65201	false
65	true	false	true	true	false	38987	false
66	true	false	true	true	false	37726	false
67	true	false	true	true	false	71914	false
68	false	false	false	false	false	70685	false
69	false	false	false	false	false	49797	false
70	false	false	false	false	false	88568	false
71	true	false	true	true	false	46108	false
72	true	false	true	true	false	74883	false
73	true	false	true	true	false	86568	false
74	true	false	true	true	false	86460	false
75	true	false	true	true	false	35127	false
76	true	false	true	true	false	137180	false
77	true	false	true	true	false	130447	false
78	true	false	true	true	false	66200	false
79	true	false	true	true	false	89031	false
80	true	true	false	false	false	63088	false
81	true	false	true	true	false	62341	false
82	true	false	true	false	true	83751	false
83	true	false	true	true	false	42166	false
84	true	false	true	false	true	47990	false
85	true	false	true	false	true	55418	false
86	true	false	true	true	false	63908	false
87	true	false	true	true	false	75454	false
88	true	false	true	true	false	96763	false
89	true	false	true	true	false	67852	false
90	true	false	true	true	false	55990	false
91	true	false	true	true	false	100262	false
92	true	false	true	true	false	90554	false
93	true	false	true	true	false	83287	false
94	true	false	true	true	false	177274	false
95	true	false	true	true	false	60870	false
96	true	false	true	false	true	37279	false
97	true	false	true	false	true	32022	false
98	true	true	false	false	false	72560	false
99	true	false	true	false	true	37113	false
100	true	false	true	true	false	110582	false
101	true	false	true	true	false	46700	false
102	true	false	true	true	false	71805	false
103	true	false	true	true	false	30974	false
104	true	false	true	true	false	46295	false
105	true	false	true	true	false	39841	false
106	true	false	true	true	false	33448	false
107	true	false	true	true	false	43808	false
108	true	false	true	false	true	52510	false
109	true	false	true	false	true	49519	false
110	true	false	true	true	false	47581	false
111	true	false	true	true	false	32701	false
112	true	false	true	true	false	38185	false
113	true	false	true	false	true	74487	false
114	true	false	true	false	true	41679	false
115	true	false	true	true	false	55856	false
116	true	false	true	false	true	33159	false
117	true	false	true	true	false	62960	false
118	true	false	true	true	false	58822	false
119	true	true	false	false	false	56009	false
120	true	false	true	true	false	46076	false
121	true	false	true	true	false	62966	false
122	false	false	false	false	false	86118	false
123	true	false	true	true	false	71812	false
124	true	false	true	true	false	64022	false
125	true	false	true	true	false	52013	false
126	true	false	true	true	false	73289	false
127	true	false	true	true	false	112828	false
128	true	false	true	true	false	43481	false
129	true	false	true	true	false	39743	false
130	true	false	true	true	false	45400	false
131	true	false	true	true	false	76276	false
132	true	false	true	true	false	51127	false
133	true	false	true	true	false	58130	false
134	true	false	true	true	false	33006	false
135	true	false	true	false	true	37004	false
136	true	false	true	true	false	31706	false
137	true	false	true	true	false	29923	false
138	true	false	true	true	false	41014	false
139	false	false	false	false	false	44383	false
140	true	false	true	true	false	59790	false
141	true	false	true	true	false	39096	false
142	true	false	true	true	false	61057	false
143	true	false	true	true	false	80406	false
144	true	true	false	false	false	81130	false
145	true	false	true	true	false	167145	false
146	true	false	true	true	false	155367	false
147	true	false	true	true	false	56364	false
148	false	false	false	false	false	25151	false
149	true	false	true	true	false	46187	false
150	true	false	true	true	false	31639	false
151	true	false	true	true	false	35382	false
152	true	false	true	true	false	128774	false
