ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	true	false	false	false	5534	2147483647
2	true	true	false	false	false	5629	2147483647
3	true	false	true	true	false	5086	151
4	true	false	true	true	false	4850	150
5	true	false	true	true	false	7302	149
6	true	false	true	true	false	5298	148
7	true	false	true	true	false	4986	147
8	true	false	true	true	false	4315	146
9	true	false	true	true	false	4449	145
10	true	false	true	true	false	5141	144
11	true	true	false	false	false	6965	2147483647
12	true	false	true	true	false	4931	143
13	true	true	false	false	false	4858	2147483647
14	true	false	false	false	true	4657	144
15	true	false	false	false	false	4487	143
16	true	false	false	false	false	5117	143
17	true	false	true	true	false	5024	142
18	true	false	true	true	false	4256	141
19	true	false	true	true	false	4213	140
20	true	false	true	true	false	4532	139
21	true	false	true	true	false	4550	138
22	true	false	true	true	false	4223	137
23	true	false	true	true	false	6322	136
24	true	false	true	true	false	4805	135
25	true	false	true	true	false	6206	134
26	true	false	true	true	false	6377	133
27	true	true	false	false	false	8721	2147483647
28	true	false	true	true	false	9436	130
29	true	false	true	false	true	8843	130
30	true	false	true	true	false	6805	129
31	true	false	true	true	false	7451	128
32	true	false	true	false	true	6474	142
33	true	false	true	true	false	4833	127
34	true	false	true	true	false	13175	126
35	true	true	false	false	false	12939	2147483647
36	true	false	true	true	false	4553	125
37	true	false	true	true	false	6244	124
38	true	false	true	true	false	4446	123
39	false	false	false	false	false	4361	2147483647
40	true	false	true	true	false	4444	122
41	true	false	true	false	true	6120	122
42	true	false	true	true	false	4977	121
43	true	false	true	false	true	4274	121
44	true	false	true	true	false	4909	120
45	true	false	true	true	false	4965	119
46	true	false	true	true	false	4152	118
47	true	false	true	true	false	4705	117
48	true	false	true	true	false	4741	116
49	true	false	true	false	true	4861	117
50	true	false	true	true	false	4866	115
51	true	false	false	false	true	4735	116
52	true	false	false	false	true	4321	118
53	true	false	true	true	false	4308	114
54	true	true	false	false	false	4782	2147483647
55	true	false	true	true	false	4163	113
56	true	false	true	true	false	6827	112
57	true	false	true	true	false	4380	111
58	true	false	true	true	false	4027	110
59	true	false	true	true	false	5076	109
60	true	false	true	true	false	8293	108
61	true	false	true	true	false	4196	107
62	true	true	false	false	false	4335	2147483647
63	true	false	true	true	false	5095	106
64	true	false	true	true	false	4209	105
65	true	false	true	true	false	7081	104
66	true	false	true	true	false	5131	103
67	true	false	true	true	false	5983	102
68	true	true	false	false	false	6533	2147483647
69	true	false	true	false	true	7192	102
70	true	false	true	true	false	5192	101
71	true	false	true	true	false	4533	100
72	true	false	true	true	false	4582	99
73	true	false	true	true	false	9776	98
74	true	false	true	true	false	4683	97
75	true	false	true	true	false	4290	96
76	true	false	true	true	false	4871	95
77	false	false	false	false	false	4167	2147483647
78	true	false	true	true	false	4664	94
79	true	true	false	false	false	4416	2147483647
80	true	false	true	true	false	4892	93
81	true	false	true	true	false	4579	92
82	true	true	false	false	false	4818	2147483647
83	true	true	false	false	false	4470	2147483647
84	false	false	false	false	false	4672	2147483647
85	true	false	true	true	false	4287	91
86	true	false	true	true	false	7845	90
87	true	false	true	false	true	5711	90
88	true	false	true	true	false	4352	89
89	true	false	false	false	false	4762	89
90	true	false	true	true	false	4644	88
91	true	true	false	false	false	4078	2147483647
92	true	false	true	true	false	4946	87
93	true	false	true	false	true	4281	87
94	true	false	true	true	false	4676	86
95	true	false	true	true	false	4144	85
96	true	false	true	true	false	5033	84
97	true	false	true	true	false	5874	83
98	true	false	true	true	false	4334	82
99	true	false	true	true	false	6356	81
100	true	true	false	false	false	11872	2147483647
101	true	false	true	true	false	4820	78
102	false	false	false	false	false	10751	2147483647
103	true	false	true	true	false	4861	77
104	true	false	true	true	false	8697	76
105	true	false	true	true	false	4612	75
106	true	false	true	true	false	4272	74
107	true	true	false	false	false	7524	2147483647
108	true	false	true	true	false	5614	73
109	true	false	true	false	true	4262	73
110	true	false	true	false	true	5037	73
111	true	false	true	true	false	4308	72
112	true	false	true	true	false	4622	71
113	true	false	true	true	false	4767	70
114	true	false	true	false	true	4694	71
115	true	false	true	true	false	4370	69
116	true	false	true	true	false	6691	68
117	true	false	true	true	false	4629	67
118	true	false	true	true	false	11239	66
119	true	false	true	true	false	9056	65
120	true	false	true	true	false	7259	63
121	true	false	true	false	true	6917	63
122	true	false	true	true	false	8300	61
123	true	false	true	false	true	7481	61
124	true	false	true	true	false	7897	60
125	true	false	true	true	false	7612	58
126	true	false	true	false	true	8053	58
127	true	false	true	true	false	6804	57
128	true	false	true	true	false	6911	56
129	true	false	true	true	false	4825	55
130	true	false	true	true	false	4569	53
131	true	false	true	true	false	7919	52
132	true	false	true	false	true	9152	52
133	true	false	true	true	false	4344	51
134	true	false	true	true	false	4639	50
135	true	false	true	true	false	6577	49
136	true	false	true	true	false	5261	48
137	true	false	true	true	false	4364	47
138	true	false	true	true	false	4378	46
139	true	false	true	true	false	5017	44
140	false	false	false	false	false	7383	2147483647
141	true	false	true	true	false	4766	43
142	true	false	true	true	false	4176	42
143	true	false	true	true	false	4328	41
144	true	false	true	true	false	9489	40
145	true	false	true	true	false	4963	39
146	true	false	true	true	false	4327	38
147	true	false	true	true	false	7201	37
148	true	false	true	true	false	11453	36
149	true	false	true	true	false	7832	35
150	true	false	true	true	false	4240	34
151	true	true	false	false	false	4421	2147483647
152	true	false	true	true	false	4326	33
