ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	true	false	false	false	7412	false
2	true	true	false	false	false	9471	false
3	true	false	true	true	false	7204	true
4	true	false	true	true	false	35158	false
5	true	false	true	true	false	7270	false
6	true	false	true	true	false	8185	false
7	true	false	true	true	false	43846	false
8	true	false	true	true	false	6699	false
9	true	false	true	true	false	7368	true
10	true	false	true	true	false	7459	false
11	true	true	false	false	false	7294	false
12	true	false	true	true	false	7112	false
13	true	true	false	false	false	6309	false
14	true	false	false	false	true	5640	false
15	true	false	false	false	false	6167	false
16	true	false	false	false	false	6820	false
17	true	false	true	true	false	54922	false
18	true	false	true	true	false	6140	true
19	true	false	true	true	false	8378	false
20	true	false	true	true	false	26453	false
21	true	false	true	true	false	7095	false
22	true	false	true	true	false	35069	false
23	true	false	true	true	false	7553	false
24	true	false	true	true	false	6943	false
25	true	false	true	true	false	13107	false
26	true	false	true	true	false	6859	false
27	true	true	false	false	false	27224	false
28	true	false	true	true	false	9635	false
29	true	false	true	true	false	44164	false
30	true	false	true	true	false	7187	false
31	true	false	true	true	false	42422	false
32	true	false	true	true	false	7099	false
33	true	false	true	true	false	8802	false
34	true	false	true	true	false	11154	false
35	true	true	false	false	false	10961	false
36	true	false	true	true	false	6491	true
37	true	false	true	true	false	5837	true
38	true	false	true	true	false	44473	false
39	true	true	false	false	false	7487	false
40	true	false	true	true	false	32501	true
41	true	false	false	false	false	6655	false
42	true	false	true	true	false	6582	false
43	true	false	true	false	true	6704	false
44	true	false	true	true	false	8465	false
45	true	false	true	true	false	38374	false
46	true	false	true	true	false	6873	false
47	true	false	true	true	false	5557	false
48	true	false	true	true	false	7033	false
49	true	false	true	false	true	6690	false
50	true	false	true	true	false	38004	false
51	true	false	false	false	true	6567	true
52	true	false	false	false	true	8016	false
53	true	false	true	true	false	6038	true
54	true	true	false	false	false	6274	false
55	true	false	true	true	false	6400	false
56	true	false	true	true	false	30354	false
57	true	false	true	true	false	6592	false
58	true	false	true	true	false	6018	false
59	true	false	true	true	false	42737	false
60	true	false	true	true	false	9344	false
61	true	false	true	true	false	17109	false
62	true	true	false	false	false	15317	false
63	true	false	true	true	false	6649	false
64	true	false	true	true	false	9062	false
65	true	false	true	true	false	6854	true
66	true	false	true	true	false	6861	false
67	true	false	true	true	false	6724	false
68	true	true	false	false	false	19980	false
69	true	false	false	false	false	6877	false
70	true	false	true	true	false	27780	false
71	true	false	true	true	false	17159	false
72	true	false	true	true	false	9287	false
73	true	false	true	true	false	43593	false
74	true	false	true	true	false	6598	true
75	true	false	true	true	false	7836	false
76	true	false	true	true	false	40704	false
77	false	false	false	false	false	4392	false
78	true	false	true	true	false	7471	false
79	true	true	false	false	false	12087	false
80	true	false	true	true	false	10721	false
81	true	false	true	true	false	6583	false
82	true	true	false	false	false	6454	false
83	true	true	false	false	false	6064	false
84	false	false	false	false	false	43343	false
85	true	false	true	true	false	7192	false
86	true	false	true	true	false	17218	false
87	true	false	true	false	true	6596	false
88	true	false	true	true	false	8150	false
89	true	false	false	false	false	6557	false
90	true	false	true	true	false	36727	false
91	true	true	false	false	false	6896	false
92	true	false	true	true	false	11106	false
93	true	false	true	false	true	6382	false
94	true	false	true	true	false	16459	false
95	true	false	true	true	false	6415	false
96	true	false	true	true	false	6669	true
97	true	false	true	true	false	35719	false
98	true	false	true	true	false	7908	true
99	true	false	true	false	true	7080	false
100	true	false	true	true	false	10346	false
101	true	true	false	false	false	12002	false
102	true	true	false	false	false	11963	false
103	true	false	true	true	false	14396	false
104	true	false	true	true	false	10824	false
105	true	false	true	true	false	7230	false
106	true	false	true	true	false	30950	false
107	true	false	true	true	false	7281	false
108	true	false	true	true	false	6296	false
109	true	false	true	false	true	12945	false
110	true	false	true	false	true	9397	false
111	true	false	true	true	false	21738	false
112	true	false	true	true	false	5547	false
113	true	false	true	true	false	6258	false
114	true	false	true	false	true	6581	false
115	true	false	true	true	false	20982	false
116	true	false	true	true	false	6751	false
117	true	false	true	true	false	6954	false
118	true	false	true	true	false	37564	false
119	true	false	true	true	false	8379	false
120	true	false	true	true	false	24359	false
121	true	false	true	true	false	7832	false
122	true	false	true	true	false	7816	false
123	true	false	true	true	false	31994	false
124	true	false	true	true	false	7380	false
125	true	false	true	true	false	9664	false
126	true	false	true	true	false	8095	false
127	true	false	true	true	false	7621	false
128	true	false	true	true	false	45327	false
129	true	false	true	true	false	6476	false
130	true	false	true	true	false	26210	false
131	true	false	true	true	false	8535	false
132	true	false	true	true	false	9226	false
133	true	false	true	true	false	6551	false
134	true	false	true	true	false	26886	false
135	true	false	true	false	true	6209	false
136	true	false	true	true	false	6509	false
137	true	false	true	true	false	7033	false
138	true	false	true	true	false	7021	false
139	true	false	true	true	false	14211	false
140	true	false	true	true	false	7178	false
141	true	false	true	true	false	6632	false
142	true	false	true	true	false	6905	false
143	true	false	true	true	false	11048	false
144	true	false	true	true	false	7780	false
145	true	false	true	true	false	7730	false
146	true	false	true	true	false	7767	false
147	true	false	true	true	false	6834	false
148	true	false	true	true	false	9172	false
149	true	false	true	true	false	35339	false
150	true	false	true	true	false	6641	false
151	true	true	false	false	false	8457	false
152	true	false	true	true	false	37868	false
