ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	485	0	53	538	0.001136	openai/gpt-5.1
2	1	389	0	170	559	0.002186	openai/gpt-5.1
3	1	540	0	81	621	0.001485	openai/gpt-5.1
4	1	422	0	188	610	0.002408	openai/gpt-5.1
5	1	430	0	73	503	0.001268	openai/gpt-5.1
6	1	372	0	223	595	0.002695	openai/gpt-5.1
7	1	415	0	168	583	0.002199	openai/gpt-5.1
8	1	407	0	84	491	0.001349	openai/gpt-5.1
9	1	391	0	83	474	0.001319	openai/gpt-5.1
10	1	422	0	176	598	0.002288	openai/gpt-5.1
11	1	500	0	153	653	0.002155	openai/gpt-5.1
12	1	452	0	145	597	0.002015	openai/gpt-5.1
13	1	451	0	89	540	0.001454	openai/gpt-5.1
14	1	454	0	71	525	0.001278	openai/gpt-5.1
15	1	462	0	75	537	0.001328	openai/gpt-5.1
16	1	442	0	117	559	0.001723	openai/gpt-5.1
17	1	1057	0	888	1945	0.010201	openai/gpt-5.1
18	1	536	0	106	642	0.001730	openai/gpt-5.1
19	1	655	0	300	955	0.003819	openai/gpt-5.1
20	1	295	0	165	460	0.002019	openai/gpt-5.1
21	1	540	0	227	767	0.002945	openai/gpt-5.1
22	1	359	0	85	444	0.001299	openai/gpt-5.1
23	1	409	0	133	542	0.001841	openai/gpt-5.1
24	1	520	0	126	646	0.001910	openai/gpt-5.1
25	1	620	0	114	734	0.001915	openai/gpt-5.1
26	1	493	0	126	619	0.001876	openai/gpt-5.1
27	1	479	0	365	844	0.004249	openai/gpt-5.1
28	1	467	0	345	812	0.004034	openai/gpt-5.1
29	1	455	0	345	800	0.004019	openai/gpt-5.1
30	1	417	0	114	531	0.001661	openai/gpt-5.1
31	1	517	0	98	615	0.001626	openai/gpt-5.1
32	1	432	0	108	540	0.001620	openai/gpt-5.1
33	1	528	0	90	618	0.001560	openai/gpt-5.1
34	1	673	0	533	1206	0.006171	openai/gpt-5.1
35	1	527	0	393	920	0.004589	openai/gpt-5.1
36	1	418	0	111	529	0.001633	openai/gpt-5.1
37	1	392	0	77	469	0.001260	openai/gpt-5.1
38	1	487	0	137	624	0.001979	openai/gpt-5.1
39	1	674	0	223	897	0.003072	openai/gpt-5.1
40	1	491	0	153	644	0.002144	openai/gpt-5.1
41	1	536	0	93	629	0.001600	openai/gpt-5.1
42	1	484	0	140	624	0.002005	openai/gpt-5.1
