ID	TYPE	Message	EXPRESSION	PATH	HASH
2	DEREFERENCE_NULLABLE	dereferenced expression ongoingStubbing is @Nullable	    List<Invocation> allInvocations = ongoingStubbing.getRegisteredInvocations();	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/MockitoCore.java:255	158488c7277397cd948ee5876671f86c9b282abe
3	DEREFERENCE_NULLABLE	dereferenced expression constructorArgs is @Nullable	    List<Object> resultArgs = new ArrayList<Object>(constructorArgs.length + 1);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/MockSettingsImpl.java:161	3bd57ceaf2c043ce8e8e481cac3dad3825a03515
4	PASS_NULLABLE	passing @Nullable parameter 'INSTRUMENTATION' where @NonNull is required	            new InlineBytecodeGenerator(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:293	45e05bc68a7cd7ea6cb110fa8321dfd6b53c71d7
6	DEREFERENCE_NULLABLE	dereferenced expression INSTRUMENTATION is @Nullable	        return INSTRUMENTATION.isModifiableClass(type) && !EXCLUDES.contains(type);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java:476	9592c2ed7e6169a030e47353a72b0bba59dc7091
7	DEREFERENCE_NULLABLE	dereferenced expression canRead is @Nullable	        if (!modules.contains(module) && !(Boolean) canRead.invoke(module, target)) {	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java:281	1a09b2d9d6e25204549d23594044f1b1ed96d5f1
9	PASS_NULLABLE	passing @Nullable parameter 'cause' where @NonNull is required	              hideRecursiveCall(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodAdvice.java:329	e3df1a8a217cf5d739c00a5b77d633ef62820f72
11	DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS.get(identifier) is @Nullable	    return DISPATCHERS.get(identifier).isConstructorMock(type);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java:43	82b5081b342f562b8d83c0fddd1f880420295ee5
15	DEREFERENCE_NULLABLE	dereferenced expression testClassInstance is @Nullable	    return testClassInstance.getClass().getSimpleName() + "." + testMethodName;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/junit/DefaultTestFinishedEvent.java:28	3bcb39a65c93a6d8421dfbc898baa91397e310ef
16	DEREFERENCE_NULLABLE	dereferenced expression message is @Nullable	        .append(message.trim())	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/junit/VerificationCollectorImpl.java:81	62264cdf329fd783dfee1749af61cb5254e7672b
19	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	    return value.getClass().getSimpleName();	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/answers/Returns.java:50	1a6afbdb4c9d5346c6fc9d0dbcac9caf8f5ac487
23	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return (Class<T>) PRIMITIVE_TYPES.get(clazz);	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/Primitives.java:32	7259ab2fa706984f0fe7cd6315aabb19a0516ba5
25	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return fieldInstance != null ? fieldInstance.getClass() : null;	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/FieldInitializationReport.java:53	b6a3287f75462db54ba275536a2475ddc243a32b
27	PASS_NULLABLE	passing @Nullable parameter 'Modifier.isStatic(field.getModifiers()) ? null : target' where @NonNull is required	    assureArguments(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java:195	e82da46438d718285a1d73213d1843ca04c1ef27
28	PASS_NULLABLE	passing @Nullable parameter 'Modifier.isStatic(method.getModifiers()) ? null : target' where @NonNull is required	    assureArguments(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java:157	f18bbc006655e866e113d64eee468d0a12170241
29	PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	    assureArguments(constructor, null, null, arguments, constructor.getParameterTypes());	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java:130	ebd300a557c332f60c47c18cb69fbde90cc39e43
32	PASS_NULLABLE	passing @Nullable parameter 'Modifier.isStatic(field.getModifiers()) ? null : target' where @NonNull is required	    assureArguments(	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java:220	b8de0ed20c17be49d1ee0b4c7d0fea62489f570f
35	DEREFERENCE_NULLABLE	dereferenced expression warningsCollector is @Nullable	            logger.log(warningsCollector.getWarnings());	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/runners/ConsoleSpammingMockitoJUnitRunner.java:55	846d77c887551f24177032d1eb82a441e533661c
36	DEREFERENCE_NULLABLE	dereferenced expression warningsCollector is @Nullable	            String warnings = warningsCollector.getWarnings();	/home/vscode/nullness-benchmarks/mockito/src/main/java/org/mockito/runners/VerboseMockitoJUnitRunner.java:56	c5a895049035d979d4d314cd3aac1b745ed76566
