ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	false	true	8959	39
2	true	false	true	true	false	16853	35
3	true	false	true	true	false	21442	34
4	true	false	true	true	false	8373	33
5	true	false	true	false	true	13899	35
6	true	false	true	true	false	26998	32
7	true	false	true	true	false	46617	30
8	true	false	true	false	true	18169	30
9	true	false	true	true	false	8871	29
10	true	true	false	false	false	8424	2147483647
11	true	true	false	false	false	7755	29
12	true	true	false	false	false	236316	2147483647
13	true	false	true	false	true	6514	29
14	true	false	true	false	true	7151	29
15	true	false	true	true	false	23504	28
16	true	false	true	true	false	6705	27
17	true	true	false	false	false	22197	2147483647
18	true	true	false	false	false	13464	2147483647
19	true	false	true	true	false	27532	26
20	true	false	true	false	true	23328	26
21	true	false	true	false	true	7043	28
22	true	true	false	false	false	34836	2147483647
23	true	false	true	true	false	13352	25
24	true	false	true	false	true	6890	25
25	true	false	true	true	false	12732	24
26	true	false	true	false	true	6495	25
27	true	false	true	true	false	6251	23
28	true	false	true	true	false	14231	22
29	true	false	true	true	false	6603	20
30	false	false	false	false	false	10531	2147483647
31	true	false	true	false	true	58158	21
32	true	false	true	true	false	7325	19
33	true	false	true	false	true	6546	20
34	true	false	true	false	true	12396	24
35	true	false	true	true	false	20522	18
36	true	false	true	true	false	19510	17
