ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	25	0	0	0	0	0.000000	openai/gpt-5.1
2	5	0	0	0	0	0.000000	openai/gpt-5.1
3	2	0	0	0	0	0.000000	openai/gpt-5.1
4	1	0	0	0	0	0.000000	openai/gpt-5.1
5	0	0	0	0	0	0.000000	openai/gpt-5.1
6	2	972	0	83	1055	0.002045	openai/gpt-5.1
7	3	0	0	0	0	0.000000	openai/gpt-5.1
8	2	1334	0	732	2066	0.008988	openai/gpt-5.1
9	1	0	0	0	0	0.000000	openai/gpt-5.1
10	2	0	0	0	0	0.000000	openai/gpt-5.1
11	3	0	0	0	0	0.000000	openai/gpt-5.1
12	21	33308	0	5979	39287	0.101425	openai/gpt-5.1
13	3	0	0	0	0	0.000000	openai/gpt-5.1
14	5	0	0	0	0	0.000000	openai/gpt-5.1
15	2	0	0	0	0	0.000000	openai/gpt-5.1
16	3	0	0	0	0	0.000000	openai/gpt-5.1
17	8	0	0	0	0	0.000000	openai/gpt-5.1
18	4	0	0	0	0	0.000000	openai/gpt-5.1
19	3	0	0	0	0	0.000000	openai/gpt-5.1
20	2	757	0	325	1082	0.004196	openai/gpt-5.1
21	4	0	0	0	0	0.000000	openai/gpt-5.1
22	44	0	0	0	0	0.000000	openai/gpt-5.1
23	6	0	0	0	0	0.000000	openai/gpt-5.1
24	5	0	0	0	0	0.000000	openai/gpt-5.1
25	7	0	0	0	0	0.000000	openai/gpt-5.1
26	18	0	0	0	0	0.000000	openai/gpt-5.1
27	1	0	0	0	0	0.000000	openai/gpt-5.1
28	1	0	0	0	0	0.000000	openai/gpt-5.1
29	1	0	0	0	0	0.000000	openai/gpt-5.1
30	1	732	0	313	1045	0.004045	openai/gpt-5.1
31	18	5062	0	3359	8421	0.039918	openai/gpt-5.1
32	1	0	0	0	0	0.000000	openai/gpt-5.1
33	0	0	0	0	0	0.000000	openai/gpt-5.1
34	0	0	0	0	0	0.000000	openai/gpt-5.1
35	2	0	0	0	0	0.000000	openai/gpt-5.1
36	2	0	0	0	0	0.000000	openai/gpt-5.1
