ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	false	true	97062	true
2	true	false	true	true	false	63639	true
3	true	false	true	true	false	13709	false
4	true	false	true	true	false	13130	false
5	true	false	true	false	true	12137	false
6	true	false	true	true	false	42188	false
7	true	false	true	true	false	55532	false
8	true	false	true	true	false	39462	false
9	true	false	true	true	false	8539	false
10	true	true	false	false	false	21533	false
11	true	false	true	true	false	20826	true
12	true	true	false	false	false	260698	false
13	true	false	true	false	true	17437	false
14	true	false	true	false	true	25472	false
15	true	false	true	true	false	27982	false
16	true	false	true	true	false	17666	false
17	true	true	false	false	false	51667	false
18	true	true	false	false	false	26524	false
19	true	false	true	true	false	34152	false
20	true	false	true	true	false	30581	false
21	true	false	true	false	true	21497	false
22	true	true	false	false	false	328974	false
23	true	false	true	true	false	54226	false
24	true	false	true	false	true	30984	false
25	true	false	true	true	false	56492	false
26	true	false	true	false	true	130198	false
27	true	false	true	true	false	14739	false
28	true	false	true	true	false	14448	false
29	true	false	true	true	false	15152	false
30	true	false	true	true	false	6081	false
31	true	false	true	false	true	6696	false
32	true	false	true	true	false	15915	false
33	true	false	true	false	true	6039	false
34	true	false	true	false	true	12190	false
35	true	false	true	true	false	29994	false
36	true	false	true	true	false	28124	false
