ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	True	False	False	False	127854	False
2	True	False	True	True	False	49154	False
3	True	False	True	True	False	32831	False
4	True	False	True	True	False	13851	False
5	True	False	True	False	True	15458	False
6	True	False	True	True	False	98411	False
7	True	False	True	True	False	76132	False
8	True	False	True	True	False	35378	False
9	True	False	True	True	False	9978	False
10	True	True	False	False	False	15857	False
11	True	False	True	True	False	7040	True
12	True	False	True	False	True	143987	False
13	True	False	True	False	True	28656	False
14	True	False	True	True	False	59910	False
15	True	False	True	True	False	33326	False
16	True	False	True	True	False	19914	False
17	True	False	True	False	True	73989	False
18	True	True	False	False	False	33306	False
19	True	False	True	True	False	34666	False
20	True	False	True	True	False	33623	False
21	True	True	False	False	False	26824	False
22	True	True	False	False	False	282130	False
23	True	False	True	True	False	48699	False
24	True	False	True	False	True	25942	False
25	True	False	True	False	True	38856	False
26	True	False	True	False	True	139762	False
27	True	False	True	True	False	9351	False
28	True	False	True	True	False	10291	False
29	True	False	True	True	False	10302	False
30	True	False	True	True	False	6113	False
31	True	False	True	False	True	6577	False
32	True	False	True	True	False	11596	False
33	True	False	True	False	True	6063	False
34	True	False	True	False	True	12392	False
35	True	False	True	True	False	30056	False
36	True	False	True	True	False	29941	False
