ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	24	10690	0	4963	15653	0.062993	openai/gpt-5.1
2	4	2446	0	1639	4085	0.019448	openai/gpt-5.1
3	2	650	0	768	1418	0.008493	openai/gpt-5.1
4	1	917	0	633	1550	0.007476	openai/gpt-5.1
5	0	0	0	0	0	0.000000	openai/gpt-5.1
6	3	1560	0	1124	2684	0.013190	openai/gpt-5.1
7	3	3263	0	1392	4655	0.017999	openai/gpt-5.1
8	3	551	0	441	992	0.005099	openai/gpt-5.1
9	1	422	0	151	573	0.002038	openai/gpt-5.1
10	2	595	0	523	1118	0.005974	openai/gpt-5.1
11	3	0	0	0	0	0.000000	openai/gpt-5.1
12	8	4484	0	2507	6991	0.030675	openai/gpt-5.1
13	3	1724	0	1161	2885	0.013765	openai/gpt-5.1
14	4	2746	0	1898	4644	0.022413	openai/gpt-5.1
15	2	695	0	511	1206	0.005979	openai/gpt-5.1
16	3	1180	0	541	1721	0.006885	openai/gpt-5.1
17	8	4405	0	2701	7106	0.032516	openai/gpt-5.1
18	4	1343	0	882	2225	0.010499	openai/gpt-5.1
19	3	1055	0	428	1483	0.005599	openai/gpt-5.1
20	3	279	0	505	784	0.005399	openai/gpt-5.1
21	4	1813	0	1142	2955	0.013686	openai/gpt-5.1
22	39	65964	12544	13113	91621	0.215153	openai/gpt-5.1
23	6	4229	0	2110	6339	0.026386	openai/gpt-5.1
24	4	1290	0	828	2118	0.009892	openai/gpt-5.1
25	4	2276	0	1201	3477	0.014855	openai/gpt-5.1
26	19	15766	0	8034	23800	0.100048	openai/gpt-5.1
27	1	545	0	246	791	0.003141	openai/gpt-5.1
28	1	606	0	307	913	0.003828	openai/gpt-5.1
29	1	586	0	308	894	0.003813	openai/gpt-5.1
30	1	0	0	0	0	0.000000	openai/gpt-5.1
31	19	0	0	0	0	0.000000	openai/gpt-5.1
32	1	729	0	430	1159	0.005211	openai/gpt-5.1
33	0	0	0	0	0	0.000000	openai/gpt-5.1
34	0	0	0	0	0	0.000000	openai/gpt-5.1
35	2	635	0	463	1098	0.005424	openai/gpt-5.1
36	2	680	0	496	1176	0.005810	openai/gpt-5.1
