ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	true	false	false	false	127854	false
2	true	false	true	true	false	49154	false
3	true	false	true	true	false	32831	false
4	true	false	true	true	false	13851	false
5	true	false	true	false	true	15458	false
6	true	false	true	true	false	98411	false
7	true	false	true	true	false	76132	false
8	true	false	true	true	false	35378	false
9	true	false	true	true	false	9978	false
10	true	true	false	false	false	15857	false
11	true	false	true	true	false	7040	true
12	true	false	true	false	true	143987	false
13	true	false	true	false	true	28656	false
14	true	false	true	false	true	59910	false
15	true	false	true	true	false	33326	false
16	true	false	true	true	false	19914	false
17	true	false	true	false	true	73989	false
18	true	true	false	false	false	33306	false
19	true	false	true	true	false	34666	false
20	true	false	true	true	false	33623	false
21	true	true	false	false	false	26824	false
22	true	true	false	false	false	282130	false
23	true	false	true	true	false	48699	false
24	true	false	true	false	true	25942	false
25	true	false	true	false	true	38856	false
26	true	false	true	false	true	139762	false
27	true	false	true	true	false	9351	false
28	true	false	true	true	false	10291	false
29	true	false	true	true	false	10302	false
30	true	false	true	true	false	6113	false
31	true	false	true	false	true	6577	false
32	true	false	true	true	false	11596	false
33	true	false	true	false	true	6063	false
34	true	false	true	false	true	12392	false
35	true	false	true	true	false	30056	false
36	true	false	true	true	false	29941	false
