ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	58851	35
2	true	false	true	true	false	59020	34
3	true	false	true	true	false	52587	33
4	true	false	true	true	false	199630	30
5	true	false	true	false	true	134468	31
6	false	false	false	false	false	54947	2147483647
7	true	false	true	true	false	61012	28
8	true	false	true	false	true	76751	28
9	true	true	false	false	false	137118	2147483647
10	true	false	true	true	false	83281	27
11	true	false	true	true	false	48703	26
12	true	false	true	true	false	53921	25
13	true	false	true	false	true	47425	25
14	false	false	false	false	false	175151	2147483647
15	true	false	true	true	false	54588	24
16	true	true	false	false	false	100816	2147483647
17	true	true	false	false	false	83613	2147483647
18	true	true	false	false	false	239546	2147483647
19	true	false	true	true	false	73601	22
20	true	false	true	false	true	69148	22
21	true	false	true	true	false	40988	21
22	true	false	true	true	false	62308	20
23	true	false	true	true	false	70705	19
24	true	false	true	true	false	96721	18
25	true	false	true	true	false	34799	17
26	true	true	false	false	false	114623	2147483647
27	true	false	true	true	false	61090	13
28	true	false	true	true	false	94245	12
29	false	false	false	false	false	51055	2147483647
30	true	false	true	false	true	57319	12
31	true	false	true	true	false	154261	10
32	true	false	true	false	true	55548	10
33	true	false	true	false	true	88918	13
34	true	false	true	false	true	55158	10
35	true	false	true	true	false	36630	9
36	true	false	true	true	false	44545	8
