ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	82794	False
2	True	False	True	True	False	91120	False
3	True	False	True	True	False	84149	False
4	True	False	True	True	False	45725	False
5	True	False	True	True	False	90071	False
6	True	False	True	True	False	58050	False
7	False	False	False	False	False	39556	False
8	True	False	True	True	False	38755	False
9	True	False	True	True	False	40525	False
10	True	False	True	True	False	131008	False
11	True	False	True	True	False	38470	False
12	True	False	True	True	False	96028	False
13	True	False	True	True	False	96367	False
14	True	False	True	False	True	65629	False
15	True	False	True	True	False	68240	False
16	True	False	True	True	False	59481	False
17	True	False	True	True	False	159676	True
18	True	False	True	False	True	76295	False
19	True	False	True	True	False	71075	False
20	True	False	True	True	False	47774	False
21	True	False	True	True	False	67792	False
22	True	False	True	True	False	79117	False
23	False	False	False	False	False	35376	False
24	False	False	False	False	False	54148	False
25	True	False	True	False	True	65307	False
26	True	False	True	True	False	110130	True
27	True	False	True	True	False	58923	True
28	True	False	True	True	False	57678	False
29	True	False	False	False	False	42380	False
30	True	False	True	True	False	44599	True
31	True	False	True	True	False	51323	False
32	True	False	True	True	False	163933	True
33	True	False	True	True	False	53852	True
34	True	False	True	False	True	45897	False
35	True	False	True	True	False	77950	False
36	True	False	True	True	False	75798	False
