ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	82794	false
2	true	false	true	true	false	91120	false
3	true	false	true	true	false	84149	false
4	true	false	true	true	false	45725	false
5	true	false	true	true	false	90071	false
6	true	false	true	true	false	58050	false
7	false	false	false	false	false	39556	false
8	true	false	true	true	false	38755	false
9	true	false	true	true	false	40525	false
10	true	false	true	true	false	131008	false
11	true	false	true	true	false	38470	false
12	true	false	true	true	false	96028	false
13	true	false	true	true	false	96367	false
14	true	false	true	false	true	65629	false
15	true	false	true	true	false	68240	false
16	true	false	true	true	false	59481	false
17	true	false	true	true	false	159676	true
18	true	false	true	false	true	76295	false
19	true	false	true	true	false	71075	false
20	true	false	true	true	false	47774	false
21	true	false	true	true	false	67792	false
22	true	false	true	true	false	79117	false
23	false	false	false	false	false	35376	false
24	false	false	false	false	false	54148	false
25	true	false	true	false	true	65307	false
26	true	false	true	true	false	110130	true
27	true	false	true	true	false	58923	true
28	true	false	true	true	false	57678	false
29	true	false	false	false	false	42380	false
30	true	false	true	true	false	44599	true
31	true	false	true	true	false	51323	false
32	true	false	true	true	false	163933	true
33	true	false	true	true	false	53852	true
34	true	false	true	false	true	45897	false
35	true	false	true	true	false	77950	false
36	true	false	true	true	false	75798	false
