ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	9434	35
2	true	false	true	false	true	7681	35
3	true	false	true	true	false	9051	34
4	true	false	true	false	true	9278	34
5	true	false	false	false	false	11510	34
6	true	false	true	true	false	9117	33
7	true	false	true	true	false	22992	32
8	true	false	true	true	false	13648	31
9	true	false	true	true	false	9336	30
10	true	false	true	true	false	9718	29
11	true	false	true	true	false	12162	28
12	true	false	false	false	true	9070	31
13	true	false	true	false	true	8754	28
14	true	true	false	false	false	8258	2147483647
15	true	false	true	true	false	9691	27
16	true	false	true	true	false	10570	26
17	true	false	false	false	true	8412	27
18	true	false	true	true	false	8134	25
19	true	false	true	true	false	7702	24
20	true	false	true	true	false	10235	23
21	false	false	false	false	false	9457	2147483647
22	true	false	true	true	false	8810	22
23	true	false	true	true	false	12803	21
24	true	false	true	true	false	8443	20
25	true	false	true	true	false	31249	19
26	true	false	false	false	false	8208	19
27	true	false	true	true	false	7143	18
28	true	false	true	false	true	8220	18
29	true	true	false	false	false	12042	2147483647
30	true	true	false	false	false	8015	2147483647
31	false	false	false	false	false	9021	2147483647
32	true	false	true	false	true	11857	18
33	false	false	false	false	false	6565	2147483647
34	true	false	false	false	false	7049	18
35	true	false	true	true	false	8161	17
36	true	false	true	true	false	7298	16
