ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	0	0	0	0	0.000000	openai/gpt-5.1
2	1	0	0	0	0	0.000000	openai/gpt-5.1
3	1	0	0	0	0	0.000000	openai/gpt-5.1
4	1	0	0	0	0	0.000000	openai/gpt-5.1
5	1	0	0	0	0	0.000000	openai/gpt-5.1
6	1	0	0	0	0	0.000000	openai/gpt-5.1
7	1	0	0	0	0	0.000000	openai/gpt-5.1
8	1	550	0	363	913	0.004318	openai/gpt-5.1
9	1	0	0	0	0	0.000000	openai/gpt-5.1
10	1	0	0	0	0	0.000000	openai/gpt-5.1
11	1	450	0	99	549	0.001553	openai/gpt-5.1
12	1	0	0	0	0	0.000000	openai/gpt-5.1
13	1	0	0	0	0	0.000000	openai/gpt-5.1
14	1	0	0	0	0	0.000000	openai/gpt-5.1
15	1	0	0	0	0	0.000000	openai/gpt-5.1
16	1	0	0	0	0	0.000000	openai/gpt-5.1
17	1	0	0	0	0	0.000000	openai/gpt-5.1
18	1	0	0	0	0	0.000000	openai/gpt-5.1
19	1	0	0	0	0	0.000000	openai/gpt-5.1
20	1	351	0	64	415	0.001079	openai/gpt-5.1
21	1	0	0	0	0	0.000000	openai/gpt-5.1
22	1	0	0	0	0	0.000000	openai/gpt-5.1
23	1	0	0	0	0	0.000000	openai/gpt-5.1
24	1	0	0	0	0	0.000000	openai/gpt-5.1
25	1	0	0	0	0	0.000000	openai/gpt-5.1
26	1	0	0	0	0	0.000000	openai/gpt-5.1
27	1	0	0	0	0	0.000000	openai/gpt-5.1
28	1	0	0	0	0	0.000000	openai/gpt-5.1
29	1	0	0	0	0	0.000000	openai/gpt-5.1
30	1	0	0	0	0	0.000000	openai/gpt-5.1
31	0	0	0	0	0	0.000000	openai/gpt-5.1
32	1	715	0	470	1185	0.005594	openai/gpt-5.1
33	1	0	0	0	0	0.000000	openai/gpt-5.1
34	1	0	0	0	0	0.000000	openai/gpt-5.1
35	1	0	0	0	0	0.000000	openai/gpt-5.1
36	1	0	0	0	0	0.000000	openai/gpt-5.1
