ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	11448	false
2	true	false	true	false	true	15556	false
3	true	false	true	true	false	10987	true
4	true	false	true	false	true	17240	false
5	true	false	false	false	false	10504	false
6	true	false	true	true	false	24318	false
7	true	false	true	true	false	10237	false
8	true	false	true	true	false	11081	false
9	true	false	true	true	false	16360	false
10	true	false	true	true	false	8797	false
11	true	false	true	true	false	9070	false
12	true	false	false	false	true	9026	false
13	true	false	true	false	true	8943	false
14	true	true	false	false	false	10570	false
15	true	false	true	true	false	14797	false
16	true	false	true	true	false	8301	false
17	true	false	false	false	true	9469	false
18	true	false	true	true	false	18883	true
19	true	false	true	true	false	9889	false
20	true	false	true	true	false	10084	false
21	false	false	false	false	false	12007	false
22	true	false	true	true	false	10020	false
23	true	false	true	true	false	8148	true
24	true	false	true	true	false	8563	false
25	true	false	true	true	false	8697	false
26	true	false	false	false	false	9187	false
27	true	false	true	true	false	9113	true
28	true	false	true	false	true	10677	false
29	true	true	false	false	false	10062	false
30	true	true	false	false	false	6328	false
31	false	false	false	false	false	6286	false
32	true	false	true	true	false	10657	true
33	false	false	false	false	false	8476	false
34	true	false	false	false	false	7986	false
35	true	false	true	true	false	7580	false
36	true	false	true	true	false	8101	false
