ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	564	0	103	667	0.001735	openai/gpt-5.1
2	1	460	0	161	621	0.002185	openai/gpt-5.1
3	1	396	0	146	542	0.001955	openai/gpt-5.1
4	1	897	0	688	1585	0.008001	openai/gpt-5.1
5	1	456	0	108	564	0.001650	openai/gpt-5.1
6	1	413	0	80	493	0.001316	openai/gpt-5.1
7	1	502	0	337	839	0.003998	openai/gpt-5.1
8	1	541	0	376	917	0.004436	openai/gpt-5.1
9	1	413	0	159	572	0.002106	openai/gpt-5.1
10	1	448	0	139	587	0.001950	openai/gpt-5.1
11	1	437	0	89	526	0.001436	openai/gpt-5.1
12	1	587	0	71	658	0.001444	openai/gpt-5.1
13	1	546	0	160	706	0.002283	openai/gpt-5.1
14	1	499	0	190	689	0.002524	openai/gpt-5.1
15	1	333	0	100	433	0.001416	openai/gpt-5.1
16	1	385	0	109	494	0.001571	openai/gpt-5.1
17	1	554	0	115	669	0.001843	openai/gpt-5.1
18	1	476	0	164	640	0.002235	openai/gpt-5.1
19	1	400	0	69	469	0.001190	openai/gpt-5.1
20	1	343	0	64	407	0.001069	openai/gpt-5.1
21	1	2366	0	700	3066	0.009958	openai/gpt-5.1
22	1	512	0	172	684	0.002360	openai/gpt-5.1
23	1	582	0	122	704	0.001948	openai/gpt-5.1
24	1	375	0	87	462	0.001339	openai/gpt-5.1
25	1	319	0	66	385	0.001059	openai/gpt-5.1
26	1	489	0	240	729	0.003011	openai/gpt-5.1
27	1	494	0	252	746	0.003138	openai/gpt-5.1
28	1	583	0	325	908	0.003979	openai/gpt-5.1
29	1	563	0	305	868	0.003754	openai/gpt-5.1
30	1	0	0	0	0	0.000000	openai/gpt-5.1
31	0	0	0	0	0	0.000000	openai/gpt-5.1
32	1	743	0	456	1199	0.005489	openai/gpt-5.1
33	1	440	0	86	526	0.001410	openai/gpt-5.1
34	1	319	0	77	396	0.001169	openai/gpt-5.1
35	1	382	0	79	461	0.001268	openai/gpt-5.1
36	1	399	0	102	501	0.001519	openai/gpt-5.1
