ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	8388	12
2	true	false	true	true	false	5729	11
3	true	false	true	true	false	27822	10
4	true	false	true	true	false	26160	8
5	true	false	true	false	true	13435	8
6	true	false	true	true	false	23869	6
7	true	false	true	false	true	11392	6
8	true	false	true	true	false	23216	4
9	true	false	true	false	true	27610	4
10	true	false	true	true	false	5370	3
11	true	false	true	true	false	19310	2
12	true	false	true	true	false	5063	1
13	true	false	true	true	false	17595	0
