ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression requestFactory.httpMethod is @Nullable	    if (requestFactory.httpMethod.equals("HEAD") && !Void.class.equals(responseType)) {	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/HttpServiceMethod.java:79	7ee1a3aadcc64e3f6bc5893fe58b6f6f934ecd60
2	DEREFERENCE_NULLABLE	dereferenced expression call is @Nullable	      call.cancel();	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/OkHttpCall.java:143	9d70cdb93e3f523cfd7cd3e306040a077c0523d1
3	DEREFERENCE_NULLABLE	dereferenced expression call is @Nullable	    call.enqueue(	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/OkHttpCall.java:146	24329a2c9d6eea560f36bd33b513f84aa996370f
4	DEREFERENCE_NULLABLE	dereferenced expression formBuilder is @Nullable	      formBuilder.addEncoded(name, value);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:210	c3e12e5008536eff7add18dcdd69b74cb7640a57
5	DEREFERENCE_NULLABLE	dereferenced expression formBuilder is @Nullable	      formBuilder.add(name, value);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:212	b0f29fd1029db7902545fb61935642ea7304bdcc
6	DEREFERENCE_NULLABLE	dereferenced expression multipartBuilder is @Nullable	    multipartBuilder.addPart(headers, body);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:218	754a8b73857b917d230b3f8f45476316f0381d9c
7	DEREFERENCE_NULLABLE	dereferenced expression multipartBuilder is @Nullable	    multipartBuilder.addPart(part);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:223	72a80b25583d1b129ecbe38852d96a27183ae3ba
8	DEREFERENCE_NULLABLE	dereferenced expression urlBuilder is @Nullable	      urlBuilder.addEncodedQueryParameter(name, value);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:200	3d11dd37a2429a504a9bd671b7ca202a645066df
9	DEREFERENCE_NULLABLE	dereferenced expression urlBuilder is @Nullable	      urlBuilder.addQueryParameter(name, value);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:203	caec7339ffea9199dba891230f80aabb7f0fd312
10	DEREFERENCE_NULLABLE	dereferenced expression input is @Nullable	    for (int i = 0, limit = input.length(); i < limit; i += Character.charCount(codePoint)) {	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:134	489b35c65582c4a9a378f5e0c3f32e758589e3b8
11	DEREFERENCE_NULLABLE	dereferenced expression handlers is @Nullable	    if (argumentCount != handlers.length) {	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestFactory.java:100	0b1a041b10e7d9f4b7156ecd828a3eeacc0100f8
12	DEREFERENCE_NULLABLE	dereferenced expression parameterHandlers is @Nullable	          ParameterHandler<?> otherHandler = parameterHandlers[i];	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestFactory.java:790	fed5bbc24318d49f7f8883283fd20a9a5bd6a9ca
13	DEREFERENCE_NULLABLE	dereferenced expression relativeUrlParamNames is @Nullable	      if (!relativeUrlParamNames.contains(name)) {	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestFactory.java:827	09969045c2357df7d861fd40ba1bf8dc8acde1b0
