ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	29506	False
2	True	False	True	True	False	49096	False
3	True	False	True	True	False	88433	False
4	True	False	True	True	False	31942	False
5	True	False	True	True	False	19935	False
6	True	False	True	True	False	34249	False
7	True	False	True	True	False	23699	False
8	True	False	True	True	False	40566	False
9	True	False	True	True	False	39300	False
10	True	False	True	False	True	23156	False
11	True	False	True	True	False	61869	False
12	True	False	True	True	False	41937	False
13	True	False	True	True	False	26693	False
