ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	29506	false
2	true	false	true	true	false	49096	false
3	true	false	true	true	false	88433	false
4	true	false	true	true	false	31942	false
5	true	false	true	false	true	19935	false
6	true	false	true	true	false	34249	false
7	true	false	true	false	true	23699	false
8	true	false	true	true	false	40566	false
9	true	false	true	false	true	39300	false
10	true	false	true	false	true	23156	false
11	true	false	true	true	false	61869	false
12	true	false	true	true	false	41937	false
13	true	false	true	true	false	26693	false
