ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	44747	12
2	true	false	true	false	true	217209	12
3	true	false	true	true	false	127698	10
4	true	false	true	true	false	40343	8
5	false	false	false	false	false	46731	2147483647
6	true	false	true	true	false	48179	6
7	false	false	false	false	false	47543	2147483647
8	true	false	true	true	false	36499	4
9	true	false	true	false	true	66800	4
10	true	false	true	true	false	43251	3
11	true	false	true	true	false	88349	2
12	true	false	true	true	false	93215	1
13	true	true	false	false	false	133864	2147483647
