ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	84553	False
2	True	False	True	True	False	110820	False
3	True	False	True	True	False	48149	False
4	True	False	True	True	False	51181	False
5	True	False	True	True	False	53002	False
6	True	False	True	True	False	49510	False
7	True	False	True	True	False	45095	False
8	True	False	True	True	False	119225	False
9	True	False	True	True	False	112761	False
10	True	False	True	True	False	35332	False
11	True	False	True	True	False	35008	False
12	True	False	True	True	False	43464	False
13	True	False	True	True	False	59959	False
