ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression requestFactory.httpMethod is @Nullable	    if (requestFactory.httpMethod.equals("HEAD") && !Void.class.equals(responseType)) {	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/HttpServiceMethod.java:79	c74fe4d0dba677e78f4e920b1887289326a72abf
2	DEREFERENCE_NULLABLE	dereferenced expression call is @Nullable	      call.cancel();	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/OkHttpCall.java:143	bbe126e1f05730dedf4ead03e6846eecd21c8eef
3	DEREFERENCE_NULLABLE	dereferenced expression call is @Nullable	    call.enqueue(	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/OkHttpCall.java:146	7da4831206fe5f926ecc0d0b56cf9a7642e77d1d
4	DEREFERENCE_NULLABLE	dereferenced expression formBuilder is @Nullable	      formBuilder.addEncoded(name, value);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:210	4e5ce2541757f6b5d5650f00e8dd5dfb732fbe57
5	DEREFERENCE_NULLABLE	dereferenced expression formBuilder is @Nullable	      formBuilder.add(name, value);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:212	171c714928d7e7e9d7670427275c8f3e5edf92ab
6	DEREFERENCE_NULLABLE	dereferenced expression multipartBuilder is @Nullable	    multipartBuilder.addPart(headers, body);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:218	342720f54d0f56e66f078dbef75109b5ad9e06c9
7	DEREFERENCE_NULLABLE	dereferenced expression multipartBuilder is @Nullable	    multipartBuilder.addPart(part);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:223	9ee01cad7987bdf2cac1759ad1faf18d15171024
8	DEREFERENCE_NULLABLE	dereferenced expression urlBuilder is @Nullable	      urlBuilder.addEncodedQueryParameter(name, value);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:200	975dd99372a5065dd489976f2556d91c20597e7f
9	DEREFERENCE_NULLABLE	dereferenced expression urlBuilder is @Nullable	      urlBuilder.addQueryParameter(name, value);	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:203	56e7d5d9e2ccd4c67e62b06ed0302d9c25e9dbdd
10	DEREFERENCE_NULLABLE	dereferenced expression input is @Nullable	    for (int i = 0, limit = input.length(); i < limit; i += Character.charCount(codePoint)) {	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestBuilder.java:134	d9f9b5b8e578527d35157c9e601a9896748bef27
11	DEREFERENCE_NULLABLE	dereferenced expression handlers is @Nullable	    if (argumentCount != handlers.length) {	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestFactory.java:100	bf78baa18ed6a68250c0e1a7dd3f9fded1ae1f7c
12	DEREFERENCE_NULLABLE	dereferenced expression parameterHandlers is @Nullable	          ParameterHandler<?> otherHandler = parameterHandlers[i];	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestFactory.java:790	045478d55047498c06b7787df7653a94117eb3ef
13	DEREFERENCE_NULLABLE	dereferenced expression relativeUrlParamNames is @Nullable	      if (!relativeUrlParamNames.contains(name)) {	/home/vscode/nullness-benchmarks/retrofit/retrofit/src/main/java/retrofit2/RequestFactory.java:827	2ab2be019baf9f870d2d502f8b1c69260a1ae22a
