ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	84553	false
2	true	false	true	true	false	110820	false
3	true	false	true	true	false	48149	false
4	true	false	true	true	false	51181	false
5	true	false	true	true	false	53002	false
6	true	false	true	true	false	49510	false
7	true	false	true	true	false	45095	false
8	true	false	true	true	false	119225	false
9	true	false	true	true	false	112761	false
10	true	false	true	true	false	35332	false
11	true	false	true	true	false	35008	false
12	true	false	true	true	false	43464	false
13	true	false	true	true	false	59959	false
