ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	6968	12
2	true	false	true	true	false	7905	10
3	true	false	true	false	true	10862	10
4	true	false	true	true	false	8129	8
5	true	false	true	false	true	9801	8
6	true	false	true	true	false	7679	7
7	true	false	true	true	false	7457	6
8	true	false	true	true	false	7793	4
9	true	false	true	false	true	8050	4
10	true	false	true	true	false	5748	3
11	true	false	true	true	false	6921	2
12	true	false	true	true	false	9936	1
13	true	false	true	true	false	11016	0
