ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	0	0	0	0	0.000000	openai/gpt-5.1
2	1	0	0	0	0	0.000000	openai/gpt-5.1
3	1	566	0	441	1007	0.005118	openai/gpt-5.1
4	1	0	0	0	0	0.000000	openai/gpt-5.1
5	1	494	0	149	643	0.002108	openai/gpt-5.1
6	1	491	0	110	601	0.001714	openai/gpt-5.1
7	1	469	0	105	574	0.001636	openai/gpt-5.1
8	1	513	0	231	744	0.002951	openai/gpt-5.1
9	1	491	0	255	746	0.003164	openai/gpt-5.1
10	1	0	0	0	0	0.000000	openai/gpt-5.1
11	1	0	0	0	0	0.000000	openai/gpt-5.1
12	1	0	0	0	0	0.000000	openai/gpt-5.1
13	1	488	0	166	654	0.002270	openai/gpt-5.1
