ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	15674	false
2	true	false	true	true	false	12141	false
3	true	false	true	true	false	9798	false
4	true	false	true	true	false	13817	false
5	true	false	true	true	false	9588	false
6	true	false	true	true	false	14586	false
7	true	false	true	true	false	6859	false
8	true	false	true	true	false	9949	false
9	true	false	true	true	false	14945	false
10	true	false	true	true	false	9036	false
11	true	false	true	true	false	7480	false
12	true	false	true	true	false	27418	false
13	true	false	true	true	false	12536	false
