ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	889	0	721	1610	0.008321	openai/gpt-5.1
2	1	545	0	429	974	0.004971	openai/gpt-5.1
3	1	545	0	429	974	0.004971	openai/gpt-5.1
4	1	486	0	134	620	0.001948	openai/gpt-5.1
5	1	490	0	134	624	0.001953	openai/gpt-5.1
6	1	487	0	96	583	0.001569	openai/gpt-5.1
7	1	473	0	92	565	0.001511	openai/gpt-5.1
8	1	509	0	233	742	0.002966	openai/gpt-5.1
9	1	509	0	233	742	0.002966	openai/gpt-5.1
10	1	577	0	247	824	0.003191	openai/gpt-5.1
11	1	544	0	320	864	0.003880	openai/gpt-5.1
12	1	4258	0	4092	8350	0.046243	openai/gpt-5.1
13	1	503	0	166	669	0.002289	openai/gpt-5.1
