ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	46410	83
2	true	false	true	false	true	24583	87
3	true	false	true	false	true	67313	83
4	true	false	true	true	false	14719	82
5	true	false	true	true	false	14391	81
6	true	false	true	true	false	14283	80
7	true	false	true	true	false	15017	79
8	true	false	true	false	true	45441	79
9	true	false	true	true	false	28479	78
10	true	false	true	true	false	15172	77
11	true	false	true	true	false	13371	76
12	true	false	true	true	false	30376	75
13	true	false	true	true	false	14090	74
14	true	false	true	false	true	82130	75
15	true	false	true	true	false	13366	73
16	true	false	true	true	false	13695	72
17	true	false	true	true	false	13972	71
18	true	false	true	true	false	28965	70
19	true	false	true	false	true	32007	71
20	true	false	true	true	false	14218	69
21	false	false	false	false	false	13817	2147483647
22	true	false	true	true	false	13536	68
23	true	false	true	false	true	210343	75
24	true	true	false	false	false	100341	2147483647
25	true	false	true	true	false	44410	67
26	true	false	true	true	false	39870	66
27	true	false	true	false	true	13507	66
28	true	false	true	true	false	12883	63
29	false	false	false	false	false	13468	2147483647
30	false	false	false	false	false	13427	2147483647
31	true	false	true	true	false	13675	62
32	true	false	true	true	false	13703	61
33	true	false	true	false	true	13724	61
34	true	true	false	false	false	13709	2147483647
35	true	false	true	true	false	13483	60
36	true	false	true	true	false	29088	59
37	true	false	true	false	true	137640	66
38	true	false	true	true	false	13565	58
39	true	false	true	false	true	74326	60
40	true	false	true	false	true	41180	58
41	true	false	true	true	false	13337	57
42	true	false	true	true	false	12933	56
43	true	false	true	true	false	12949	55
44	true	false	true	true	false	13442	54
45	true	false	true	false	true	13539	54
46	true	false	true	true	false	13232	53
47	true	false	true	true	false	13232	52
48	true	false	true	true	false	13124	51
49	true	false	true	true	false	12928	50
50	true	false	true	true	false	13977	49
51	true	false	true	true	false	18294	47
52	true	false	true	false	true	36223	47
53	true	false	true	false	true	13606	48
54	false	false	false	false	false	13118	2147483647
55	true	false	true	true	false	13088	46
56	true	false	true	true	false	13581	45
57	true	false	true	true	false	12556	44
58	true	false	true	true	false	39564	43
59	true	false	true	true	false	26793	42
60	true	false	true	true	false	12756	41
61	true	false	true	true	false	12840	40
62	true	false	true	true	false	39004	39
63	true	false	true	true	false	39793	38
64	true	false	true	true	false	38827	37
65	true	false	true	false	true	34733	40
66	true	false	true	true	false	13031	36
67	true	false	true	true	false	13155	35
68	true	false	true	true	false	15831	34
69	true	false	true	true	false	40206	33
70	true	false	true	true	false	39824	32
71	true	false	true	false	true	203007	41
72	true	false	true	false	true	215966	41
73	true	false	true	false	true	40278	32
74	true	false	true	true	false	13643	31
75	true	false	true	true	false	14206	30
76	true	false	true	false	true	39613	30
77	true	false	true	false	true	26422	30
78	false	false	false	false	false	13653	2147483647
79	true	false	true	true	false	12910	29
80	true	false	true	true	false	21816	28
81	true	false	true	true	false	13208	27
82	true	false	true	true	false	13034	26
83	true	false	true	true	false	40247	25
84	true	false	true	true	false	40132	24
