ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	2	0	0	0	0	0.000000	openai/gpt-5.1
2	8	1397	0	364	1761	0.005386	openai/gpt-5.1
3	26	5971	0	2343	8314	0.030894	openai/gpt-5.1
4	2	0	0	0	0	0.000000	openai/gpt-5.1
5	2	0	0	0	0	0.000000	openai/gpt-5.1
6	3	0	0	0	0	0.000000	openai/gpt-5.1
7	8	0	0	0	0	0.000000	openai/gpt-5.1
8	2	0	0	0	0	0.000000	openai/gpt-5.1
9	4	0	0	0	0	0.000000	openai/gpt-5.1
10	2	0	0	0	0	0.000000	openai/gpt-5.1
11	1	0	0	0	0	0.000000	openai/gpt-5.1
12	4	0	0	0	0	0.000000	openai/gpt-5.1
13	4	0	0	0	0	0.000000	openai/gpt-5.1
14	12	4748	1280	2124	8152	0.027335	openai/gpt-5.1
15	3	0	0	0	0	0.000000	openai/gpt-5.1
16	1	0	0	0	0	0.000000	openai/gpt-5.1
17	2	0	0	0	0	0.000000	openai/gpt-5.1
18	4	2057	0	791	2848	0.010481	openai/gpt-5.1
19	4	1095	0	279	1374	0.004159	openai/gpt-5.1
20	1	0	0	0	0	0.000000	openai/gpt-5.1
21	0	0	0	0	0	0.000000	openai/gpt-5.1
22	2	0	0	0	0	0.000000	openai/gpt-5.1
23	8	0	0	0	0	0.000000	openai/gpt-5.1
24	17	4761	0	1060	5821	0.016551	openai/gpt-5.1
25	2	0	0	0	0	0.000000	openai/gpt-5.1
26	2	0	0	0	0	0.000000	openai/gpt-5.1
27	2	0	0	0	0	0.000000	openai/gpt-5.1
28	1	0	0	0	0	0.000000	openai/gpt-5.1
29	1	0	0	0	0	0.000000	openai/gpt-5.1
30	1	0	0	0	0	0.000000	openai/gpt-5.1
31	1	0	0	0	0	0.000000	openai/gpt-5.1
32	1	0	0	0	0	0.000000	openai/gpt-5.1
33	6	0	0	0	0	0.000000	openai/gpt-5.1
34	3	0	0	0	0	0.000000	openai/gpt-5.1
35	3	0	0	0	0	0.000000	openai/gpt-5.1
36	3	2310	0	856	3166	0.011448	openai/gpt-5.1
37	10	0	0	0	0	0.000000	openai/gpt-5.1
38	3	0	0	0	0	0.000000	openai/gpt-5.1
39	4	1578	0	303	1881	0.005003	openai/gpt-5.1
40	2	0	0	0	0	0.000000	openai/gpt-5.1
41	7	0	0	0	0	0.000000	openai/gpt-5.1
42	2	0	0	0	0	0.000000	openai/gpt-5.1
43	3	0	0	0	0	0.000000	openai/gpt-5.1
44	2	0	0	0	0	0.000000	openai/gpt-5.1
45	4	0	0	0	0	0.000000	openai/gpt-5.1
46	2	0	0	0	0	0.000000	openai/gpt-5.1
47	1	0	0	0	0	0.000000	openai/gpt-5.1
48	1	0	0	0	0	0.000000	openai/gpt-5.1
49	4	0	0	0	0	0.000000	openai/gpt-5.1
50	2	0	0	0	0	0.000000	openai/gpt-5.1
51	3	759	0	348	1107	0.004429	openai/gpt-5.1
52	3	1639	0	1119	2758	0.013239	openai/gpt-5.1
53	3	0	0	0	0	0.000000	openai/gpt-5.1
54	4	0	0	0	0	0.000000	openai/gpt-5.1
55	2	0	0	0	0	0.000000	openai/gpt-5.1
56	2	0	0	0	0	0.000000	openai/gpt-5.1
57	2	0	0	0	0	0.000000	openai/gpt-5.1
58	2	0	0	0	0	0.000000	openai/gpt-5.1
59	4	0	0	0	0	0.000000	openai/gpt-5.1
60	1	0	0	0	0	0.000000	openai/gpt-5.1
61	2	0	0	0	0	0.000000	openai/gpt-5.1
62	2	0	0	0	0	0.000000	openai/gpt-5.1
63	2	0	0	0	0	0.000000	openai/gpt-5.1
64	2	0	0	0	0	0.000000	openai/gpt-5.1
65	5	2720	0	1347	4067	0.016870	openai/gpt-5.1
66	2	0	0	0	0	0.000000	openai/gpt-5.1
67	10	0	0	0	0	0.000000	openai/gpt-5.1
68	1	600	0	194	794	0.002690	openai/gpt-5.1
69	2	0	0	0	0	0.000000	openai/gpt-5.1
70	2	0	0	0	0	0.000000	openai/gpt-5.1
71	13	0	0	0	0	0.000000	openai/gpt-5.1
72	12	0	0	0	0	0.000000	openai/gpt-5.1
73	2	0	0	0	0	0.000000	openai/gpt-5.1
74	3	0	0	0	0	0.000000	openai/gpt-5.1
75	1	0	0	0	0	0.000000	openai/gpt-5.1
76	2	0	0	0	0	0.000000	openai/gpt-5.1
77	4	0	0	0	0	0.000000	openai/gpt-5.1
78	0	0	0	0	0	0.000000	openai/gpt-5.1
79	2	0	0	0	0	0.000000	openai/gpt-5.1
80	2	773	0	471	1244	0.005676	openai/gpt-5.1
81	5	0	0	0	0	0.000000	openai/gpt-5.1
82	2	0	0	0	0	0.000000	openai/gpt-5.1
83	2	0	0	0	0	0.000000	openai/gpt-5.1
84	2	0	0	0	0	0.000000	openai/gpt-5.1
