ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	96382	false
2	true	false	true	false	true	55385	true
3	true	false	true	true	false	127332	true
4	true	false	true	true	false	31387	false
5	true	false	true	true	false	27834	false
6	true	false	true	true	false	37420	false
7	true	false	true	true	false	56134	false
8	true	false	true	false	true	98690	false
9	true	false	true	true	false	57647	false
10	true	false	true	true	false	39033	false
11	true	false	true	true	false	19826	false
12	true	false	true	true	false	51207	false
13	true	false	true	true	false	29129	false
14	true	false	true	false	true	128147	false
15	true	false	true	true	false	28461	false
16	true	false	true	true	false	44810	false
17	true	false	true	true	false	19976	false
18	true	false	true	true	false	31694	false
19	true	false	true	false	true	38955	false
20	true	false	true	true	false	15151	false
21	false	false	false	false	false	50117	false
22	true	false	true	true	false	26655	false
23	true	false	true	false	true	287002	false
24	true	true	false	false	false	143192	false
25	true	false	true	true	false	55384	false
26	true	false	true	true	false	51801	false
27	true	false	true	false	true	21482	false
28	true	false	true	true	false	20288	false
29	true	false	true	true	false	13203	false
30	true	false	true	true	false	23197	false
31	true	false	true	true	false	18029	false
32	true	false	true	true	false	18564	false
33	true	false	true	false	true	38873	false
34	true	true	false	false	false	29340	false
35	true	false	true	true	false	56142	false
36	true	false	true	true	false	25438	false
37	true	false	true	false	true	168883	false
38	true	false	true	true	false	30398	false
39	true	false	true	false	true	106186	false
40	true	false	true	false	true	47341	false
41	true	false	true	true	false	55535	false
42	true	false	true	true	false	22443	false
43	true	false	true	true	false	25381	false
44	true	false	true	true	false	23926	false
45	true	false	true	false	true	30000	false
46	true	false	true	true	false	21355	false
47	true	false	true	true	false	15376	false
48	true	false	true	true	false	48566	false
49	true	false	true	true	false	39967	false
50	true	false	true	true	false	21566	false
51	true	false	true	true	false	26531	true
52	true	false	true	true	false	17891	false
53	true	false	true	false	true	20791	true
54	false	false	false	false	false	23870	false
55	true	false	true	true	false	55263	false
56	true	false	true	true	false	26555	false
57	true	false	true	true	false	24048	false
58	true	false	true	true	false	48983	false
59	true	false	true	true	false	77664	false
60	true	false	true	true	false	46754	false
61	true	false	true	true	false	22254	false
62	true	false	true	true	false	47537	false
63	true	false	true	true	false	85154	false
64	true	false	true	true	false	46460	false
65	true	false	true	false	true	62354	false
66	true	false	true	true	false	23965	true
67	true	false	true	true	false	88355	false
68	true	false	true	true	false	15353	false
69	true	false	true	true	false	50003	false
70	true	false	true	true	false	51702	false
71	true	false	true	false	true	257368	false
72	true	false	true	false	true	229073	false
73	true	false	true	false	true	51512	false
74	true	false	true	true	false	29617	false
75	true	false	true	true	false	16125	false
76	true	false	true	false	true	59344	false
77	true	false	true	false	true	48945	false
78	false	false	false	false	false	13311	false
79	true	false	true	true	false	18707	false
80	true	false	true	true	false	24110	false
81	true	false	true	true	false	31034	false
82	true	false	true	true	false	21131	false
83	true	false	true	true	false	49746	false
84	true	false	true	true	false	49293	false
