ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	2	1121	0	665	1786	0.008051	openai/gpt-5.1
2	8	5604	0	2425	8029	0.031255	openai/gpt-5.1
3	26	11837	0	4317	16154	0.057966	openai/gpt-5.1
4	2	1495	0	920	2415	0.011069	openai/gpt-5.1
5	2	829	0	642	1471	0.007456	openai/gpt-5.1
6	3	1962	0	979	2941	0.012243	openai/gpt-5.1
7	8	3375	0	1815	5190	0.022369	openai/gpt-5.1
8	2	915	0	965	1880	0.010794	openai/gpt-5.1
9	4	3914	0	1528	5442	0.020173	openai/gpt-5.1
10	2	1104	0	1026	2130	0.011640	openai/gpt-5.1
11	1	469	0	488	957	0.005466	openai/gpt-5.1
12	4	2599	0	1560	4159	0.018849	openai/gpt-5.1
13	4	3723	0	1012	4735	0.014774	openai/gpt-5.1
14	12	12966	1920	3640	18526	0.052848	openai/gpt-5.1
15	3	1942	0	1024	2966	0.012668	openai/gpt-5.1
16	1	585	0	173	758	0.002461	openai/gpt-5.1
17	2	805	0	455	1260	0.005556	openai/gpt-5.1
18	4	2904	0	940	3844	0.013030	openai/gpt-5.1
19	4	2141	0	659	2800	0.009266	openai/gpt-5.1
20	1	483	0	66	549	0.001264	openai/gpt-5.1
21	0	0	0	0	0	0.000000	openai/gpt-5.1
22	2	926	0	722	1648	0.008378	openai/gpt-5.1
23	8	2947	0	3500	6447	0.038684	openai/gpt-5.1
24	17	10840	0	4038	14878	0.053930	openai/gpt-5.1
25	2	1114	0	741	1855	0.008803	openai/gpt-5.1
26	2	1026	0	628	1654	0.007563	openai/gpt-5.1
27	2	1194	0	519	1713	0.006683	openai/gpt-5.1
28	1	419	0	506	925	0.005584	openai/gpt-5.1
29	1	0	0	0	0	0.000000	openai/gpt-5.1
30	1	453	0	554	1007	0.006106	openai/gpt-5.1
31	1	408	0	276	684	0.003270	openai/gpt-5.1
32	1	640	0	224	864	0.003040	openai/gpt-5.1
33	6	2612	0	1488	4100	0.018145	openai/gpt-5.1
34	3	1634	0	601	2235	0.008053	openai/gpt-5.1
35	3	2254	0	979	3233	0.012608	openai/gpt-5.1
36	3	2254	0	821	3075	0.011027	openai/gpt-5.1
37	10	4836	0	2228	7064	0.028325	openai/gpt-5.1
38	3	2634	0	1187	3821	0.015163	openai/gpt-5.1
39	4	1907	0	523	2430	0.007614	openai/gpt-5.1
40	2	717	0	410	1127	0.004996	openai/gpt-5.1
41	7	4141	0	2017	6158	0.025346	openai/gpt-5.1
42	2	813	0	348	1161	0.004496	openai/gpt-5.1
43	3	1715	0	643	2358	0.008574	openai/gpt-5.1
44	2	696	0	705	1401	0.007920	openai/gpt-5.1
45	4	2678	0	964	3642	0.012988	openai/gpt-5.1
46	2	773	0	519	1292	0.006156	openai/gpt-5.1
47	1	558	0	142	700	0.002117	openai/gpt-5.1
48	1	569	0	141	710	0.002121	openai/gpt-5.1
49	4	2496	0	1193	3689	0.015050	openai/gpt-5.1
50	2	724	0	504	1228	0.005945	openai/gpt-5.1
51	3	1570	0	758	2328	0.009543	openai/gpt-5.1
52	3	0	0	0	0	0.000000	openai/gpt-5.1
53	3	1167	0	519	1686	0.006649	openai/gpt-5.1
54	4	2951	0	525	3476	0.008939	openai/gpt-5.1
55	2	782	0	711	1493	0.008088	openai/gpt-5.1
56	2	624	0	664	1288	0.007420	openai/gpt-5.1
57	2	1013	0	629	1642	0.007556	openai/gpt-5.1
58	2	748	0	465	1213	0.005585	openai/gpt-5.1
59	4	2209	0	1423	3632	0.016991	openai/gpt-5.1
60	1	356	0	219	575	0.002635	openai/gpt-5.1
61	2	850	0	576	1426	0.006823	openai/gpt-5.1
62	2	930	0	468	1398	0.005843	openai/gpt-5.1
63	2	930	0	548	1478	0.006643	openai/gpt-5.1
64	2	932	0	413	1345	0.005295	openai/gpt-5.1
65	5	3213	0	1784	4997	0.021856	openai/gpt-5.1
66	2	869	0	409	1278	0.005176	openai/gpt-5.1
67	10	5389	0	2588	7977	0.032616	openai/gpt-5.1
68	1	569	0	162	731	0.002331	openai/gpt-5.1
69	2	781	0	413	1194	0.005106	openai/gpt-5.1
70	2	1047	0	721	1768	0.008519	openai/gpt-5.1
71	13	5980	0	3483	9463	0.042305	openai/gpt-5.1
72	12	1671	0	1111	2782	0.013199	openai/gpt-5.1
73	2	896	0	674	1570	0.007860	openai/gpt-5.1
74	3	2511	0	900	3411	0.012139	openai/gpt-5.1
75	1	600	0	194	794	0.002690	openai/gpt-5.1
76	2	799	0	666	1465	0.007659	openai/gpt-5.1
77	4	3303	0	1511	4814	0.019239	openai/gpt-5.1
78	0	0	0	0	0	0.000000	openai/gpt-5.1
79	2	722	0	398	1120	0.004883	openai/gpt-5.1
80	2	739	0	869	1608	0.009614	openai/gpt-5.1
81	5	2495	0	1220	3715	0.015319	openai/gpt-5.1
82	2	960	0	554	1514	0.006740	openai/gpt-5.1
83	2	1377	0	769	2146	0.009411	openai/gpt-5.1
84	2	680	0	512	1192	0.005970	openai/gpt-5.1
