ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	122224	83
2	true	false	true	false	true	121838	89
3	true	true	false	false	false	282869	2147483647
4	true	false	true	true	false	261868	82
5	true	false	true	true	false	128294	81
6	true	false	true	true	false	145291	80
7	true	false	true	true	false	216698	79
8	true	false	true	true	false	117976	78
9	true	false	true	true	false	253365	77
10	true	false	true	true	false	259287	76
11	true	false	true	true	false	193353	75
12	true	false	true	true	false	306023	74
13	true	false	true	true	false	129507	73
14	true	true	false	false	false	225177	2147483647
15	true	false	true	true	false	161734	72
16	true	false	true	true	false	173336	71
17	true	false	true	true	false	177282	70
18	true	false	true	true	false	178024	69
19	true	true	false	false	false	428600	2147483647
20	true	false	true	true	false	164975	68
21	true	false	true	true	false	207295	67
22	true	false	true	true	false	132977	66
23	true	false	true	false	true	130852	68
24	true	false	true	false	true	196934	69
25	true	false	true	true	false	164043	65
26	true	false	true	true	false	162267	64
27	true	true	false	false	false	225309	2147483647
28	true	false	true	true	false	339511	61
29	true	false	true	true	false	137315	60
30	true	false	true	false	true	223189	61
31	false	false	false	false	false	271365	2147483647
32	true	false	true	true	false	174466	59
33	true	true	false	false	false	220266	2147483647
34	true	false	true	true	false	316619	58
35	true	false	true	true	false	175461	56
36	true	false	true	true	false	321033	55
37	true	false	true	false	true	280453	66
38	true	false	true	true	false	164858	54
39	true	false	true	true	false	130553	53
40	true	true	false	false	false	192184	2147483647
41	true	false	true	true	false	162296	52
42	true	false	true	true	false	214244	51
43	true	false	true	true	false	204390	50
44	true	false	true	true	false	336947	49
45	true	false	true	true	false	387704	46
46	true	false	true	true	false	207508	45
47	true	false	true	true	false	282171	44
48	true	false	true	false	true	181980	44
49	true	false	true	true	false	223302	43
50	false	false	false	false	false	114266	2147483647
51	true	true	false	false	false	184385	2147483647
52	true	false	true	false	true	182976	43
53	true	false	true	true	false	273665	42
54	true	false	true	true	false	169481	41
55	true	false	true	true	false	142024	40
56	true	false	true	false	true	232657	40
57	true	false	true	false	true	208862	40
58	true	false	true	true	false	285968	39
59	true	false	true	true	false	134303	38
60	true	false	true	true	false	134657	37
61	true	false	true	true	false	301400	36
62	true	false	true	true	false	134210	35
63	true	false	true	true	false	169156	34
64	true	false	true	true	false	152971	33
65	true	false	true	true	false	157643	32
66	true	false	true	false	true	178670	32
67	true	false	true	false	true	151002	32
68	true	false	true	true	false	176876	31
69	true	false	true	true	false	244883	30
70	true	false	true	true	false	203260	29
71	true	false	true	true	false	306738	27
72	true	false	true	false	true	200883	27
73	true	false	true	true	false	160556	26
74	true	false	true	true	false	236485	25
75	true	false	true	true	false	144647	24
76	true	false	true	true	false	219993	23
77	true	false	true	true	false	320939	22
78	true	false	true	true	false	193044	21
79	true	false	true	true	false	251061	19
80	true	false	true	false	true	235251	19
81	true	false	true	true	false	274435	18
82	true	false	true	true	false	144607	17
83	true	false	true	true	false	155445	16
84	true	false	true	true	false	150655	15
