ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	69983	false
2	true	false	true	false	true	78394	false
3	true	false	true	false	true	142186	false
4	true	false	true	true	false	74445	false
5	true	false	true	false	true	174611	false
6	true	false	true	true	false	88637	false
7	true	false	true	true	false	267126	false
8	true	false	true	true	false	266234	false
9	true	false	true	true	false	102694	false
10	true	false	true	false	true	137265	false
11	true	false	true	true	false	173893	false
12	true	false	true	true	false	106477	false
13	true	false	true	true	false	66624	false
14	true	false	true	false	true	73960	false
15	true	false	true	true	false	108055	false
16	true	false	true	true	false	88081	false
17	true	false	true	true	false	73184	false
18	true	false	true	true	false	240753	false
19	true	true	false	false	false	258575	false
20	true	false	true	true	false	72703	false
21	true	true	false	false	false	312375	false
22	true	false	true	true	false	129075	false
23	true	false	true	false	true	71151	false
24	true	false	true	false	true	129748	false
25	true	true	false	false	false	165682	false
26	true	false	true	true	false	102891	false
27	true	false	true	true	false	157217	true
28	true	false	true	true	false	104611	false
29	true	false	true	true	false	91886	false
30	true	false	true	true	false	142767	false
31	true	false	true	true	false	86262	false
32	true	false	true	true	false	113145	false
33	false	false	false	false	false	122925	false
34	true	false	true	true	false	165647	false
35	true	false	true	true	false	142320	false
36	false	false	false	false	false	117912	false
37	true	false	true	false	true	139166	false
38	true	false	true	true	false	77058	false
39	true	false	true	true	false	148421	false
40	true	false	true	false	true	126020	true
41	true	false	true	true	false	65366	true
42	true	false	true	true	false	121285	false
43	false	false	false	false	false	103411	false
44	true	false	true	false	true	191310	true
45	true	true	false	false	false	107765	false
46	true	false	true	true	false	95449	false
47	true	false	true	true	false	160129	false
48	true	false	true	false	true	89468	true
49	true	false	true	true	false	156095	false
50	true	false	true	true	false	116639	false
51	true	false	true	true	false	167207	false
52	true	false	true	true	false	104016	false
53	true	false	true	true	false	69556	false
54	true	false	true	true	false	179008	false
55	true	false	true	true	false	73052	false
56	true	false	true	true	false	287887	false
57	false	false	false	false	false	120190	false
58	true	false	true	true	false	86649	false
59	true	false	true	true	false	126900	false
60	true	false	true	true	false	167807	false
61	true	false	true	true	false	145163	false
62	true	false	true	true	false	105047	false
63	true	false	true	true	false	69347	false
64	true	false	true	true	false	70025	false
65	true	false	true	true	false	205826	false
66	true	false	true	false	true	132044	false
67	true	false	true	false	true	118105	false
68	true	false	true	true	false	110240	true
69	true	false	true	true	false	91539	false
70	true	false	true	true	false	139372	false
71	true	false	true	true	false	76462	true
72	true	false	true	true	false	68872	true
73	true	false	true	false	true	152209	false
74	true	false	true	true	false	166750	false
75	true	false	true	true	false	83427	false
76	true	false	true	true	false	72860	false
77	true	false	true	true	false	77558	false
78	true	false	true	true	false	91474	false
79	true	false	true	true	false	129105	false
80	true	true	false	false	false	245911	false
81	true	false	true	true	false	749870	false
82	true	false	true	true	false	83655	false
83	true	false	true	true	false	83550	false
84	false	false	false	false	false	99830	false
