ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	16914	83
2	true	false	true	true	false	16315	82
3	true	false	false	false	false	20505	82
4	true	false	true	false	true	23733	87
5	true	false	true	false	true	15236	82
6	true	false	true	true	false	15228	81
7	true	false	false	false	true	15563	82
8	true	false	true	false	true	14566	81
9	true	false	true	true	false	15675	80
10	true	false	true	true	false	14141	79
11	true	true	false	false	false	16282	2147483647
12	true	false	true	false	true	16487	79
13	true	false	true	true	false	14893	78
14	true	false	true	true	false	14963	77
15	true	false	true	true	false	15882	76
16	true	false	true	true	false	16433	75
17	true	false	true	true	false	14558	74
18	true	false	true	true	false	18500	73
19	true	false	true	true	false	16554	72
20	true	false	true	true	false	14702	71
21	true	false	true	true	false	14538	70
22	true	false	true	true	false	14925	69
23	true	true	false	false	false	14229	2147483647
24	true	false	true	false	true	13681	76
25	true	false	true	true	false	14385	68
26	true	false	true	true	false	16955	67
27	true	false	true	false	true	16450	67
28	true	false	true	true	false	17100	64
29	true	false	true	false	true	17867	64
30	true	false	true	false	true	19559	64
31	true	false	true	false	true	21218	64
32	true	false	true	true	false	15168	63
33	true	false	false	false	true	19754	65
34	true	true	false	false	false	14350	2147483647
35	true	false	true	true	false	15180	61
36	true	false	true	false	true	19665	61
37	true	true	false	false	false	17672	2147483647
38	true	false	true	true	false	19326	60
39	true	true	false	false	false	14549	2147483647
40	true	true	false	false	false	16120	2147483647
41	true	true	false	false	false	16415	2147483647
42	true	false	true	false	true	16267	60
43	true	false	true	false	true	14570	60
44	true	false	true	true	false	14957	59
45	true	false	true	false	true	15475	59
46	true	false	true	true	false	14893	58
47	true	false	true	true	false	14467	57
48	true	false	true	true	false	17519	56
49	true	false	true	true	false	14645	55
50	true	false	true	true	false	14215	54
51	true	false	true	true	false	18353	52
52	true	false	true	false	true	15616	52
53	true	true	false	false	false	14190	2147483647
54	true	false	true	true	false	14613	51
55	true	false	true	true	false	15487	50
56	true	false	true	true	false	15270	49
57	true	false	true	true	false	13464	48
58	true	false	true	true	false	14625	47
59	true	false	true	true	false	14583	46
60	true	true	false	false	false	14731	2147483647
61	true	false	true	false	true	14739	46
62	true	false	true	true	false	14521	45
63	true	false	true	true	false	15316	44
64	true	false	true	true	false	13584	43
65	true	true	false	false	false	14974	2147483647
66	true	false	true	false	true	13837	43
67	true	false	false	false	true	15047	44
68	true	false	true	false	true	15233	43
69	true	false	true	true	false	14808	42
70	true	false	true	true	false	13958	41
71	true	false	true	true	false	13727	40
72	true	false	true	true	false	15788	39
73	true	true	false	false	false	13485	2147483647
74	true	false	true	true	false	13929	38
75	true	false	true	true	false	13062	37
76	true	true	false	false	false	13073	2147483647
77	true	false	true	true	false	13626	36
78	true	false	true	true	false	13263	35
79	true	false	true	true	false	15842	33
80	true	false	true	false	true	16598	33
81	true	false	false	false	false	13265	33
82	true	false	true	true	false	14021	32
83	true	false	true	true	false	13451	31
84	true	false	true	true	false	13769	30
