ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	0	0	0	0	0.000000	openai/gpt-5.1
2	1	0	0	0	0	0.000000	openai/gpt-5.1
3	1	632	0	212	844	0.002910	openai/gpt-5.1
4	1	672	0	443	1115	0.005270	openai/gpt-5.1
5	1	0	0	0	0	0.000000	openai/gpt-5.1
6	1	0	0	0	0	0.000000	openai/gpt-5.1
7	1	0	0	0	0	0.000000	openai/gpt-5.1
8	1	0	0	0	0	0.000000	openai/gpt-5.1
9	1	0	0	0	0	0.000000	openai/gpt-5.1
10	1	0	0	0	0	0.000000	openai/gpt-5.1
11	1	0	0	0	0	0.000000	openai/gpt-5.1
12	1	0	0	0	0	0.000000	openai/gpt-5.1
13	1	0	0	0	0	0.000000	openai/gpt-5.1
14	1	0	0	0	0	0.000000	openai/gpt-5.1
15	1	0	0	0	0	0.000000	openai/gpt-5.1
16	1	0	0	0	0	0.000000	openai/gpt-5.1
17	1	0	0	0	0	0.000000	openai/gpt-5.1
18	1	508	0	140	648	0.002035	openai/gpt-5.1
19	1	0	0	0	0	0.000000	openai/gpt-5.1
20	1	0	0	0	0	0.000000	openai/gpt-5.1
21	1	0	0	0	0	0.000000	openai/gpt-5.1
22	1	0	0	0	0	0.000000	openai/gpt-5.1
23	1	0	0	0	0	0.000000	openai/gpt-5.1
24	1	0	0	0	0	0.000000	openai/gpt-5.1
25	1	0	0	0	0	0.000000	openai/gpt-5.1
26	1	575	0	144	719	0.002159	openai/gpt-5.1
27	1	0	0	0	0	0.000000	openai/gpt-5.1
28	1	0	0	0	0	0.000000	openai/gpt-5.1
29	1	548	0	253	801	0.003215	openai/gpt-5.1
30	1	539	0	248	787	0.003154	openai/gpt-5.1
31	1	571	0	214	785	0.002854	openai/gpt-5.1
32	1	0	0	0	0	0.000000	openai/gpt-5.1
33	1	441	0	98	539	0.001531	openai/gpt-5.1
34	1	0	0	0	0	0.000000	openai/gpt-5.1
35	1	0	0	0	0	0.000000	openai/gpt-5.1
36	1	537	0	287	824	0.003541	openai/gpt-5.1
37	1	549	0	122	671	0.001906	openai/gpt-5.1
38	1	535	0	187	722	0.002539	openai/gpt-5.1
39	1	0	0	0	0	0.000000	openai/gpt-5.1
40	1	0	0	0	0	0.000000	openai/gpt-5.1
41	1	0	0	0	0	0.000000	openai/gpt-5.1
42	1	0	0	0	0	0.000000	openai/gpt-5.1
43	1	0	0	0	0	0.000000	openai/gpt-5.1
44	1	0	0	0	0	0.000000	openai/gpt-5.1
45	1	0	0	0	0	0.000000	openai/gpt-5.1
46	1	0	0	0	0	0.000000	openai/gpt-5.1
47	1	0	0	0	0	0.000000	openai/gpt-5.1
48	1	481	0	194	675	0.002541	openai/gpt-5.1
49	1	0	0	0	0	0.000000	openai/gpt-5.1
50	1	0	0	0	0	0.000000	openai/gpt-5.1
51	1	443	0	91	534	0.001464	openai/gpt-5.1
52	1	458	0	118	576	0.001752	openai/gpt-5.1
53	1	0	0	0	0	0.000000	openai/gpt-5.1
54	1	0	0	0	0	0.000000	openai/gpt-5.1
55	1	0	0	0	0	0.000000	openai/gpt-5.1
56	1	0	0	0	0	0.000000	openai/gpt-5.1
57	1	0	0	0	0	0.000000	openai/gpt-5.1
58	1	0	0	0	0	0.000000	openai/gpt-5.1
59	1	0	0	0	0	0.000000	openai/gpt-5.1
60	1	0	0	0	0	0.000000	openai/gpt-5.1
61	1	0	0	0	0	0.000000	openai/gpt-5.1
62	1	0	0	0	0	0.000000	openai/gpt-5.1
63	1	595	0	112	707	0.001864	openai/gpt-5.1
64	1	0	0	0	0	0.000000	openai/gpt-5.1
65	1	0	0	0	0	0.000000	openai/gpt-5.1
66	1	0	0	0	0	0.000000	openai/gpt-5.1
67	1	0	0	0	0	0.000000	openai/gpt-5.1
68	1	0	0	0	0	0.000000	openai/gpt-5.1
69	1	0	0	0	0	0.000000	openai/gpt-5.1
70	1	0	0	0	0	0.000000	openai/gpt-5.1
71	1	0	0	0	0	0.000000	openai/gpt-5.1
72	1	409	0	76	485	0.001271	openai/gpt-5.1
73	1	0	0	0	0	0.000000	openai/gpt-5.1
74	1	0	0	0	0	0.000000	openai/gpt-5.1
75	1	0	0	0	0	0.000000	openai/gpt-5.1
76	1	0	0	0	0	0.000000	openai/gpt-5.1
77	1	0	0	0	0	0.000000	openai/gpt-5.1
78	1	0	0	0	0	0.000000	openai/gpt-5.1
79	1	474	0	168	642	0.002272	openai/gpt-5.1
80	1	503	0	173	676	0.002359	openai/gpt-5.1
81	1	0	0	0	0	0.000000	openai/gpt-5.1
82	1	0	0	0	0	0.000000	openai/gpt-5.1
83	1	0	0	0	0	0.000000	openai/gpt-5.1
84	1	0	0	0	0	0.000000	openai/gpt-5.1
