ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	18712	false
2	true	false	true	true	false	54784	false
3	true	false	false	false	false	18804	true
4	true	false	true	false	true	55202	false
5	true	false	true	false	true	17172	false
6	true	false	true	true	false	52087	false
7	true	false	false	false	true	53697	true
8	true	false	true	false	true	17507	true
9	true	false	true	true	false	53020	false
10	true	false	true	true	false	44755	false
11	true	true	false	false	false	53109	false
12	true	false	true	false	true	18986	false
13	true	false	true	true	false	19381	false
14	true	false	true	true	false	16260	true
15	true	false	true	true	false	17476	false
16	true	false	true	true	false	48619	false
17	true	false	true	true	false	16216	false
18	true	false	true	true	false	16420	false
19	true	false	true	true	false	19024	true
20	true	false	true	true	false	17918	false
21	true	false	true	true	false	49618	false
22	true	false	true	true	false	18114	false
23	true	true	false	false	false	16865	false
24	true	false	true	false	true	47452	false
25	true	false	true	true	false	17246	false
26	true	false	true	true	false	16818	false
27	true	false	true	false	true	17334	false
28	true	false	true	true	false	17411	true
29	true	false	true	true	false	18154	true
30	true	false	true	true	false	18232	true
31	true	false	true	false	true	16581	true
32	true	false	true	true	false	18263	false
33	true	false	false	false	true	16183	false
34	true	true	false	false	false	17228	false
35	true	false	true	true	false	16562	false
36	true	false	true	true	false	17827	false
37	true	false	true	false	true	16392	false
38	true	false	true	true	false	17674	false
39	true	true	false	false	false	16198	false
40	true	true	false	false	false	15791	false
41	true	true	false	false	false	16643	false
42	true	false	true	false	true	16728	false
43	true	false	true	false	true	15404	false
44	true	false	true	true	false	15893	false
45	true	false	true	false	true	17432	false
46	true	false	true	true	false	17341	false
47	true	false	true	true	false	16680	false
48	true	false	true	true	false	17319	false
49	true	false	true	true	false	17164	false
50	true	false	true	true	false	16626	false
51	true	false	true	true	false	16099	false
52	true	false	true	true	false	14269	false
53	true	true	false	false	false	15116	false
54	true	false	true	true	false	14473	false
55	true	false	true	true	false	17737	false
56	true	false	true	true	false	16158	false
57	true	false	true	true	false	16612	true
58	true	false	true	true	false	15785	false
59	true	false	true	true	false	15692	false
60	true	true	false	false	false	16658	false
61	true	false	true	false	true	15965	false
62	true	false	true	true	false	15875	false
63	true	false	true	true	false	16187	false
64	true	false	true	true	false	15172	false
65	true	true	false	false	false	15750	false
66	true	false	true	false	true	15949	false
67	true	false	false	false	true	16401	false
68	true	false	true	false	true	17093	false
69	true	false	true	true	false	15111	false
70	true	false	true	true	false	18407	false
71	true	false	true	true	false	15653	true
72	true	false	false	false	false	15068	false
73	true	true	false	false	false	15900	false
74	true	false	true	true	false	15732	false
75	true	false	true	true	false	20641	false
76	true	true	false	false	false	16341	false
77	true	false	true	true	false	18454	false
78	true	false	true	true	false	15641	false
79	true	false	true	true	false	16786	false
80	true	false	true	true	false	16803	false
81	true	false	false	false	false	17364	false
82	true	false	true	true	false	17211	false
83	true	false	true	true	false	16699	false
84	true	false	true	true	false	14671	false
