ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	515	0	190	705	0.002544	openai/gpt-5.1
2	1	604	0	211	815	0.002865	openai/gpt-5.1
3	1	625	0	225	850	0.003031	openai/gpt-5.1
4	1	623	0	495	1118	0.005729	openai/gpt-5.1
5	1	397	0	207	604	0.002566	openai/gpt-5.1
6	1	440	0	143	583	0.001980	openai/gpt-5.1
7	1	473	0	77	550	0.001361	openai/gpt-5.1
8	1	466	0	126	592	0.001843	openai/gpt-5.1
9	1	691	0	247	938	0.003334	openai/gpt-5.1
10	1	652	0	228	880	0.003095	openai/gpt-5.1
11	1	416	0	252	668	0.003040	openai/gpt-5.1
12	1	496	0	137	633	0.001990	openai/gpt-5.1
13	1	555	0	182	737	0.002514	openai/gpt-5.1
14	1	393	0	61	454	0.001101	openai/gpt-5.1
15	1	549	0	153	702	0.002216	openai/gpt-5.1
16	1	516	0	172	688	0.002365	openai/gpt-5.1
17	1	552	0	92	644	0.001610	openai/gpt-5.1
18	1	473	0	141	614	0.002001	openai/gpt-5.1
19	1	610	0	279	889	0.003553	openai/gpt-5.1
20	1	453	0	89	542	0.001456	openai/gpt-5.1
21	1	477	0	134	611	0.001936	openai/gpt-5.1
22	1	603	0	227	830	0.003024	openai/gpt-5.1
23	1	510	0	92	602	0.001558	openai/gpt-5.1
24	1	625	0	137	762	0.002151	openai/gpt-5.1
25	1	590	0	235	825	0.003088	openai/gpt-5.1
26	1	581	0	144	725	0.002166	openai/gpt-5.1
27	1	726	0	293	1019	0.003838	openai/gpt-5.1
28	1	541	0	248	789	0.003156	openai/gpt-5.1
29	1	504	0	259	763	0.003220	openai/gpt-5.1
30	1	486	0	248	734	0.003088	openai/gpt-5.1
31	1	538	0	214	752	0.002813	openai/gpt-5.1
32	1	551	0	238	789	0.003069	openai/gpt-5.1
33	1	437	0	104	541	0.001586	openai/gpt-5.1
34	1	459	0	127	586	0.001844	openai/gpt-5.1
35	1	526	0	261	787	0.003268	openai/gpt-5.1
36	1	526	0	262	788	0.003278	openai/gpt-5.1
37	1	552	0	92	644	0.001610	openai/gpt-5.1
38	1	553	0	187	740	0.002561	openai/gpt-5.1
39	1	553	0	75	628	0.001441	openai/gpt-5.1
40	1	455	0	99	554	0.001559	openai/gpt-5.1
41	1	464	0	159	623	0.002170	openai/gpt-5.1
42	1	415	0	102	517	0.001539	openai/gpt-5.1
43	1	471	0	108	579	0.001669	openai/gpt-5.1
44	1	455	0	113	568	0.001699	openai/gpt-5.1
45	1	559	0	158	717	0.002279	openai/gpt-5.1
46	1	442	0	153	595	0.002083	openai/gpt-5.1
47	1	463	0	154	617	0.002119	openai/gpt-5.1
48	1	473	0	190	663	0.002491	openai/gpt-5.1
49	1	392	0	206	598	0.002550	openai/gpt-5.1
50	1	479	0	134	613	0.001939	openai/gpt-5.1
51	1	432	0	101	533	0.001550	openai/gpt-5.1
52	1	0	0	0	0	0.000000	openai/gpt-5.1
53	1	422	0	73	495	0.001258	openai/gpt-5.1
54	1	502	0	110	612	0.001728	openai/gpt-5.1
55	1	363	0	200	563	0.002454	openai/gpt-5.1
56	1	483	0	97	580	0.001574	openai/gpt-5.1
57	1	434	0	185	619	0.002393	openai/gpt-5.1
58	1	379	0	91	470	0.001384	openai/gpt-5.1
59	1	452	0	116	568	0.001725	openai/gpt-5.1
60	1	484	0	138	622	0.001985	openai/gpt-5.1
61	1	537	0	111	648	0.001781	openai/gpt-5.1
62	1	591	0	112	703	0.001859	openai/gpt-5.1
63	1	598	0	112	710	0.001868	openai/gpt-5.1
64	1	365	0	116	481	0.001616	openai/gpt-5.1
65	1	548	0	101	649	0.001695	openai/gpt-5.1
66	1	531	0	109	640	0.001754	openai/gpt-5.1
67	1	544	0	111	655	0.001790	openai/gpt-5.1
68	1	443	0	182	625	0.002374	openai/gpt-5.1
69	1	397	0	85	482	0.001346	openai/gpt-5.1
70	1	511	0	302	813	0.003659	openai/gpt-5.1
71	1	397	0	68	465	0.001176	openai/gpt-5.1
72	1	411	0	68	479	0.001194	openai/gpt-5.1
73	1	381	0	192	573	0.002396	openai/gpt-5.1
74	1	578	0	133	711	0.002053	openai/gpt-5.1
75	1	532	0	199	731	0.002655	openai/gpt-5.1
76	1	411	0	124	535	0.001754	openai/gpt-5.1
77	1	581	0	354	935	0.004266	openai/gpt-5.1
78	1	501	0	163	664	0.002256	openai/gpt-5.1
79	1	484	0	137	621	0.001975	openai/gpt-5.1
80	1	499	0	137	636	0.001994	openai/gpt-5.1
81	1	554	0	97	651	0.001663	openai/gpt-5.1
82	1	536	0	158	694	0.002250	openai/gpt-5.1
83	1	597	0	356	953	0.004306	openai/gpt-5.1
84	1	384	0	99	483	0.001470	openai/gpt-5.1
