ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	false	true	52961	73
2	true	false	true	false	true	13809	73
3	true	false	true	false	true	6936	79
4	true	false	true	false	true	6735	85
5	true	false	true	true	false	7483	72
6	true	false	true	true	false	20383	71
7	true	false	true	false	true	78973	75
8	true	false	true	true	false	6690	69
9	true	false	true	false	true	90366	69
10	true	false	true	false	true	13648	70
11	true	false	true	false	true	13541	70
12	true	false	true	true	false	20527	68
13	true	false	true	false	true	11852	69
14	true	false	true	true	false	6219	67
15	true	false	true	true	false	6662	66
16	true	false	true	true	false	6741	65
17	true	false	true	true	false	6171	64
18	true	false	true	true	false	5885	63
19	true	false	true	true	false	6838	62
20	true	false	true	true	false	27282	61
21	true	false	true	false	true	261008	67
22	true	false	true	false	true	6601	62
23	true	false	true	true	false	6390	60
24	true	false	true	true	false	8168	59
25	true	false	true	false	true	18098	59
26	true	false	true	true	false	24126	58
27	true	false	true	true	false	18434	57
28	true	false	true	true	false	6399	56
29	true	false	true	true	false	8478	55
30	true	false	true	true	false	6186	54
31	true	false	true	true	false	8019	53
32	true	false	true	true	false	6069	52
33	true	false	true	true	false	6074	51
34	true	false	true	true	false	15391	50
35	true	false	true	true	false	6366	49
36	true	false	true	false	true	18688	49
37	true	false	true	false	true	11715	50
38	false	false	false	false	false	10452	2147483647
39	true	false	true	true	false	6185	48
40	true	false	true	false	true	11891	49
41	false	false	false	false	false	425288	2147483647
42	true	true	false	false	false	37078	2147483647
43	false	false	false	false	false	297834	2147483647
44	true	false	true	false	true	18350	48
45	true	false	true	true	false	6135	47
46	false	false	false	false	false	11488	2147483647
47	false	false	false	false	false	11768	2147483647
48	false	false	false	false	false	12051	2147483647
49	false	false	false	false	false	11590	2147483647
50	false	false	false	false	false	11796	2147483647
51	false	false	false	false	false	11898	2147483647
52	false	false	false	false	false	9861	2147483647
53	false	false	false	false	false	9709	2147483647
54	false	false	false	false	false	9605	2147483647
55	false	false	false	false	false	9462	2147483647
56	false	false	false	false	false	9857	2147483647
57	false	false	false	false	false	9576	2147483647
58	true	false	true	false	true	6639	47
59	false	false	false	false	false	257186	2147483647
60	true	false	true	true	false	31597	44
61	true	false	true	false	true	17078	44
62	true	false	true	false	true	14892	44
63	false	false	false	false	false	11838	2147483647
64	false	false	false	false	false	14515	2147483647
65	false	false	false	false	false	11747	2147483647
66	false	false	false	false	false	11668	2147483647
67	false	false	false	false	false	11644	2147483647
68	false	false	false	false	false	9982	2147483647
69	false	false	false	false	false	9625	2147483647
70	false	false	false	false	false	9822	2147483647
71	true	false	true	true	false	12055	43
72	true	true	false	false	false	6127	2147483647
73	true	false	true	true	false	5860	42
