ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	false	true	40697	false
2	true	false	true	false	true	44606	false
3	true	false	true	false	true	36146	false
4	true	false	true	false	true	6075	false
5	true	false	true	true	false	14589	false
6	true	false	true	true	false	26267	false
7	true	false	true	false	true	200911	false
8	true	false	true	true	false	78389	false
9	true	false	true	true	false	6182	false
10	true	false	true	false	true	12470	false
11	true	false	true	false	true	12753	false
12	true	false	true	true	false	27854	false
13	true	false	true	false	true	12457	false
14	true	false	true	true	false	36265	false
15	true	false	true	true	false	29036	false
16	true	false	true	true	false	36326	false
17	true	false	true	true	false	24446	false
18	true	false	true	true	false	19360	false
19	true	false	true	true	false	21675	false
20	true	false	true	true	false	23994	false
21	true	false	true	false	true	419778	false
22	true	false	true	false	true	17217	false
23	true	false	true	true	false	8058	false
24	true	false	true	true	false	8144	false
25	true	false	true	false	true	36573	false
26	true	false	true	true	false	20451	false
27	true	false	true	true	false	27476	false
28	true	false	true	true	false	8650	false
29	true	false	true	true	false	8239	false
30	true	false	true	true	false	9132	false
31	true	false	true	true	false	7771	false
32	true	false	true	true	false	8953	false
33	true	false	true	true	false	14240	false
34	true	false	true	true	false	16119	false
35	true	false	true	true	false	20340	false
36	true	false	true	false	true	26634	false
37	true	false	true	false	true	12117	false
38	false	false	false	false	false	137984	false
39	true	false	true	true	false	24147	false
40	true	false	true	false	true	12477	false
41	false	false	false	false	false	358855	false
42	true	true	false	false	false	120252	false
43	false	false	false	false	false	352396	false
44	true	false	true	false	true	48702	false
45	true	false	true	true	false	31905	false
46	false	false	false	false	false	334228	false
47	false	false	false	false	false	12107	false
48	false	false	false	false	false	11912	false
49	false	false	false	false	false	11511	false
50	false	false	false	false	false	11619	false
51	false	false	false	false	false	11526	false
52	false	false	false	false	false	298938	false
53	false	false	false	false	false	9729	false
54	false	false	false	false	false	9629	false
55	false	false	false	false	false	9556	false
56	false	false	false	false	false	9818	false
57	false	false	false	false	false	9618	false
58	true	false	true	false	true	39647	false
59	false	false	false	false	false	344526	false
60	true	false	true	true	false	47785	false
61	true	false	true	true	false	41125	false
62	true	false	true	true	false	40207	false
63	false	false	false	false	false	11452	false
64	false	false	false	false	false	18045	false
65	false	false	false	false	false	11525	false
66	false	false	false	false	false	11750	false
67	false	false	false	false	false	11910	false
68	false	false	false	false	false	9576	false
69	false	false	false	false	false	16056	false
70	false	false	false	false	false	9683	false
71	true	false	true	true	false	47750	false
72	true	true	false	false	false	81265	false
73	true	false	true	true	false	18620	false
